Renew,Brand Loyalty,Location Code,Years after high school graduation,Gender,Marital Status,Education Level,Monthly Income,City,Years subscribed,Active online hours
Yes,0.2840208714650987,Suburban,37.0,M,Divorced,College,3926.3910905751745,Manchester,4.0,4.157375109666615
No,-0.06115802002440919,Rural,24.0,M,Married,College,4567.480233891708,Manchester,4.0,8.558256261012696
,0.26697782923589125,Rural,31.0,M,Divorced,Graduate School,4638.422721884167,New Castle,5.0,5.886790474836954
Yes,0.05387861612733205,Suburban,31.0,F,Divorced,High School,4632.317770518499,Manchester,5.0,6.587051989575644
No,-0.41389507996966857,Suburban,29.0,F,Single,College,4203.016815109378,London,6.0,7.987754279211707
No,-0.30071699622744796,Rural,27.0,M,Divorced,College,4168.849267382904,New Castle,5.0,5.935961742326488
Yes,-0.2658367424679248,Rural,27.0,M,Divorced,High School,5573.199323125102,Manchester,6.0,6.0882250328019065
Yes,0.7237286265979478,Urban,37.0,F,Married,College,2078.0663637362113,Manchester,4.0,6.772175263801665
No,-0.42990077939578547,Suburban,11.0,F,Single,Graduate School,4630.655833799636,Manchester,4.0,4.362817295485493
Yes,-0.6119443969411947,Urban,13.0,F,Single,College,3385.8825753224573,Manchester,,7.251355101392494
Yes,0.12585170686338332,Suburban,27.0,M,Single,High School,4613.695877640037,Manchester,2.0,5.713616291681709
No,0.1775294914750078,Rural,27.0,F,Single,High School,4347.219983401797,London,5.0,7.672239545816039
Yes,0.06658947492268272,Suburban,28.0,F,Divorced,High School,5407.294687091691,London,5.0,6.069021126317081
Yes,-0.3901916517317916,Urban,28.0,M,Divorced,Graduate School,4779.925350015414,Manchester,7.0,7.869022377270914
No,0.31200780357270885,Rural,34.0,M,Married,High School,5366.037522005661,London,5.0,8.355567480826387
No,0.1667494467888549,Rural,30.0,F,Married,Graduate School,5669.570164097838,London,5.0,4.9290109458341425
Yes,-0.13372867950123665,Urban,33.0,M,Married,Graduate School,4603.765797000744,London,4.0,5.441917924525113
No,0.35829519164326845,Suburban,12.0,F,Married,High School,4295.260780524313,Manchester,8.0,4.588423551481829
Yes,-0.36054550515111095,Urban,27.0,F,Single,Graduate School,4153.366216023744,New Castle,3.0,5.55652942802327
Yes,,,28.0,M,Single,College,3155.0746070570867,Manchester,5.0,6.555840198133889
No,0.11424560272919804,Suburban,31.0,F,Married,College,3720.9191774025558,London,4.0,4.860075493103024
Yes,-0.15548933116909977,Urban,33.0,M,Married,College,3986.153004777822,Manchester,7.0,6.370433720816317
Yes,-0.1543359443208218,Urban,29.0,M,Divorced,College,2834.3076895972263,Manchester,7.0,6.284315375914009
Yes,0.5606775472503523,Urban,39.0,F,Married,Graduate School,4780.962037326117,London,5.0,6.185807019582757
No,-0.00521175401003951,Rural,27.0,M,Married,High School,2198.9060428874177,London,7.0,
Yes,-0.23251758105518458,Urban,27.0,M,Divorced,High School,4502.531526188368,,6.0,5.948154300412458
Yes,-0.19219211573477263,Rural,32.0,F,Divorced,College,5813.4133249347005,New Castle,2.0,4.9068380538782215
Yes,0.27657642001695265,Urban,36.0,M,Divorced,Graduate School,2772.978717853353,New Castle,5.0,5.1174331381708935
No,-0.003921674411784648,Suburban,22.0,F,Married,Graduate School,2260.585197777127,London,6.0,3.8954985991659705
Yes,0.09836340269756114,Urban,36.0,F,Married,Graduate School,4813.30323292147,London,3.0,4.03134818109331
No,-0.09470020952390733,Rural,22.0,F,Married,High School,7400.420964591953,Manchester,2.0,6.03334776801995
No,0.383456668261585,Suburban,33.0,F,Married,College,3198.6546430862,Manchester,3.0,4.355646116210989
Yes,0.3358424057118493,Urban,39.0,F,Divorced,Graduate School,4029.1784914840264,New Castle,5.0,5.086683232080202
No,-0.4358642276801016,Urban,28.0,M,Married,,3582.0454800096027,Manchester,6.0,3.272525542941602
Yes,0.2397399524610715,Urban,39.0,M,Married,College,5736.899721669118,Manchester,4.0,4.538631061540987
Yes,0.5837532222107046,Urban,33.0,M,Single,High School,4278.708028498717,Manchester,5.0,5.294079460687681
Yes,0.17412712922716017,Urban,38.0,F,Divorced,College,3515.026362754046,Manchester,5.0,6.722392342581961
No,0.22987473870054825,Rural,25.0,F,Single,College,4706.699270286733,Manchester,6.0,3.740479638984505
No,-0.401644015812081,Suburban,28.0,M,Divorced,Graduate School,5056.737200316668,Manchester,2.0,6.212147760308983
No,-0.08497373284083104,Rural,,F,Divorced,College,3599.0744259074168,London,5.0,3.3783688666054257
Yes,0.3171903578862817,Urban,43.0,F,Married,Graduate School,5204.917366757751,New Castle,3.0,4.3367712721794565
Yes,0.4345373704678005,Rural,41.0,M,Divorced,High School,3531.9691474104284,Manchester,4.0,5.453434739780545
No,0.114571777495167,Suburban,30.0,F,Married,Graduate School,3665.708011971129,New Castle,5.0,5.63370499090603
No,0.5366237217183341,Rural,34.0,M,,High School,5063.098749908615,Manchester,7.0,3.971446310234742
Yes,0.16776410852146123,Urban,40.0,F,Divorced,High School,5289.462468698753,Manchester,6.0,7.327848363995516
No,0.382021627890474,Rural,35.0,M,Married,Graduate School,5625.792520712442,Manchester,3.0,4.654431112834364
No,-0.5792643820417,Suburban,29.0,M,Divorced,High School,6074.0454713244035,New Castle,4.0,5.404254820743806
Yes,0.7333245847075657,Urban,47.0,M,Single,High School,5403.513761295266,New Castle,4.0,5.539015101210131
Yes,-0.3436904584134714,Urban,35.0,F,Divorced,High School,4236.616737128197,London,5.0,6.436050037392455
Yes,-0.02542032310843674,Urban,46.0,M,Divorced,Graduate School,4126.91323987903,London,5.0,4.825494287176402
Yes,-0.3120747319767584,Urban,21.0,F,Divorced,High School,5307.333505112204,London,4.0,5.216946354809254
Yes,-0.6036037827934828,Urban,23.0,F,Single,High School,5113.895530137621,,3.0,3.7656300001379894
Yes,-0.160899808305241,Suburban,36.0,M,Divorced,College,3370.2245506172817,Manchester,4.0,5.185514894322169
Yes,-0.536309856002437,Suburban,35.0,F,Divorced,Graduate School,4395.781585580291,London,5.0,
Yes,-0.26985220343978744,,33.0,F,Single,College,3971.3819864957154,New Castle,4.0,6.737521725910692
Yes,0.20145995083018547,Urban,47.0,M,Divorced,Graduate School,4259.467994586734,London,0.0,6.173067721811355
No,0.03642020753689748,Suburban,23.0,F,Married,,2942.6099682543936,New Castle,3.0,6.324191515380833
Yes,0.4901344205767777,Suburban,47.0,F,,High School,5315.764803155855,Manchester,6.0,6.197899926028359
Yes,-0.10535301170887715,Urban,36.0,F,Single,,4419.666222094263,New Castle,4.0,4.830685200572222
Yes,0.4390873775495804,Suburban,46.0,M,Divorced,Graduate School,4157.244005394409,New Castle,1.0,5.1457318826549
No,0.7290904752709897,Rural,40.0,F,Single,Graduate School,1790.4739402313735,New Castle,6.0,5.745948393954505
Yes,0.3341731534603576,Urban,35.0,M,Single,College,2966.9065541169493,London,3.0,6.833027687324657
No,-0.5720319724696922,Suburban,23.0,M,Married,College,4843.605047342813,Manchester,4.0,6.701799706656537
Yes,-0.43467681279095405,Urban,31.0,M,Married,High School,4913.228693294451,London,6.0,3.6256019059485185
Yes,0.849956913749979,Urban,43.0,M,Single,Graduate School,2143.4720183092118,London,3.0,6.33341904142177
No,0.25842979512174113,Rural,36.0,M,Married,High School,4170.976278407153,New Castle,4.0,5.145772189190444
No,-0.04281109259672558,Rural,8.0,F,Single,High School,5141.017659458793,New Castle,2.0,5.033312502434088
Yes,-0.29337725566608985,Suburban,32.0,F,Married,High School,5315.74641084901,New Castle,5.0,6.045007645872772
Yes,-0.34923437412491465,Suburban,27.0,M,Divorced,College,2557.297344110373,New Castle,6.0,5.754395998689896
Yes,-0.3698067675663452,Suburban,25.0,F,Single,High School,5566.663549846738,Manchester,5.0,6.038988693714119
No,-1.0036518379905808,Rural,17.0,M,Divorced,High School,,New Castle,5.0,7.2737909111861185
Yes,-0.13558595080368457,Suburban,26.0,M,Divorced,High School,3347.1232012077235,London,4.0,3.0227891879799
No,-0.3738283275986817,Rural,19.0,M,Married,College,4304.333670049722,Manchester,3.0,5.192153045085156
No,-0.09369787010538802,Rural,30.0,M,Married,Graduate School,3405.821828116263,Manchester,2.0,4.90897274238333
,0.5419157937599808,Urban,40.0,F,Married,College,3744.70051509962,New Castle,3.0,4.76278583302938
No,0.05449083537843183,Rural,33.0,M,Divorced,Graduate School,3454.5416155313374,Manchester,4.0,6.242859108669448
Yes,0.11657344863769842,Urban,41.0,M,Single,Graduate School,4552.084764635882,Manchester,3.0,5.382569864779182
No,-0.24741498862435718,Rural,20.0,M,Married,College,4179.837726440854,New Castle,4.0,4.9868671139225755
No,0.18869559075195247,Rural,35.0,F,Single,High School,3258.736722225546,New Castle,4.0,4.997650415338644
No,0.5455121281909334,Rural,25.0,F,Married,High School,4429.8857099782645,London,2.0,5.234799397651736
No,-0.06679819525907109,Rural,11.0,F,Married,Graduate School,5170.710742173667,New Castle,5.0,3.9072267831670593
No,0.5386767596503362,Suburban,27.0,M,Married,High School,5341.151952534088,London,1.0,4.848098002087941
Yes,-0.2941911728555643,Suburban,40.0,F,Single,High School,4802.983253108911,London,5.0,6.777597691425891
Yes,0.42145335144251794,Urban,42.0,,Married,Graduate School,3434.6669436075226,New Castle,5.0,8.812729325856473
Yes,0.3120087900806599,Rural,40.0,F,Married,College,5390.8371132311395,Manchester,2.0,4.818537531387044
No,0.27443903501215783,Rural,22.0,F,Married,Graduate School,3325.161008866417,New Castle,5.0,5.063181117902083
Yes,0.6472380056593655,Urban,35.0,F,Single,Graduate School,6898.52429878656,London,4.0,4.417676331309287
Yes,-0.214062741863408,Urban,33.0,F,Single,High School,4028.4975506376563,London,3.0,4.981941875274582
Yes,-0.20355269959565775,Urban,29.0,M,Divorced,Graduate School,3848.4661661563555,London,6.0,7.967419815210594
No,0.01776785151188548,Rural,26.0,F,Divorced,Graduate School,4748.248293636299,New Castle,2.0,6.860315555364303
Yes,0.1879694136938727,Suburban,,F,Divorced,Graduate School,7429.155141596306,New Castle,4.0,3.2518984798542467
Yes,0.236945845815061,Urban,28.0,F,Divorced,College,4920.040196028766,New Castle,5.0,3.823594163448152
No,0.31817066460668714,Rural,57.0,M,Divorced,High School,3243.6680484537374,London,1.0,3.3569173879457432
No,0.48882491124278005,Suburban,26.0,F,Married,Graduate School,3766.448326587056,Manchester,8.0,8.197805004725275
Yes,-0.3733207317779256,Suburban,27.0,F,Divorced,College,4887.083691072524,New Castle,5.0,4.8498044688076165
No,-0.046466621550238174,Suburban,29.0,F,Single,Graduate School,5206.373387823769,Manchester,5.0,5.3546493521659215
Yes,0.2424926385159576,Urban,25.0,F,Divorced,Graduate School,4946.118424814978,Manchester,6.0,5.830822427632432
No,-0.3014602598582202,Suburban,30.0,M,Single,Graduate School,3689.882591347969,London,4.0,5.701299449625505
Yes,0.07768798675778968,Urban,36.0,M,Divorced,,3901.5773644191877,New Castle,4.0,3.8475782258543694
Yes,0.43062212808471023,Suburban,36.0,F,Divorced,Graduate School,3509.7674002541207,New Castle,5.0,3.6019767583124658
Yes,0.8264777352898598,Rural,53.0,F,Single,High School,3917.988054971857,Manchester,2.0,5.7330850515541005
Yes,0.32815452836129866,Urban,45.0,F,Divorced,College,3093.962313446622,New Castle,3.0,4.640515686370759
Yes,0.7388260749045158,Urban,48.0,M,Single,College,,Manchester,3.0,5.8874814767662595
No,-0.3331871273033684,Suburban,16.0,F,Single,Graduate School,5256.524977831794,Manchester,7.0,4.390252023079984
Yes,0.0009277043651541306,Suburban,39.0,F,Divorced,High School,6569.720072109018,London,4.0,3.9718683680112843
Yes,-0.3867560924059979,Urban,20.0,M,Divorced,High School,4508.34579463916,Manchester,4.0,1.9308977929137918
Yes,0.09632574248960121,Urban,,M,Married,College,4965.255979243308,New Castle,5.0,3.341775548767197
Yes,0.1142267093990939,Suburban,45.0,F,Single,High School,4504.00957427649,London,4.0,5.7399589058492335
No,-0.16269719436004054,Rural,24.0,M,Married,High School,4209.600669119754,London,5.0,5.706818019416267
Yes,0.6337331719629317,Urban,31.0,M,Married,High School,4269.952867976757,Manchester,5.0,3.930392342912539
Yes,-0.19069666413106817,Urban,25.0,M,,College,3465.9186795668243,Manchester,4.0,6.560207791688905
No,0.11315943410749688,Suburban,27.0,M,Married,Graduate School,4466.937277950921,Manchester,6.0,5.727304868635346
Yes,-0.06799593958539585,Urban,43.0,M,Single,College,5514.284438315972,London,4.0,5.067293484067261
Yes,-0.2599246044010461,Suburban,29.0,F,Divorced,College,4768.724414453016,London,3.0,3.5363037343683263
Yes,-0.127616649001129,Urban,40.0,M,Single,High School,6978.251308032459,Manchester,5.0,6.0121312951707395
No,0.2534723692319434,Suburban,40.0,F,Married,College,3035.058425139694,Manchester,,3.3189237809421077
Yes,0.007409514254759331,Urban,37.0,M,Single,Graduate School,4895.695656225002,London,3.0,8.043859123145783
No,-0.03181899212437252,Rural,20.0,M,Single,Graduate School,5088.7883367512895,Manchester,3.0,3.5976462712943853
Yes,0.14374569358597977,Urban,22.0,F,Divorced,College,5298.117039191012,New Castle,8.0,5.740792403125194
Yes,-0.08090445686748737,Suburban,43.0,M,Divorced,High School,4475.855005695957,Manchester,3.0,6.6039398236321345
Yes,0.5345181284533654,Rural,33.0,M,Single,Graduate School,2786.33929988566,New Castle,4.0,5.455794137201468
No,0.46299634470620865,Rural,45.0,M,Married,College,2408.3582251686225,New Castle,5.0,5.777070295690375
Yes,-0.08498525077334323,Urban,39.0,F,Single,Graduate School,4810.547298698552,Manchester,4.0,5.277854974641432
Yes,-0.2648865922917468,Rural,27.0,M,Divorced,Graduate School,2501.7903372437786,New Castle,5.0,5.141117078048331
No,-0.19047645386300283,Rural,30.0,M,Married,College,3560.885974401116,London,4.0,5.853530979816086
No,,Rural,19.0,M,Single,Graduate School,3734.761870179445,New Castle,2.0,3.913596997132938
,0.5052741656457469,Urban,,F,Married,High School,4661.579377041916,London,4.0,5.238470837600507
Yes,0.41930155796414714,Urban,35.0,,Divorced,Graduate School,4284.276835655628,New Castle,3.0,6.3645963843321365
No,0.03991122582468448,Rural,11.0,M,Single,Graduate School,4280.368421439612,New Castle,4.0,7.287729214573645
No,-0.3121784362107524,Suburban,17.0,F,Single,College,6138.87680113683,Manchester,4.0,5.7972358745093375
Yes,0.25441920992573114,Urban,50.0,M,Single,College,3581.396772225691,New Castle,3.0,4.662888727051633
Yes,-0.012211329164578871,Urban,29.0,M,Single,College,3017.59226017332,London,5.0,4.306436608360759
Yes,0.14872670696946017,Urban,30.0,F,Single,College,,New Castle,3.0,4.487212575222656
Yes,-0.21785771361509543,Suburban,42.0,M,Divorced,,2727.5158235497884,London,2.0,5.282988385473191
Yes,0.42236827447396763,Urban,36.0,F,Single,Graduate School,6400.690972713998,New Castle,4.0,5.429594970470098
Yes,0.16193121854199694,Urban,31.0,M,Divorced,High School,3581.7117025860393,London,3.0,4.527690816093737
Yes,0.6592720744431244,Urban,40.0,F,Divorced,Graduate School,4421.097733402332,Manchester,4.0,7.181421699948721
No,-0.2765212447015696,Urban,25.0,M,Married,High School,3979.970936832081,New Castle,4.0,4.912194975765923
No,0.12300474223909463,Urban,32.0,M,Married,High School,4730.069918093315,London,,5.173166126942774
Yes,0.07282062768495356,Suburban,39.0,F,Single,College,4243.610177040745,Manchester,4.0,3.2783227094751246
Yes,0.3775823499099611,Suburban,44.0,M,Divorced,High School,3468.182527120509,Manchester,4.0,6.690412369450722
No,-0.032154189155296845,Rural,36.0,M,Divorced,High School,5089.025898502318,New Castle,1.0,7.7415826559997285
,-0.19239222785638185,Urban,46.0,F,Divorced,Graduate School,6384.663334725141,New Castle,3.0,5.25098150512796
Yes,-0.3925485755559381,Urban,22.0,M,Divorced,College,5013.624019567961,Manchester,8.0,5.915967709341974
No,0.5840721461626052,Urban,28.0,M,Single,High School,3888.54092143887,London,6.0,4.364155615589786
No,-0.21817804484048578,Suburban,28.0,F,Divorced,College,4461.254653728183,London,3.0,4.348095375339913
Yes,0.5146121572651357,Urban,43.0,M,Divorced,Graduate School,3263.680261166148,New Castle,3.0,6.604086013036115
No,0.2739672518058583,Rural,24.0,F,Divorced,College,5361.19343914038,Manchester,4.0,5.778723548988767
No,-0.3497203109222765,Urban,17.0,M,Married,College,5484.0898734977745,New Castle,4.0,6.780368082270115
Yes,0.023897330471653988,Urban,40.0,F,Divorced,Graduate School,6575.776895386818,New Castle,5.0,6.825238443491802
No,-0.5497142197686828,Rural,15.0,F,Single,Graduate School,4355.286960126532,London,6.0,3.654268803304401
No,0.060394035529335005,Rural,26.0,,Married,College,4637.043701877135,New Castle,2.0,5.4645372835491965
No,-0.42067277354156335,Urban,31.0,M,Married,College,3555.0861310126074,New Castle,6.0,4.653537006115531
Yes,0.614354248363208,Urban,30.0,M,Single,College,4262.999266506731,London,6.0,4.981567660598744
Yes,0.8341271537794542,Suburban,39.0,F,Married,High School,5476.547153571825,New Castle,4.0,5.866854373900285
No,0.03578691674721837,Suburban,21.0,M,Married,Graduate School,4712.585954692519,New Castle,4.0,3.781247815084839
Yes,-0.020440446549114324,Urban,41.0,M,Divorced,High School,3959.1516203172323,Manchester,5.0,3.3302309315652736
No,0.31026205843314575,Rural,29.0,M,Married,Graduate School,5523.804507892565,Manchester,3.0,6.162130002181585
Yes,-0.3050842607687571,,46.0,M,Married,College,4321.581359015074,Manchester,5.0,3.5816164381430116
Yes,-0.29465743166295344,Urban,31.0,M,Divorced,College,6590.527426473311,Manchester,5.0,5.201354264380523
No,-0.44235450013423006,Suburban,27.0,F,Married,College,5882.053524876164,New Castle,3.0,6.769233566246979
Yes,0.12675893706398755,Urban,43.0,M,Single,Graduate School,5063.779835426502,Manchester,3.0,3.733156159275435
Yes,0.24319110307441744,Suburban,29.0,F,Married,College,4669.04216160651,London,3.0,6.739557372468543
Yes,-0.23118093583432503,Suburban,42.0,F,Divorced,College,4243.563644081184,New Castle,4.0,3.2762481293493617
Yes,-0.3579620771639872,Urban,31.0,M,Divorced,High School,4960.526118096085,London,5.0,7.585157649738742
No,0.3928878518757225,Urban,32.0,M,Married,Graduate School,1559.1831038667833,Manchester,3.0,6.557285115468212
No,0.10656747792418977,Rural,25.0,M,Married,College,4553.723266560929,New Castle,3.0,7.255697288429484
No,0.27368478091096343,Suburban,18.0,M,Married,Graduate School,5228.741075122394,New Castle,,5.6878945791238955
Yes,-0.345581714122588,Urban,24.0,M,Divorced,,3622.212168149962,New Castle,6.0,6.154368041768145
No,0.3963297964161471,Rural,37.0,F,Married,College,6300.971316950795,London,3.0,5.157500282166448
Yes,1.4547753902726033,Urban,39.0,M,Single,Graduate School,5709.587151817029,Manchester,5.0,5.296369263887946
No,0.4400134826612252,Suburban,36.0,,Single,Graduate School,2526.6150936925255,London,6.0,4.790091421961701
Yes,0.4323548506232754,Urban,48.0,F,Single,Graduate School,3672.493289604277,Manchester,4.0,3.4208848222101547
,0.16115464394891987,Urban,41.0,M,,Graduate School,4362.981035023572,London,5.0,4.743566502846349
Yes,0.0406453812487548,,31.0,F,Married,Graduate School,5620.324124294528,New Castle,4.0,6.6748003641860505
No,0.5035556904122362,Suburban,35.0,F,Married,High School,4089.909892095608,London,3.0,5.812342686423954
Yes,0.01115337084545337,Suburban,46.0,M,Divorced,,5405.825926560697,Manchester,3.0,6.010471078999921
No,-0.4221432244684404,Suburban,33.0,M,Divorced,College,7541.038692261167,New Castle,4.0,7.786711752111841
No,0.8203085505032273,Urban,31.0,F,Divorced,College,3628.446928557483,Manchester,5.0,5.793703056137984
No,0.36687431673059234,Rural,33.0,M,Married,High School,4697.138208935801,,5.0,5.099616581331385
No,0.5179234613579169,Suburban,22.0,M,Divorced,College,4641.370470448914,Manchester,6.0,5.798509587869687
,1.2422536531960668,Urban,,M,Single,College,5572.560559508531,Manchester,5.0,4.368339354830039
No,-0.3903641798444273,Rural,28.0,F,Married,Graduate School,4199.407049531472,Manchester,4.0,5.345283372182599
No,-0.17447194293783383,Suburban,43.0,,Divorced,High School,4628.601963202327,London,4.0,4.489616439104047
No,0.6331524143232844,Rural,36.0,F,Married,College,6456.119270656576,New Castle,6.0,6.0030590976757505
No,0.17814214752578156,Suburban,27.0,F,,College,4864.953090347543,Manchester,5.0,7.091647453379141
No,-0.17606542991919052,Suburban,28.0,M,Married,Graduate School,3908.6474170174197,Manchester,2.0,3.0434114731152127
Yes,0.5540985428546804,Suburban,46.0,F,Divorced,College,4489.861320943925,Manchester,2.0,9.131254919596586
No,0.08385876484678154,Rural,31.0,M,Divorced,High School,5868.94375563288,London,6.0,5.5523071696001125
Yes,0.5276951000659208,Urban,45.0,F,Single,College,2684.528133190761,London,4.0,6.708137038138967
Yes,-0.003487892004996773,Urban,33.0,F,Single,College,3642.707590112099,New Castle,5.0,5.411088907984713
No,-0.015763429868151255,Rural,37.0,F,Divorced,High School,6338.736963790716,London,6.0,4.680736685336073
No,-0.5360969769299685,Suburban,35.0,F,Divorced,High School,3409.3591374773628,Manchester,4.0,4.144033010896678
No,0.680836114963913,Suburban,26.0,F,Divorced,College,4863.275897751865,New Castle,5.0,8.892325477989651
No,0.27828271985485725,Suburban,31.0,F,Single,Graduate School,5727.724491802003,London,4.0,4.026477897901418
No,0.29318060849653593,Rural,28.0,F,Married,High School,5473.782449982387,London,7.0,4.3219972796440285
No,0.3065318331716512,Suburban,32.0,F,Married,College,2788.4701038829785,Manchester,6.0,
No,0.027774634119063835,Rural,32.0,M,Divorced,High School,6313.174749691087,New Castle,4.0,5.305536890746519
Yes,-0.054444768133027024,Suburban,25.0,F,Divorced,,3497.2084905207576,Manchester,5.0,5.425089707180963
No,0.18364633883713605,Suburban,26.0,M,Married,High School,3343.5508396916775,Manchester,6.0,7.036038699874584
Yes,-0.3219751906904581,Suburban,24.0,F,Divorced,Graduate School,5116.292561498302,New Castle,2.0,6.362075466003865
Yes,0.5113896389238136,Urban,29.0,F,Divorced,High School,4599.331796891192,New Castle,4.0,7.702173079582577
No,-0.2819201879842512,Suburban,30.0,F,Married,College,4738.342939262351,New Castle,4.0,4.609252161023478
No,0.5278265201913279,Suburban,33.0,F,Divorced,College,1961.426563261492,Manchester,5.0,4.713009220222046
Yes,0.26712312289026113,Urban,42.0,M,Divorced,High School,4200.755980885566,Manchester,4.0,5.689704065531477
Yes,0.8783895037341303,Urban,40.0,M,Divorced,High School,4680.269264587251,London,4.0,6.630471051448524
Yes,-0.07290206615140338,Urban,42.0,F,Divorced,Graduate School,6782.718983683237,Manchester,5.0,3.6491624170731076
No,0.1034702146805285,Rural,24.0,F,Married,High School,3746.666786031524,London,5.0,5.1211392752262705
No,-0.1910494837466531,Rural,17.0,M,Married,Graduate School,6090.136644856196,New Castle,3.0,6.052867959870916
Yes,0.5212906427255174,Urban,38.0,F,Divorced,Graduate School,4810.092245994134,Manchester,7.0,7.031189489005337
Yes,0.5903806800150408,Urban,50.0,F,Divorced,High School,5459.20017301781,London,1.0,6.987015426224395
Yes,0.15016413762915287,Urban,20.0,F,Single,College,3668.8458894076903,Manchester,5.0,7.8009096799656135
No,0.09729853433711877,Rural,35.0,F,Married,College,6616.301109453983,New Castle,3.0,5.536363296129609
Yes,0.34780896786372034,Suburban,38.0,M,Single,Graduate School,3649.169909608007,Manchester,3.0,3.2123364340768714
No,-0.21198387058248258,Rural,24.0,F,Single,High School,3853.558208698705,London,3.0,4.64766978559804
No,0.3035966049612176,Rural,26.0,F,Married,College,3179.36080774719,New Castle,6.0,8.091064846333888
Yes,-0.19365037308794036,Urban,,M,Divorced,High School,5624.7584102109095,Manchester,4.0,6.655075844711983
No,-0.22995460377885618,Urban,39.0,M,Single,College,3944.6883620025924,London,5.0,4.468277650677208
No,-0.12443867701294171,Suburban,29.0,M,Divorced,Graduate School,5218.952801120173,New Castle,2.0,6.821381183646259
No,-0.17182038531173346,Rural,19.0,M,Married,High School,3549.197170149602,New Castle,4.0,4.936280403977923
Yes,0.6631574142376687,Urban,49.0,M,Single,Graduate School,6375.2405966332635,New Castle,3.0,5.59516723441264
No,-0.23893868700433304,Rural,31.0,F,Married,College,4351.38261838246,Manchester,4.0,5.42165583283542
No,0.2758147343579697,Suburban,27.0,M,Married,High School,6355.280648906919,New Castle,5.0,7.0758887856459785
Yes,0.16380320120061875,Urban,42.0,M,Divorced,High School,,New Castle,2.0,5.427364795676974
Yes,0.8055158393870879,Urban,43.0,M,Single,,5585.037417910845,New Castle,4.0,5.394093209563441
Yes,0.21362222802160735,Suburban,50.0,M,Divorced,Graduate School,4533.048806392131,New Castle,4.0,3.8834323673616162
,-0.07988021098959448,Rural,26.0,F,Married,High School,4663.800453185857,Manchester,4.0,6.837847253235223
Yes,-0.06478119721928999,Urban,37.0,F,Married,College,3620.378778781172,,5.0,5.237804804358333
No,-0.0768470102202088,Rural,31.0,M,Married,College,5556.197575541323,London,5.0,5.625675615571555
No,-0.2709632549605723,Rural,25.0,M,Single,High School,4502.235045462396,Manchester,6.0,4.454341868489491
No,-0.029032388732693384,Suburban,38.0,M,Divorced,Graduate School,2990.9238791929884,Manchester,6.0,5.952748124684567
No,-0.03564929647286179,Rural,14.0,M,Married,Graduate School,3110.9239719039833,London,3.0,4.544952955655777
Yes,-0.4051469692501731,Urban,33.0,F,Divorced,College,2250.9534996220427,New Castle,4.0,6.143711745167829
Yes,-0.13586276088761085,Urban,39.0,M,Divorced,Graduate School,6746.5090617762635,New Castle,6.0,5.184650417100259
No,0.3137510541298468,Rural,15.0,F,Married,Graduate School,5817.4355038825115,Manchester,6.0,4.746287381144065
Yes,-0.5520931814926056,Urban,14.0,F,Divorced,College,4154.865768748461,Manchester,7.0,3.061039927739031
Yes,-0.845192642715115,Urban,21.0,M,Married,High School,3434.4062237063204,New Castle,6.0,6.332900703106628
Yes,-0.7346053106704478,Urban,21.0,M,Divorced,Graduate School,4869.121833560093,London,7.0,4.387390845577043
Yes,1.1039785207534119,Urban,49.0,F,Single,College,1867.2494565824577,London,4.0,6.415867872039628
Yes,0.3640936940154029,Urban,39.0,M,Divorced,Graduate School,4576.073209952937,New Castle,5.0,4.9955835579639665
No,0.08717973758828756,Suburban,26.0,F,Married,Graduate School,5660.945972974725,London,5.0,4.466400578791971
Yes,0.043857533611215416,Suburban,36.0,F,Divorced,High School,3433.3451016001272,Manchester,4.0,3.824921776640792
No,-0.159158472831183,Rural,31.0,F,Married,College,4477.3891170699135,Manchester,4.0,5.043804273742326
Yes,0.27233082684867815,Urban,45.0,F,Divorced,High School,2789.8071338478703,Manchester,3.0,4.421286076862636
Yes,-0.15705547099583533,Urban,49.0,F,Single,Graduate School,4330.955289214027,London,3.0,7.2917789741913275
No,-0.3205485669847229,Rural,28.0,M,Single,College,3039.4041813473414,Manchester,3.0,6.289213605039626
Yes,0.5636848073974987,Urban,40.0,M,Married,High School,4234.334906026335,Manchester,3.0,5.420507697279051
Yes,0.22255508573836946,Urban,35.0,F,Single,Graduate School,4786.526478147404,New Castle,5.0,5.921837529576768
Yes,-0.36668295391629524,Urban,37.0,M,Single,Graduate School,3979.024805326086,New Castle,4.0,5.79326015836791
No,0.4982263766541839,Rural,36.0,F,Married,College,4170.278402284931,,3.0,5.078582738703387
Yes,0.09951769657709861,Urban,46.0,F,Single,College,5585.808157016674,Manchester,6.0,6.829831219445315
No,0.07388295350775409,Rural,11.0,M,Married,College,,Manchester,1.0,5.989250565457376
Yes,0.22375728406653744,Suburban,29.0,M,Single,High School,4965.579915172826,New Castle,5.0,4.655766010186335
No,0.4067930130016949,Rural,32.0,M,Single,High School,4216.8210726298175,New Castle,4.0,4.742197672506494
,0.5416082596125604,Urban,30.0,M,Divorced,Graduate School,5381.481248279815,New Castle,4.0,6.646307069049527
No,-0.30711659582881123,Suburban,31.0,F,Married,Graduate School,4486.5416072393455,Manchester,3.0,6.622847465093318
Yes,-0.17124467571051516,Suburban,33.0,M,Divorced,College,5363.3748086959495,Manchester,5.0,5.457785297982937
