area_type,availability,location,size,bath,balcony,price
Super built-up  Area,Ready To Move,Kambipura,3 BHK,2,1,45
Super built-up  Area,18-??.?.,KR Puram,2 BHK,2,1,47
Super built-up  Area,Ready To Move,Hoodi,3 BHK,3,3,89.55
Built-up  Area,Ready To Move,Billekahalli,3 BHK,3,2,88
Super built-up  Area,Ready To Move,D Souza Layout,3 BHK,4,3,1015
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,2,3,75
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2,0,64
Plot  Area,Ready To Move,Malleshwaram,8 Bedroom,7,2,195
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,16
Super built-up  Area,Ready To Move,Balagere,2 BHK,2,1,72
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,2,2,53.4
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,45
Super built-up  Area,20-?.?.,Rachenahalli,1 BHK,1,1,44
Super built-up  Area,19-?.?.,Hebbal,3 BHK,3,1,83.87
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2,2,51.46
Super built-up  Area,18-??.?.,Kothannur,3 BHK,2,2,43.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,56.1
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,3,1,85
Plot  Area,Ready To Move,Electronic City,4 Bedroom,4,0,120
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,1,90
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,38.65
Super built-up  Area,22-?.?.,Jakkur,4 BHK,6,3,249
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2,2,74.4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,69
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,65
Plot  Area,18-?.?.,Whitefield,3 Bedroom,3,1,130
Super built-up  Area,18-?.?.,Whitefield,2 BHK,2,1,75
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,2,85
Built-up  Area,20-?.?.,"ECC Road, Whitefield, ",2 BHK,2,1,67
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,2,2,63
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,1,49
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,3,3,88
Super built-up  Area,Ready To Move,Jigani,3 BHK,3,3,150
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,3,1,69
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,45
Super built-up  Area,Ready To Move,Rukmaiah Layout,3 BHK,3,2,86.06
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,1,149
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,3,1,96
Built-up  Area,Ready To Move,Yelahanka,3 BHK,4,2,127
Super built-up  Area,18-??.?.,Kathriguppe,3 BHK,3,2,125
Plot  Area,Ready To Move,KR Puram,2 Bedroom,2,0,71
Super built-up  Area,18-?.?.,Hosa Road,2 BHK,2,1,32.37
Super built-up  Area,19-?.?.,Panathur,2 BHK,2,1,36
Built-up  Area,Ready To Move,Maruthi Sevanagar,7 Bedroom,7,,299
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,1,51.5
Super built-up  Area,18-?.?.,Devanahalli Int. Airport,2 BHK,2,1,80
Super built-up  Area,Ready To Move,Puttanahalli,3 BHK,3,1,65
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,2,2,78
Super built-up  Area,Ready To Move,Benson Town,3 BHK,4,,350
Super built-up  Area,21-?.?.,Hoodi,3 BHK,3,1,98.32
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,2,1,54
Super built-up  Area,21-??.?.,Vijayanagar,3 BHK,3,1,116
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,5,,500
Super built-up  Area,20-?.?.,Old Madras Road,2 BHK,2,1,32.72
Super built-up  Area,21-?.?., Thanisandra,1 RK,1,1,25.25
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,6,3,180
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,2,3,47
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,2,1,50
Super built-up  Area,Ready To Move,Chandapura,3 BHK,2,1,33
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,2,1,50.75
Built-up  Area,Ready To Move,BEML Layout,2 BHK,2,3,45
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,3,2,475
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,4,1,135
Built-up  Area,Ready To Move,Kothannur,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Koramangala,3 BHK,2,3,155
Super built-up  Area,20-?.?.,Hoodi,4 BHK,4,0,95.1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,1,93
Built-up  Area,Ready To Move,Dommasandra,3 BHK,3,2,56
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,2,3,72.2
Super built-up  Area,19-?.?.,Marathahalli,2 BHK,2,1,70
Plot  Area,18-?.?.,1st Block HRBR Layout,8 Bedroom,7,0,235
Built-up  Area,Ready To Move,Kannamangala,3 BHK,3,3,65
Built-up  Area,Ready To Move,Chandapura,2 BHK,1,1,18.5
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,3,,187
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 Bedroom,3,2,330
Carpet  Area,Ready To Move,Electronics City Phase 1,1 BHK,1,1,55
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,4,,300
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,2,74
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,2,40
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,3,2,95
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,5,0,158
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,3,110
Built-up  Area,Ready To Move,Sarjapur,2 BHK,2,2,35
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2,3,52
Plot  Area,Ready To Move,Bagalur Main Road,4 Bedroom,4,,300
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,44
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,2,42.1
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,1,25
Built-up  Area,Ready To Move,Harlur,2 BHK,2,1,84
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,3,3,450
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,2,2,39.55
Super built-up  Area,Ready To Move,Chamrajpet,9 BHK,9,1,296
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,3,100
Super built-up  Area,20-?.?.,Judicial Layout,3 BHK,3,1,64
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,3,2,76
Super built-up  Area,19-?.?.,Kodihalli,4 BHK,5,2,696
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,37.49
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,5,2,140
Super built-up  Area,21-?.?.,Kanakpura Road,3 BHK,2,3,69
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,0,50
Super built-up  Area,20-?.?.,Kanakpura Road,2 BHK,2,1,46
Super built-up  Area,18-?.?.,Banashankari Stage III,2 BHK,2,3,58.4
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,2,2,65
Super built-up  Area,17-?.?.,Babusapalaya,3 BHK,2,2,41.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,2,100
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,2,1,52.48
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,2,2,66
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,2,2,62
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,2,1,51
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,2,1,75
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,3,1,95
Super built-up  Area,Ready To Move,Anekal,2 BHK,2,1,22
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,47.65
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,2,2,150
Super built-up  Area,18-?.?.,Whitefield,2 BHK,2,1,71
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,3,2,135
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,2,2,58.99
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,3,1,65
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,1,1,16.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,2,95
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,2,2,68
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,2,0,28
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2,2,46
Super built-up  Area,19-??.?.,Hennur Busstop,2 BHK,2,1,62.7
Super built-up  Area,18-?.?.,KR Puram,3 BHK,3,2,46
Super built-up  Area,Ready To Move,GB Palya,2 BHK,2,1,45
Built-up  Area,Ready To Move,AMS Layout,3 BHK,2,2,80
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,2,0,90
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,1,0,150
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,3,,135
Super built-up  Area,18-??.?.,Kadugodi,3 BHK,4,3,127
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,4,3,280
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3,2,380
Super built-up  Area,18-??.?.,Gaurava Nagar,3 BHK,2,2,46
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,2,2,98
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,1,2,38
Super built-up  Area,19-??.?.,Budigere,1 BHK,1,1,32
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,4,0,90
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,57.39
Built-up  Area,Ready To Move,Hoodi,3 BHK,3,2,65
Super built-up  Area,21-?.?.,Kanakpura Road,2 BHK,1,0,45
Super built-up  Area,Ready To Move,Singasandra,2 BHK,2,,55
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2,2,52.48
Built-up  Area,Ready To Move,Basapura,2 BHK,2,1,60
Super built-up  Area,Ready To Move,Hoodi,3 BHK,3,2,66.39
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,2,1,65
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,43.2
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,2,2,80
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,5,,200
Super built-up  Area,18-??.?.,Akshaya Nagar,3 BHK,2,2,85
Super built-up  Area,19-?.?.,Jakkur,3 BHK,3,1,124
Super built-up  Area,18-?.?.,Sarjapur  Road,3 BHK,2,1,75
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2,1,29
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2,1,78
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,44.08
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,3,1,172
Super built-up  Area,21-??.?.,Hebbal,3 BHK,3,2,127
Super built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,65.65
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,1,70
Built-up  Area,Ready To Move,AGS Layout,3 BHK,2,2,85
Built-up  Area,18-??.?.,Kengeri,1 BHK,1,1,10
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,3,1,166
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,2,2,53.5
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,68
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,1,61
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,1,56
Super built-up  Area,19-?.?.,Binny Pete,3 BHK,5,2,234
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2,3,55
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,1,0,220
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,4,1,50
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2,1,35
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,2,0,27
Carpet  Area,18-??.?.,Hebbal,2 BHK,2,0,42.72
Super built-up  Area,Ready To Move,Belathur,2 BHK,2,1,45
Super built-up  Area,18-??.?.,Maruthi HBCS Layout,3 BHK,3,3,39.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,0,42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,2,44
Built-up  Area,Ready To Move,Srirampura,3 BHK,3,3,100
Plot  Area,Ready To Move,Malleshwaram,9 Bedroom,8,,150
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,1,1,24
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,6,2,195
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2,2,63
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,1,125
Built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,32.64
Super built-up  Area,18-??.?.,Devanahalli Road,3 BHK,3,3,92
Built-up  Area,Ready To Move,Ejipura,3 BHK,3,0,110
Built-up  Area,18-?.?.,Horamavu Banaswadi,4 Bedroom,4,2,105
Carpet  Area,18-?.?.,Bhoganhalli,2 BHK,2,1,69.09
Super built-up  Area,18-??.?.,Doddathoguru,2 BHK,2,2,75
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,2,50
Built-up  Area,Ready To Move,Green Woods Layout,2 BHK,2,2,66
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,2,48.48
Super built-up  Area,Ready To Move,Craig Park Layout,2 BHK,2,3,148
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,3,115
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,2,2,48
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,2,3,122
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,2,2,31.5
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,3,3,70
Built-up  Area,Ready To Move,Attibele,1 BHK,1,1,14
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,2,2,50
Super built-up  Area,21-??.?.,Whitefield,2 BHK,2,1,95.05
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,39
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,1,40
Super built-up  Area,18-?.?.,Malleshpalya,2 BHK,2,2,46.86
Built-up  Area,Ready To Move,Whitefield,3 BHK,3,1,72
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,2,2,111
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,2,2,125
Plot  Area,Ready To Move,Jnanabharathi Layout,3 Bedroom,3,2,75
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,2,1,39
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,2,3,66
Super built-up  Area,Ready To Move,Chandapura,2 BHK,2,2,27
Plot  Area,Ready To Move,Chandapura,2 Bedroom,2,1,60
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,3,2,75
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,63.53
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,42
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,2,112
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,2,3,49
Built-up  Area,Ready To Move,Chikkasandra,2 BHK,2,2,42
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,1,66.5
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,3,57.6
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,2,72
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,2,92.15
Plot  Area,Ready To Move,Bharath Housing Society Layout,4 Bedroom,3,,200
Built-up  Area,Ready To Move,Chikka Tirupathi,5 Bedroom,5,2,105
Super built-up  Area,19-??.?.,Hebbal,4 BHK,5,3,198
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,2,1,86.98
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,2,1,73
Built-up  Area,18-?.?.,Whitefield,2 BHK,2,1,71
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,2,1,130
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,2,103
Super built-up  Area,19-?.?.,Sarjapur  Road,1 BHK,1,0,17.835
Super built-up  Area,21-??.?.,Vijayanagar,3 BHK,3,2,100
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,3,2,72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,41.39
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,4,0,210
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,2,1,40.39
Built-up  Area,Ready To Move,Sarjapur,2 BHK,2,1,42
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,3,2,95
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,2,2,50
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2,2,58
Built-up  Area,Ready To Move,Padmanabhanagar,5 Bedroom,4,2,440
Built-up  Area,Ready To Move,Hormavu,3 BHK,3,2,73
Built-up  Area,18-??.?.,Hoodi,4 Bedroom,4,1,140
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,38.24
Built-up  Area,Ready To Move,Ulsoor,3 BHK,3,1,450
Super built-up  Area,18-?.?.,JP Nagar,2 BHK,2,2,33.6
Built-up  Area,Ready To Move,HSR Layout,3 BHK,3,2,90
Built-up  Area,Ready To Move,Manjunatha Layout,2 BHK,2,1,60
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,2,2,32.69
Built-up  Area,Ready To Move,Yelahanka,3 Bedroom,3,1,251
Plot  Area,Ready To Move,Konanakunte Cross,2 Bedroom,1,1,180
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,2,46.55
Super built-up  Area,18-?.?.,Hosur Road,3 BHK,2,1,80.63
Super built-up  Area,18-?.?.,Banjara Layout,3 BHK,2,2,48
Built-up  Area,Ready To Move,Begur,3 BHK,3,2,75
Plot  Area,Ready To Move,Uttarahalli,5 Bedroom,5,1,200
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,4,2,80.27
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,4,3,540
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,2,2,47
Super built-up  Area,21-?.?.,Kanakpura Road,2 BHK,2,1,46
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,2,3,50
Super built-up  Area,21-?.?.,Kanakpura Road,2 BHK,2,1,46
Built-up  Area,Ready To Move,Singasandra,4 Bedroom,6,3,195
Plot  Area,Ready To Move,Kogilu,7 Bedroom,7,3,88
Super built-up  Area,16-?.?.,Yelachenahalli,2 BHK,1,1,150
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,3,100
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,6,3,110
Super built-up  Area,Ready To Move,Lakshmi Layout,3 BHK,3,1,120
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,4,2,72
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,1,33
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,3,120
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,2,2,68
Super built-up  Area,19-?.?.,Hoodi,3 BHK,3,2,75.77
Super built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,2,1,55
Super built-up  Area,Ready To Move,Jigani,3 BHK,3,3,54
Super built-up  Area,18-??.?.,Thirumenahalli,3 BHK,2,3,42.33
Super built-up  Area,17-?.?.,Whitefield,2 BHK,2,1,61.3
Super built-up  Area,19-??.?.,Hebbal,3 BHK,4,2,189
Plot  Area,Ready To Move,Kengeri,5 Bedroom,5,,500
Super built-up  Area,Ready To Move,KPC Layout,2 BHK,2,2,62
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,,40
Plot  Area,Ready To Move,JP Nagar,9 Bedroom,9,0,360
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,5,2,110
Built-up  Area,Ready To Move,Ardendale,4 BHK,4,3,200
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,3,2,56
Super built-up  Area,Ready To Move,Hebbal,4 BHK,5,2,215
Plot  Area,Ready To Move,Begur,4 Bedroom,4,2,130
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4,1,310
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,37.5
Super built-up  Area,Ready To Move,Nandi Durga Road,3 BHK,3,1,250
Super built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,3,1,125
Super built-up  Area,18-?.?.,Hosa Road,2 BHK,2,1,31.89
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,3,3,390
Carpet  Area,Ready To Move,Kumara Park,3 BHK,4,,350
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,3,0,80
Super built-up  Area,18-?.?.,Maruthi Nagar,3 BHK,3,1,39.5
Super built-up  Area,Ready To Move,Bommanahalli,1 BHK,1,0,19.5
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,5,,212
Built-up  Area,Ready To Move,Munnekollal,3 BHK,3,2,68
Super built-up  Area,18-?.?.,Whitefield,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,2,48
Super built-up  Area,18-?.?.,Kudlu Gate,3 BHK,2,1,92
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,6,0,228.5
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,2,2,37.1
Built-up  Area,Ready To Move,Kothannur,3 BHK,2,0,60
Plot  Area,Ready To Move,Chikkabanavar,3 Bedroom,2,0,80
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3,2,75
Super built-up  Area,19-??.?.,Hennur Road,3 BHK,2,1,92
Plot  Area,18-?.?.,Marsur,3 Bedroom,4,3,66
Super built-up  Area,Ready To Move,Shampura,2 BHK,2,3,53
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,3,2,75
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,0,58
Plot  Area,Ready To Move,Kereguddadahalli,6 Bedroom,4,0,60
Built-up  Area,Ready To Move,Nagarbhavi,3 Bedroom,3,0,160
Super built-up  Area,19-?.?.,Marathahalli,3 BHK,3,1,89
Super built-up  Area,22-??.?.,Kanakapura,1 BHK,1,1,30
Super built-up  Area,19-?.?.,Electronics City Phase 1,2 BHK,2,1,52
Super built-up  Area,Ready To Move,Balagere,2 BHK,2,1,78.5
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,2,3,52
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,3,2,125
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,1,42
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,3,1,180
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,2,1,34
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,4,1,270
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,2,2,50
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,3,1,72
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,2,2,68
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,2,59
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,1,62
Plot  Area,Ready To Move,Malimakanapura,3 Bedroom,3,0,70
Super built-up  Area,Ready To Move,Medahalli,2 BHK,2,1,51
Super built-up  Area,18-?.?.,Talaghattapura,3 BHK,3,0,120
Super built-up  Area,Ready To Move,Attibele,1 BHK,1,1,17
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,2,43.2
Plot  Area,Ready To Move,Kattigenahalli,4 Bedroom,4,,155
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,2,2,65
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,2,33
Plot  Area,Ready To Move,New Thippasandra,4 Bedroom,2,1,120
Built-up  Area,Ready To Move,Harlur,2 BHK,2,1,50
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,2,1,75
Super built-up  Area,Ready To Move,Garden Layout,3 BHK,3,3,93.93
Super built-up  Area,18-?.?.,Raja Rajeshwari Nagar,2 BHK,2,1,53.8
Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4 BHK,5,1,85
Super built-up  Area,Ready To Move,Konanakunte,4 BHK,4,3,160
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2,1,162
Built-up  Area,19-?.?.,"Hoodi Circle, ",2 BHK,2,1,58
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,2,2,74.39
Super built-up  Area,Ready To Move,Judicial Layout,3 BHK,3,3,162
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3,2,82
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4,3,300
Super built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,1,28.88
Super built-up  Area,18-?.?.,Ananth Nagar,2 BHK,2,2,24.55
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,2,89
Super built-up  Area,19-?.?.,Binny Pete,3 BHK,3,2,178
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,1,1,38.4
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,0,55
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,45
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4,2,245
Super built-up  Area,Ready To Move,T K Reddy Layout,3 BHK,3,1,75
Built-up  Area,Ready To Move,Herohalli,5 Bedroom,6,0,44.5
Plot  Area,Ready To Move,Kumbena Agrahara,6 Bedroom,4,1,135
Super built-up  Area,20-?.?.,Whitefield,3 BHK,3,2,54.65
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,3,89
Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6 BHK,4,2,214
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,88
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,56.17
Plot  Area,Ready To Move,Whitefield,5 Bedroom,5,3,900
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,2,90
Super built-up  Area,Ready To Move,frazertown,3 BHK,3,2,210
Plot  Area,Ready To Move,Akshayanagara East,5 Bedroom,4,1,300
Plot  Area,Ready To Move,Bannerghatta,3 Bedroom,3,0,57
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,6,0,224.5
Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,2,2,48
Super built-up  Area,Ready To Move,Kadugodi,5 BHK,5,0,135
Super built-up  Area,21-?.?.,Whitefield,1 BHK,,,28.585
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,4,2,215
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,2,46
