Sex,Education Level,Renew,Online Activity,Marital Status,Monthly Income,Months with Company,Brand Loyalty,Location Code,City,Years after high school graduation
Female,College,No,4.488171210932675,Married,4533.40499975874,4.0,0.929946951949151,Rural,New Castle,32.0
Female,College,No,5.5162787901086965,Married,2703.117298774976,83.0,-0.5826878525976087,Urban,New Castle,39.0
Female,College,Yes,6.071303716761624,Single,5107.396699051804,22.0,0.6477465690749409,Suburban,Manchester,32.0
Male,College,Yes,7.632450936281668,Divorced,2296.8355247567188,11.0,-0.028078058086132007,Rural,Manchester,35.0
Female,Graduate School,Yes,5.015792427227475,Married,4314.732566387649,36.0,-0.15579869985619582,Urban,London,19.0
Male,High School,Yes,4.672379391442062,Single,6106.529776015929,58.0,-0.022125345011727388,Rural,London,33.0
Female,High School,Yes,6.5814888251618155,Single,4800.067613599503,31.0,0.28442022095410036,Urban,New Castle,29.0
Male,Graduate School,Yes,6.16043159254825,Divorced,4932.068826865136,73.0,-0.4516637358571537,Urban,London,32.0
Female,High School,No,6.640820568018216,Divorced,6259.382335646252,60.0,-0.25556243124959827,Rural,New Castle,29.0
Male,College,Yes,7.470146710811095,Divorced,5951.892850058843,64.0,0.006985747744231496,Urban,Manchester,46.0
Male,High School,Yes,4.9572587026009645,Single,2427.602859713196,22.0,-0.4465137280434583,Urban,Manchester,33.0
,High School,Yes,5.310434369707844,Divorced,5002.948284025453,49.0,-0.14900922924151258,Rural,London,22.0
Female,College,Yes,6.255163417158401,Divorced,4530.715104601275,31.0,0.15728561465863533,Urban,London,40.0
Male,High School,No,5.375325741907386,Married,7170.338128461007,59.0,-0.8131654684428851,Suburban,New Castle,43.0
Male,College,No,4.895796867188557,Married,4321.133806562995,57.0,-0.12551012283472254,Suburban,London,45.0
Female,College,Yes,6.4301448327333315,,5812.677674506979,38.0,0.2693957527842123,Urban,Manchester,46.0
Female,College,Yes,6.74097784282549,Divorced,5653.152765622097,20.0,0.7713340858283418,Rural,New Castle,34.0
Male,Graduate School,Yes,6.976331205733606,Divorced,5601.980181540685,46.0,0.1396357904421301,Urban,Manchester,33.0
,College,No,5.914129291629646,Single,3389.2021502275484,66.0,-0.6931231511973981,Rural,Manchester,47.0
Male,College,Yes,6.080719047366403,Single,3985.085596570413,41.0,-0.3109806320418647,Suburban,New Castle,33.0
Male,High School,Yes,7.7892289887942265,Divorced,6963.551642751074,62.0,0.3282539156962887,Urban,New Castle,33.0
Female,High School,No,4.046698694781297,Married,2483.5237524063637,13.0,0.1442612208669125,Urban,New Castle,27.0
Male,Graduate School,No,4.112925597641929,Married,6659.550624443204,32.0,1.0325142900624407,Rural,,22.0
Female,High School,Yes,6.081527395353397,Divorced,5276.277623914326,35.0,0.23296521815684723,Suburban,Manchester,32.0
Female,College,No,3.7498840578941843,Single,5050.387009026215,56.0,-0.589136174407483,Rural,New Castle,34.0
Female,College,Yes,5.661740007434264,Divorced,6921.929986505934,52.0,0.39236014090267246,Urban,New Castle,33.0
Male,High School,Yes,5.504863346688104,Single,3641.7083437116726,28.0,-0.09795081930254673,Urban,Manchester,21.0
Male,High School,Yes,8.125888606092982,Single,6094.743692385433,59.0,0.2966846512763243,Urban,Manchester,27.0
Male,High School,Yes,7.447147547453705,Divorced,4932.27436720707,66.0,-0.09543508097648838,Suburban,London,31.0
Female,College,Yes,7.335299506856389,Single,5248.277260656185,29.0,0.3682542892609708,Urban,New Castle,52.0
Female,College,Yes,5.756317747957551,Divorced,3504.39585032569,35.0,-0.19084847350041514,Suburban,New Castle,30.0
Male,High School,No,4.579738510397664,Divorced,4468.633262048059,107.0,-0.548693552381933,Urban,Manchester,31.0
Female,High School,No,5.635666039942848,Married,3297.200601053448,39.0,0.9392057672360612,Suburban,New Castle,27.0
Male,Graduate School,No,3.4302693450197284,Married,,37.0,0.06732744586910128,Rural,New Castle,28.0
Male,Graduate School,Yes,,Married,5329.8525901840185,32.0,0.16903914167822864,Urban,New Castle,26.0
Female,Graduate School,Yes,7.76412405438885,Single,3371.571330095231,58.0,,Suburban,New Castle,35.0
Female,High School,No,4.750228891466927,Married,3099.3439340056284,65.0,0.16069355203128577,Rural,New Castle,12.0
Male,College,Yes,6.716763441106049,Single,6333.700531791486,63.0,0.10390297304881829,Urban,New Castle,47.0
Female,Graduate School,Yes,7.40939907446959,Single,5506.151041285853,63.0,-0.16556355646027074,Urban,Manchester,37.0
Male,High School,Yes,6.647081405044795,Single,4175.448561249646,36.0,-0.018077996797765616,Urban,New Castle,40.0
Male,High School,Yes,7.118308331458609,Single,6005.304126680453,66.0,-0.22239018801300217,Urban,Manchester,
Female,High School,Yes,7.269241853522395,Divorced,3441.5520998716433,55.0,-0.5914908085545002,Rural,London,36.0
Female,Graduate School,No,4.312278693194213,Married,5210.544011032706,77.0,-0.4632686362858998,Rural,Manchester,29.0
Male,Graduate School,Yes,8.279050148548029,Single,4550.997683549098,67.0,-0.5597643634254317,Urban,London,24.0
Female,College,Yes,6.109744794243027,Divorced,5496.511478842076,48.0,0.0911949579786383,Urban,London,38.0
Female,,No,5.291903636663051,Married,5935.973673519898,100.0,-0.6556389860578116,Rural,New Castle,22.0
Female,Graduate School,No,4.870619870916007,Divorced,5109.502067385824,76.0,0.04379794410747867,Rural,Manchester,13.0
Male,High School,Yes,8.222624513062,Divorced,6566.514974647203,54.0,0.2619275022222132,Suburban,London,28.0
Male,Graduate School,No,4.485367645544834,Married,5237.954593994034,70.0,-0.2621654804101972,Rural,Manchester,28.0
Male,Graduate School,No,3.9130977374851525,Single,6298.062133534603,83.0,-0.53477553639836,Rural,New Castle,20.0
Male,High School,No,4.600910603718056,Married,6225.960556721795,89.0,-1.063811417648001,Suburban,Manchester,25.0
Male,,Yes,4.813462400558956,Married,4518.356385091938,24.0,0.34681090865790487,Urban,Manchester,27.0
Male,Graduate School,No,4.019007962362212,Married,4892.402371367844,21.0,0.8737148621093,Suburban,Manchester,29.0
Female,High School,Yes,6.094995783169934,,4901.133241071239,14.0,0.481997593644515,Suburban,,38.0
Male,Graduate School,No,4.556581476648522,Single,5640.8717806688555,82.0,-0.01949654253453681,Rural,London,21.0
Female,College,Yes,7.342443564397302,Married,4336.424148265451,50.0,-0.3744079832780593,Suburban,New Castle,49.0
Male,High School,Yes,7.86784208049659,Divorced,5949.887704691894,50.0,0.12879246896328,Urban,London,38.0
Male,High School,Yes,5.112521794759397,Divorced,4522.266497958712,54.0,-0.4530007024601025,Urban,Manchester,23.0
Male,College,No,7.083718549542503,Married,1267.6753518222213,52.0,-0.16653689467528968,Urban,London,26.0
Female,Graduate School,Yes,6.5991130511732035,Divorced,5864.678890009509,21.0,0.9553047067747977,Urban,London,30.0
Female,High School,Yes,4.810617412047469,Single,4222.862742462216,49.0,-0.35333093244707403,Urban,Manchester,13.0
Male,College,Yes,5.518943898099361,Divorced,,51.0,-0.0763782812808343,Suburban,London,46.0
Female,High School,Yes,8.913506016753086,Divorced,7093.1370168625945,41.0,0.8483493375115156,Urban,New Castle,40.0
Male,College,No,3.4465484858903306,Divorced,,44.0,0.44380734120221255,Rural,London,40.0
Female,High School,Yes,4.475880850468075,Single,4313.585589910757,55.0,-0.5825909274152788,Urban,London,32.0
Male,College,No,4.618370202012769,Married,3771.7472202255685,88.0,-0.239772817161631,Rural,Manchester,48.0
Female,Graduate School,No,6.197732347871586,Single,5463.116427221461,53.0,0.12999087978941937,Rural,Manchester,41.0
Male,Graduate School,No,5.493268499527585,Married,4335.163699808995,61.0,0.691237400962655,Rural,Manchester,22.0
Female,High School,Yes,6.732886610075806,Divorced,5032.033786405031,83.0,-0.9046081870089728,Urban,London,27.0
Female,Graduate School,Yes,5.649861074915652,Divorced,5572.369256021222,39.0,0.24914070485403733,Urban,Manchester,
Female,College,Yes,6.721191165466919,Divorced,5058.139781573877,53.0,-0.0015366599044122908,Urban,New Castle,31.0
Male,High School,Yes,9.16126018467875,Single,7357.275562228004,51.0,0.9483172875138701,Suburban,London,29.0
Female,Graduate School,No,5.133735331651274,Married,5724.79461766766,76.0,-0.7172081348416591,Rural,Manchester,24.0
Female,College,Yes,3.717926214667489,Divorced,3730.709242192744,52.0,-0.821170046915761,Suburban,Manchester,39.0
Male,College,Yes,6.6796214455105,Single,4666.977964380654,25.0,0.38132299615815757,Urban,New Castle,30.0
Female,Graduate School,Yes,4.552238651436057,Single,4657.980838003761,51.0,-0.2791059131051439,Urban,London,21.0
Female,High School,No,6.472071577907568,Married,5407.22642417377,63.0,-0.07162874512690112,Rural,London,24.0
Female,Graduate School,Yes,7.61911088676409,Single,4086.1099887124756,30.0,0.24850050516311778,Urban,Manchester,32.0
Female,College,No,5.656452783457729,Married,3809.2754496969687,68.0,-0.2479023769972985,Rural,Manchester,40.0
Male,High School,No,3.209731156633599,Single,5858.100799500313,42.0,0.5673882945519033,Rural,London,24.0
Male,Graduate School,Yes,3.9699003067094125,Single,4189.344673963046,45.0,-0.38563112000847954,Suburban,Manchester,40.0
Female,Graduate School,No,5.272858110712803,Married,4037.844500739914,68.0,-1.0571382826387183,Rural,London,32.0
Male,Graduate School,Yes,,Single,6393.855828015094,42.0,0.3556713874339965,Urban,London,47.0
Male,Graduate School,Yes,4.427526509675945,Single,3632.36300863253,45.0,-0.5108788515509908,Urban,New Castle,47.0
Male,Graduate School,Yes,5.849528684991768,Divorced,5176.996844665555,76.0,-0.9242248689755623,Suburban,London,34.0
Female,College,Yes,8.89168970840244,Divorced,6757.668936019805,59.0,0.36059252038933565,Urban,New Castle,41.0
Female,High School,Yes,5.572299029334315,Divorced,4750.022217801558,61.0,-0.4189066044012691,Suburban,London,33.0
Male,College,No,6.1318150138143315,Married,5696.647484126952,81.0,-0.5949399346277573,,London,34.0
Female,High School,No,5.846879006133712,Divorced,3080.4688231177465,76.0,-0.5635755841945189,Suburban,London,34.0
Female,College,Yes,5.948091956437044,Divorced,4199.162931538129,45.0,-0.19426025865099927,Suburban,London,47.0
Male,High School,Yes,6.490942217064682,Married,5191.469575001363,,0.22110012972916387,Suburban,Manchester,33.0
Female,Graduate School,Yes,6.538315871961346,Married,5702.69445199913,30.0,0.6287711933969072,Suburban,New Castle,24.0
Female,High School,Yes,7.178806488647239,Divorced,4843.134179689363,29.0,0.4653106924721202,Urban,Manchester,32.0
Female,Graduate School,,6.558499387760818,Single,4036.948427197422,61.0,-0.5852616021852375,Urban,Manchester,29.0
Female,,Yes,6.604918270850426,Single,5897.563194753909,46.0,0.17156810459153882,Rural,London,33.0
Female,College,Yes,4.970058689926335,Single,5902.302391924137,52.0,0.21518548520438402,Urban,London,22.0
Male,Graduate School,No,5.580349523428108,Single,4607.264707144894,60.0,0.41497309819638883,Rural,Manchester,36.0
Male,High School,No,3.7205724562742493,Divorced,4969.938897133876,74.0,-0.06672362393161993,Rural,Manchester,31.0
Male,Graduate School,No,3.764224223680724,Single,,63.0,-0.3122181671026114,Suburban,Manchester,44.0
Female,Graduate School,Yes,6.3323408952887865,Divorced,6564.6734692149,69.0,0.0675388589855756,Urban,Manchester,46.0
Male,High School,Yes,7.192594026848402,Married,5132.962176819529,44.0,0.11535072022191462,Urban,London,27.0
Female,Graduate School,No,5.05641183868968,Married,4662.080386416316,89.0,-0.16435855569170837,Urban,New Castle,41.0
Male,College,No,4.6374496982825,Married,6136.062138166551,65.0,-0.5608761010926523,Suburban,London,33.0
Female,College,Yes,6.971625796114145,Divorced,5203.569682991238,45.0,0.20542519982995983,Rural,New Castle,31.0
Female,Graduate School,Yes,6.9510628221485575,Married,4363.422587842414,45.0,-0.06073786149604726,Urban,Manchester,27.0
Female,Graduate School,Yes,8.668752700040951,Divorced,5299.430194567653,76.0,-0.4256269223121483,Rural,Manchester,34.0
Female,College,Yes,7.464793875753249,Divorced,5031.434245988794,39.0,0.2274769849278377,Urban,New Castle,25.0
Male,Graduate School,No,4.824260755599528,Married,3848.8971823292745,99.0,-0.23671753183869731,Suburban,Manchester,37.0
Female,High School,Yes,4.6894705940125725,Divorced,5239.229721987605,55.0,-0.4171780615155252,Urban,Manchester,24.0
Male,High School,Yes,6.882444601593727,Divorced,5197.472382488839,37.0,0.3797902062240479,Suburban,Manchester,19.0
Female,College,Yes,6.516304560297605,Married,5367.386686832286,30.0,0.28977119526156386,Suburban,New Castle,46.0
Male,College,No,3.528647825238814,Divorced,4346.905799850721,33.0,0.8344240576318991,Rural,New Castle,38.0
Male,High School,Yes,7.684626655638361,,2774.519559681859,14.0,0.14252634548692106,Suburban,New Castle,35.0
Male,College,Yes,4.645009321111807,Single,2819.646595497979,37.0,-0.5400924938153218,Urban,New Castle,41.0
Male,Graduate School,No,6.242381602967435,Single,4641.027628048947,94.0,-0.13831695683311698,Suburban,London,30.0
Male,Graduate School,Yes,6.58376781053254,Single,4532.88768133508,13.0,0.365475888528326,Rural,Manchester,30.0
,Graduate School,Yes,8.064777640942376,Divorced,4066.0959435506675,28.0,0.1875541504163027,Suburban,New Castle,39.0
Female,Graduate School,Yes,6.0162978704790815,Divorced,4476.522491124964,78.0,-0.7502263497101056,Urban,New Castle,33.0
Female,Graduate School,Yes,6.921545159934315,Divorced,4300.213569606638,33.0,-0.05862919526961713,Suburban,Manchester,39.0
Male,College,Yes,5.153176783774344,Divorced,3326.1653828038216,23.0,-0.025170597901665703,Rural,London,32.0
,High School,Yes,4.839031110127957,Single,5519.392445448109,73.0,-0.48479056754644073,Urban,New Castle,40.0
Female,High School,No,5.795863331194311,Married,5008.346709418681,82.0,-0.5254963618874525,Suburban,London,34.0
Female,High School,Yes,7.253578304030428,Single,4561.347762929256,22.0,0.3567000978832089,Rural,Manchester,34.0
Female,College,Yes,6.011656933447181,Single,2724.046138434608,22.0,-0.32684445546537993,Urban,London,37.0
Female,High School,No,6.298779610646219,Married,5852.338664752284,51.0,-0.40316119290589225,Suburban,London,26.0
Female,High School,Yes,6.664657624597821,Divorced,4297.575248426478,42.0,-0.00493184088782872,Urban,Manchester,41.0
Male,College,No,4.372029204129547,Single,4249.076267317797,23.0,,,London,43.0
Female,Graduate School,Yes,8.203554707222288,Married,5883.978418424839,58.0,0.048455142977736426,Urban,London,28.0
Male,College,Yes,4.944377020553835,Single,4166.904104801379,28.0,0.15280192386387315,Urban,Manchester,31.0
Female,Graduate School,No,5.397015776162171,Single,,40.0,-0.3937681622990993,Urban,New Castle,17.0
Female,College,Yes,5.443538771777358,Divorced,3897.732785697813,29.0,0.15691760810439237,Urban,London,49.0
Male,High School,Yes,6.165136932206179,Single,6147.116369451431,28.0,0.7553286253026403,Urban,London,31.0
Female,College,Yes,8.830887898603883,Divorced,4581.727328578757,36.0,0.15763967304065518,Urban,London,29.0
Male,High School,Yes,5.987271761877061,Single,3480.0778091235034,38.0,-0.21197083134236935,Urban,London,30.0
Male,High School,Yes,7.29378356207399,Married,5092.354481691954,48.0,-0.09161053132659185,Suburban,New Castle,38.0
Male,Graduate School,No,3.7202791873869097,Single,6436.620637570458,53.0,0.38118790740115616,Rural,New Castle,46.0
Female,College,No,4.246383838344652,Married,5067.731684225929,21.0,0.49928244043849135,Rural,Manchester,34.0
Female,Graduate School,Yes,4.2257635064678265,Divorced,4294.681540231679,52.0,-0.5435995154457649,Suburban,Manchester,29.0
Female,Graduate School,No,6.304372311480291,Married,6296.257050740189,58.0,0.391290905067856,Suburban,New Castle,46.0
Female,Graduate School,Yes,6.190763803067609,Divorced,5519.953982387449,59.0,-0.32174389975782025,Urban,New Castle,36.0
Male,Graduate School,Yes,5.7129230264004205,Divorced,3957.5323848017815,27.0,-0.1099597924157201,Urban,Manchester,22.0
Male,College,Yes,8.016871748340145,Divorced,5869.422932481152,58.0,0.11552558012947872,Urban,Manchester,38.0
Male,High School,Yes,7.442857723708277,Single,4780.328870806494,60.0,-0.3708331896345576,Suburban,London,34.0
Female,College,No,3.7740744130157067,Married,5369.180136699632,75.0,-1.1293372053149635,Rural,London,44.0
Female,College,Yes,7.393746364849445,Single,3250.7996359537738,19.0,-0.012376447170031696,Urban,Manchester,53.0
Female,College,Yes,6.970801793766085,Single,5530.943115209497,51.0,0.13254262734664418,Rural,London,36.0
Male,High School,Yes,5.560108098722373,Married,4991.552353351915,65.0,-0.36691901137156663,Urban,Manchester,42.0
Female,Graduate School,No,5.327375921593945,Married,4820.725231147024,61.0,0.2565318335986841,Suburban,New Castle,29.0
Male,Graduate School,Yes,6.3417768248224995,Single,,51.0,-0.19009762929238191,Urban,New Castle,31.0
Male,Graduate School,Yes,7.5742030291677604,Single,4092.311962838554,42.0,0.0818286677006465,Suburban,New Castle,38.0
Male,College,Yes,6.464710488341256,Single,4065.763138687671,42.0,-0.2719179844509198,Rural,Manchester,34.0
Female,High School,No,4.2564191817136,Married,5820.985685877272,20.0,0.616062047158719,Suburban,London,31.0
Female,College,No,5.091126856370276,Married,4099.344921795172,49.0,,Suburban,Manchester,33.0
Male,High School,No,4.556605445498107,Married,5235.635430397002,76.0,0.12388547438621689,Rural,New Castle,42.0
Male,College,Yes,2.136658447250467,Divorced,3134.2232691980257,34.0,-0.5952790246093449,Urban,Manchester,
Female,High School,,5.268793100339499,Single,3939.604589732489,62.0,-0.6041989323107536,Rural,London,34.0
Female,High School,Yes,6.8457692552656955,Single,6913.432932688314,29.0,1.1420939426766605,Urban,London,32.0
Male,College,No,3.4916827488027518,Married,6325.670615299222,55.0,0.23929729070625105,Rural,New Castle,17.0
Female,High School,No,4.430779757551715,Married,6130.886354734931,37.0,0.18591662786343388,Rural,Manchester,9.0
Female,,Yes,5.214080293648083,Married,4698.799278623619,25.0,,Suburban,New Castle,39.0
Female,College,No,3.4280799175652823,Married,4550.832080900833,54.0,0.2370065685875274,Rural,Manchester,36.0
Female,Graduate School,Yes,7.371629570698821,Divorced,3501.944490949819,41.0,-0.35849068443661447,Suburban,,50.0
Male,High School,No,3.724760660828708,Married,4338.784044989372,64.0,-0.12831169875702597,Rural,London,36.0
Male,Graduate School,Yes,7.1654047800756215,Divorced,5730.573674272646,31.0,0.6244102611060366,Urban,New Castle,28.0
Male,College,Yes,6.462685255353539,Divorced,4653.24746469066,37.0,0.05613104280391029,Suburban,Manchester,42.0
Female,High School,No,3.8265232736812065,Divorced,5040.447903255512,38.0,0.018684586241265316,,,24.0
Female,Graduate School,Yes,4.750148513709233,Single,4566.159898649604,24.0,0.20221638311903606,Rural,New Castle,38.0
Female,High School,,6.198491519961565,Married,3842.1130367362834,58.0,0.5704273279542743,Rural,New Castle,25.0
Female,College,No,3.7640052824522767,Divorced,5238.304735012705,56.0,0.10485063415155987,Suburban,London,33.0
Male,College,Yes,5.439944334648056,Single,4265.688490674816,70.0,-0.6377380097038516,Urban,London,28.0
Female,College,No,5.5423151755274755,Married,3275.4076257284096,55.0,0.26341270719250437,Rural,Manchester,33.0
Female,College,No,4.541887404880496,Married,6628.736659844746,39.0,-0.0736404511631931,Suburban,New Castle,35.0
Female,,No,4.60642199177571,Married,3545.4697683068225,64.0,0.7988714024611714,Rural,Manchester,31.0
Male,College,Yes,3.945736264838766,Married,,70.0,-0.8460041906688389,Urban,London,31.0
Male,College,No,4.4157873505667045,Divorced,4031.1141240229645,53.0,0.13969774196281282,Urban,New Castle,34.0
Male,Graduate School,Yes,7.451886133671829,Divorced,5385.672577706081,48.0,0.10914168436780836,Urban,London,44.0
Female,Graduate School,Yes,6.680203300196525,Divorced,3419.6901910056213,,0.3229501192868208,Urban,New Castle,46.0
Female,High School,No,4.949436026254288,Divorced,5351.074260777532,44.0,,Rural,Manchester,32.0
Male,High School,No,4.5362290696389636,Married,4284.979638672955,23.0,0.7497857071484216,Suburban,New Castle,39.0
Female,College,No,5.258389469719677,Divorced,4579.539082184417,69.0,-0.10968805086887506,Rural,New Castle,42.0
Male,College,Yes,9.867039454926331,Single,6987.458723769046,54.0,0.6377144737849559,Urban,London,29.0
Male,Graduate School,Yes,5.790387462895966,Single,3671.017928343904,39.0,-0.3906820338332059,Rural,Manchester,40.0
Male,College,No,4.194971687559315,Married,4632.761780285096,80.0,0.06204998277697532,Suburban,Manchester,19.0
Male,Graduate School,Yes,5.205037606727322,Single,5047.672616450427,44.0,-0.05030126014489697,Urban,London,27.0
Male,Graduate School,,8.537080489150316,Single,4630.700728866374,32.0,0.3200641027269344,Rural,London,30.0
Male,High School,Yes,3.991798897929702,Divorced,4427.66340041111,86.0,-1.2126187660590906,Rural,London,
Female,High School,Yes,5.536215965836689,Single,3594.9696025695284,41.0,-0.5069684861007666,Urban,Manchester,29.0
Male,College,Yes,5.488971485965688,Single,4627.600611197409,41.0,-0.06335871151508093,Urban,Manchester,35.0
Female,High School,No,6.014369765914594,Married,4904.537103857827,72.0,-0.40596034468708775,Rural,London,23.0
Female,Graduate School,Yes,7.856932281102447,Married,7097.641322943255,56.0,0.5624937037099292,Urban,New Castle,42.0
Female,Graduate School,Yes,5.114759865151472,Divorced,5255.1689552332655,35.0,0.38933844688860997,Urban,London,29.0
Male,College,No,4.435275530159089,Married,3268.703472734245,61.0,-0.09764113485028143,Rural,London,42.0
Male,College,Yes,3.015358161569827,Single,3376.2410378509235,45.0,-0.7095448197881828,Urban,New Castle,40.0
Male,Graduate School,Yes,6.997267916518551,Divorced,7164.19444968859,68.0,0.31119515808406784,Rural,Manchester,24.0
Male,High School,No,5.336750521420125,Divorced,4101.944511702062,106.0,-0.9154509384991444,Urban,Manchester,27.0
Female,Graduate School,No,5.252803715569623,Single,6909.757009705253,45.0,,Rural,Manchester,43.0
Male,Graduate School,No,4.411009178259929,Married,5421.485845625062,57.0,-0.32933008960539734,Rural,New Castle,23.0
Female,College,Yes,7.5760564916427064,Single,5243.887830267879,19.0,0.6771435161094864,Urban,Manchester,37.0
Male,College,Yes,6.975697626694071,Married,5821.143459136456,41.0,0.271677261656782,Urban,London,48.0
Female,High School,No,6.338331740603728,Married,3077.48826019432,97.0,-0.41919164090353056,Suburban,New Castle,27.0
Male,Graduate School,Yes,4.099319356343262,Divorced,5254.809775031396,59.0,-0.22370461937559077,Urban,London,34.0
Female,Graduate School,No,2.7568387340250724,Married,7429.617363872127,51.0,0.39528743059742566,Rural,Manchester,35.0
Female,Graduate School,No,4.391394685950047,Divorced,6292.325735254982,92.0,-0.7708663563376359,Suburban,London,48.0
Female,Graduate School,No,5.337542727124647,Single,4574.27836486444,69.0,-0.37610642709196374,Suburban,London,32.0
Female,Graduate School,No,5.688321330982324,Married,4663.667768735545,90.0,-0.5809070906175102,Suburban,Manchester,34.0
Male,High School,Yes,6.598750190628255,Married,4369.679011792541,29.0,0.22845024635827865,Urban,New Castle,39.0
Female,College,Yes,7.544799835645058,Single,4819.102220879313,42.0,0.15769629651231049,Urban,London,51.0
Female,College,No,3.234423504242937,Single,5503.612495965917,44.0,-0.11470819624396658,Rural,Manchester,42.0
Female,High School,No,3.8212154661349977,Married,6225.511543440599,37.0,0.836421989517139,Rural,Manchester,37.0
Male,Graduate School,,7.280311653287585,Married,5113.370608161874,59.0,-0.2892170417104839,Rural,London,19.0
Female,Graduate School,Yes,6.720077139540961,Divorced,4544.205223621466,22.0,0.4368516908023623,Suburban,London,30.0
Female,College,No,5.315722765275868,Divorced,5857.210698393885,89.0,-0.44253639103511283,Suburban,New Castle,26.0
Male,College,Yes,5.914820884048265,Single,4588.415218129028,39.0,0.16146869135062747,Urban,Manchester,20.0
Female,College,Yes,7.002361317138503,Divorced,4730.184801974042,53.0,-0.25611317951582707,Urban,New Castle,30.0
Female,College,Yes,3.5168036082470078,Divorced,3172.589192045868,23.0,-0.3806794965697067,Suburban,Manchester,36.0
Female,High School,Yes,5.774260117638434,Married,4191.241394961795,31.0,0.005405016789839928,Urban,New Castle,41.0
Male,Graduate School,Yes,3.804795704071072,Single,4333.147163111655,16.0,0.21140577595372767,Suburban,Manchester,29.0
Female,High School,No,5.423728149081853,Single,4816.538998830284,56.0,-0.2021106071766477,Suburban,New Castle,19.0
Male,High School,Yes,4.315173287879458,Married,5663.344672747648,30.0,0.5366099592713167,Rural,Manchester,39.0
Female,College,No,,Married,5813.842716469204,91.0,-0.10554708989128281,Suburban,Manchester,34.0
Male,College,Yes,6.92582554329785,Divorced,3395.437982867959,48.0,-0.5587506854885151,Rural,Manchester,34.0
Female,Graduate School,Yes,6.121930998031509,Divorced,7155.63748094382,58.0,0.3852894181241606,Suburban,New Castle,27.0
Male,High School,No,4.106689946320502,Single,4836.457522829138,78.0,-0.02029437835560957,Rural,New Castle,24.0
Male,Graduate School,Yes,5.598570984740463,Divorced,2656.5612367083777,27.0,-0.4061309001114714,Rural,London,38.0
,Graduate School,Yes,7.44264540347379,Divorced,5476.350820253272,49.0,0.2901167963607695,Urban,Manchester,27.0
Female,Graduate School,No,3.5475461117531815,Single,5236.500195701818,68.0,-0.4154260157483052,Rural,Manchester,36.0
Male,Graduate School,No,2.4046414187830387,Divorced,5152.441024877287,59.0,0.05981307591466695,Rural,New Castle,25.0
Male,High School,No,5.254325830363752,Single,4772.664595283381,79.0,0.2730277540888094,Rural,New Castle,30.0
,Graduate School,Yes,4.733581958419203,Single,4151.091032243048,41.0,-0.28219140259709874,Suburban,New Castle,31.0
Female,College,Yes,5.280772894093849,Single,3514.9217818125803,17.0,0.0010343290828558893,,London,42.0
Female,High School,No,5.009267211324634,Single,5600.936341572049,71.0,-0.16923747399059505,Urban,Manchester,48.0
Female,High School,No,5.554643906332819,Single,5206.436943545878,63.0,-0.3609176877063224,Suburban,New Castle,37.0
Male,High School,No,3.120872394380223,Married,7633.449425334954,46.0,0.335928865975646,Suburban,Manchester,31.0
Male,High School,Yes,3.321574383195681,Divorced,3928.057174328948,25.0,-0.06878916128795651,Suburban,London,17.0
Female,Graduate School,Yes,6.347624969452379,Divorced,,28.0,0.6572920545930647,Urban,New Castle,21.0
Male,Graduate School,Yes,7.733530623534049,Divorced,5359.819293580422,33.0,0.5996839501008081,Urban,Manchester,42.0
Female,Graduate School,Yes,4.757574938652334,Divorced,3698.2750387629576,43.0,-0.6274542827154651,Suburban,New Castle,38.0
Female,High School,Yes,6.615855441885529,Single,5448.430799507574,45.0,0.3230352368046513,Rural,Manchester,30.0
Female,Graduate School,No,4.806862126300572,Married,5790.4881817221685,72.0,-0.735792409315502,Rural,London,27.0
Male,Graduate School,Yes,6.667077974095136,Single,4158.456210444434,53.0,-0.35579693844244825,,London,17.0
Female,High School,No,5.370674751089737,Divorced,4974.959686579048,68.0,-0.22783801777473997,Rural,New Castle,25.0
Male,High School,Yes,6.010406184112198,Divorced,6177.56840375512,61.0,-0.1309092795050495,Urban,New Castle,40.0
,High School,Yes,5.214685285347771,Single,3817.671699310568,4.0,0.32686685598047427,Urban,Manchester,35.0
Female,Graduate School,Yes,7.067737221606026,Married,4645.891293374314,2.0,0.8633846256082427,Urban,Manchester,29.0
Female,High School,No,4.242551468131127,Single,6284.674614478983,59.0,-0.10699915129964603,Rural,Manchester,36.0
Male,College,Yes,5.83645705637472,Single,5206.99286044071,44.0,-0.17566051644109362,Urban,New Castle,48.0
Female,High School,No,6.451774852940666,Single,4275.7350324593845,70.0,0.22951979984474963,Suburban,New Castle,23.0
Female,College,No,5.457195941080738,Married,3979.042115711314,,0.4460284007048807,Suburban,Manchester,37.0
Male,Graduate School,Yes,8.904791165641498,Single,4301.276551247453,58.0,-0.10853530200728595,Suburban,London,41.0
Female,College,Yes,8.08054079871673,Divorced,5175.7357317821925,47.0,0.09215736697890087,Urban,New Castle,34.0
Female,Graduate School,No,3.745678719139391,Divorced,5892.658394951817,87.0,-0.6113748514772935,Rural,London,25.0
,Graduate School,Yes,6.007530940464434,Divorced,3627.143741760411,54.0,-0.5564321233299803,Suburban,Manchester,29.0
Male,High School,Yes,5.125115819805764,Divorced,,44.0,0.3086220940870016,Suburban,New Castle,40.0
Male,College,No,4.348090896548843,Single,4742.752046810545,46.0,0.4350606717492044,Urban,London,29.0
