Marital Status,Education Level,Brand Loyalty,Online Activity,Years after high school graduation,Sex,Renew,Annual Income,Location Code,Years with Company,City
Single,Graduate School,0.33413594440835126,3.9069345541771665,24.0,Male,Yes,57983.08897533619,Urban,4.0,London
Married,College,0.26784143634307295,4.486200368614476,28.0,Male,No,44237.021369758906,Rural,4.0,London
Single,High School,-0.4344611884469318,6.478456635076398,35.0,Female,Yes,43294.89124787943,Rural,5.0,London
Divorced,Graduate School,-0.017849941671614925,3.8118999608927515,31.0,Female,No,39736.71513850556,,5.0,New Castle
Divorced,High School,0.16039118634916255,6.250309976247284,29.0,Male,Yes,68688.5822084725,Rural,5.0,London
Single,College,0.09090221019863923,5.624293884442097,18.0,,Yes,39202.953805607205,Urban,9.0,New Castle
Divorced,High School,-0.6694125327125379,8.356485039168973,36.0,Female,Yes,60610.92801138019,Urban,6.0,Manchester
Single,High School,0.006602941248106002,6.074071251115257,49.0,Male,No,60814.68147111093,Rural,5.0,New Castle
Married,Graduate School,0.08718754340499121,5.514624069910967,27.0,Male,No,46526.765655883886,Suburban,4.0,New Castle
Single,High School,-0.7883111947192745,6.095490931987026,38.0,Female,No,56552.85853426127,Rural,3.0,Manchester
Divorced,,0.5985979624105215,5.758221486957318,28.0,Female,Yes,55123.19318217175,Urban,4.0,
Single,High School,-0.33089905350157695,4.886059222328845,31.0,Male,No,75112.12816447737,Rural,2.0,London
Single,Graduate School,0.21383044241129467,7.666399224579273,28.0,Male,Yes,70439.00844862143,Urban,4.0,Manchester
Single,College,0.22523105399186288,5.695634706320178,22.0,Male,Yes,66966.74838795744,Suburban,4.0,Manchester
Single,Graduate School,0.5639590582999027,5.185959846809355,40.0,Male,No,53074.831797202474,Urban,5.0,Manchester
Divorced,College,-0.02507646001954693,3.788740334963941,21.0,Male,Yes,44695.25915496297,Suburban,,Manchester
Divorced,High School,-0.12460715630473412,6.540076533823164,20.0,Male,Yes,39278.93686519533,Suburban,7.0,Manchester
Single,High School,0.23983678102404793,6.294021108257656,24.0,Female,Yes,74539.54830466327,Urban,,London
Married,High School,0.1405347948585569,6.795790287669001,30.0,Male,Yes,47059.83178712198,Suburban,4.0,Manchester
Divorced,College,0.13243715827701474,6.5633781227239645,39.0,Male,No,65127.51344327781,Rural,3.0,Manchester
Married,High School,0.18862519724418192,4.705526910000199,44.0,Female,No,64830.29355906973,Rural,4.0,London
Divorced,College,0.4097154923128473,6.166598580386651,27.0,Male,Yes,76689.6499763992,Urban,4.0,Manchester
Married,Graduate School,0.09553562099944257,4.655797801354657,32.0,Male,No,54550.98517527369,Rural,3.0,London
Divorced,High School,-0.6569902799260174,6.0241673455264175,21.0,Female,Yes,59469.4787363279,Suburban,5.0,London
Single,High School,-0.4170138299768236,6.129862537898186,35.0,Male,No,63429.6906490396,Rural,6.0,
Divorced,College,0.09065547427081164,5.080461030272939,25.0,Female,Yes,78453.1116433123,Suburban,6.0,New Castle
Single,High School,0.2628327568030732,8.616458182663926,40.0,Female,Yes,36276.687240259096,Urban,5.0,Manchester
Divorced,Graduate School,-0.6958802153592093,4.8484376823028486,29.0,Female,Yes,48875.464146115584,Urban,4.0,New Castle
Single,High School,-0.2630476523564952,5.17228621292575,16.0,Female,Yes,50241.74215982395,Rural,4.0,London
Divorced,College,0.06376821193803293,7.123047177871005,29.0,Male,Yes,50479.16125739711,Suburban,3.0,New Castle
,High School,-0.5650907916126698,5.807249792456077,21.0,Male,No,43085.12029596728,Suburban,6.0,London
Divorced,Graduate School,-0.27900382025993,4.279301817589827,26.0,Female,Yes,48646.804506270986,Urban,4.0,New Castle
Single,Graduate School,0.6481094286808253,,31.0,Male,Yes,30099.400210467506,Urban,7.0,New Castle
Divorced,,0.023920774744580153,6.171175350059694,32.0,Male,Yes,69143.59693607823,Urban,4.0,Manchester
Married,Graduate School,1.418913163988489,5.044435430767979,37.0,Male,No,39922.691072930174,Suburban,4.0,Manchester
Divorced,High School,0.07392169409911828,4.939474261913429,25.0,Female,Yes,50537.91632441411,Suburban,2.0,London
Single,High School,0.2369796931777283,4.974055069195818,38.0,Male,No,67747.97616140229,Rural,4.0,London
Married,College,-0.17541043270975099,6.244159753082947,30.0,Male,No,53568.7833107153,Urban,5.0,New Castle
Single,College,-0.22155311470001465,8.833129796584986,27.0,Male,,49790.284408994165,Urban,6.0,London
Married,Graduate School,-0.07237248003620278,3.777390881465956,41.0,Male,No,48910.51786359488,Rural,5.0,Manchester
Divorced,College,0.2676129252153872,5.960740314243331,25.0,Female,Yes,48740.951079402344,Suburban,5.0,New Castle
Divorced,College,0.3494781506173751,6.598375984247541,21.0,Male,Yes,53233.14876974343,Urban,3.0,London
Single,High School,0.23496507591904883,,34.0,Female,Yes,37206.14781227296,Suburban,4.0,New Castle
Married,High School,0.4136906970859058,6.114088198163577,,Female,No,62787.17596687089,Rural,5.0,New Castle
Married,Graduate School,-0.29157979695823805,6.6795507389668565,23.0,Female,No,69344.24981590357,Rural,7.0,Manchester
Married,Graduate School,0.4442609333135047,4.159056443685391,34.0,Female,No,61280.96677349506,Rural,6.0,New Castle
Divorced,Graduate School,-0.19178906316918315,8.849403020193542,35.0,Female,Yes,57027.32295851231,Urban,5.0,New Castle
Divorced,High School,0.22300520154194944,3.526063762102855,10.0,Female,Yes,53034.03584165657,Urban,3.0,New Castle
Divorced,College,-0.16005464859763396,2.7853357876620612,13.0,Male,Yes,48061.28834638357,Urban,4.0,Manchester
Married,College,0.6212578381512438,4.341984397749859,12.0,,Yes,45251.842250877664,Suburban,5.0,London
Divorced,High School,0.3445576596711735,4.99434035631674,34.0,Female,Yes,52757.593705699706,Suburban,4.0,London
Divorced,College,-0.23151509957350658,6.385547121725498,21.0,Male,Yes,45078.2160805287,Suburban,4.0,London
Single,College,0.022643870436060178,6.756327788992076,41.0,Male,No,48230.28396200766,Urban,6.0,London
Divorced,High School,0.24918051675678868,,31.0,Female,No,40693.486296333416,Urban,4.0,New Castle
Married,Graduate School,-0.4613483401607448,8.020915811936437,18.0,Female,No,55474.48591226814,Rural,6.0,Manchester
Single,Graduate School,-0.0007385670205859174,5.135098383789037,16.0,Male,Yes,62158.53893473429,Urban,5.0,New Castle
Divorced,College,0.3973152311225945,4.732979558777674,26.0,Male,No,37084.456794697995,Rural,3.0,
Divorced,High School,-0.6033826955423234,5.070818741125041,22.0,Female,Yes,43020.053342314495,Urban,3.0,Manchester
Single,High School,-0.3876964965337384,7.0603465354624575,25.0,Male,Yes,52563.498064482475,Urban,3.0,New Castle
Divorced,Graduate School,0.4316427906062445,5.631565757403225,30.0,Female,Yes,50024.55736894389,Urban,6.0,London
Divorced,Graduate School,0.0014981422400662803,5.538371914199713,19.0,Female,Yes,44570.962003629844,Urban,4.0,New Castle
Divorced,High School,0.16180742701772038,3.9129389703732227,27.0,Female,Yes,64128.86182932539,Suburban,5.0,London
Married,Graduate School,,6.932659699280125,32.0,Male,No,63999.74181004946,Rural,5.0,Manchester
Single,Graduate School,-0.19101904599033848,5.458605021784461,13.0,Female,Yes,48621.784350121045,Suburban,3.0,London
Divorced,College,0.49966143088550147,6.28745538185491,36.0,Female,Yes,76635.28426401105,Urban,7.0,New Castle
Single,High School,0.24133507466312318,3.738807590077462,14.0,Male,Yes,64955.78936277308,Suburban,6.0,Manchester
Divorced,High School,0.3386144658803044,8.412657293564811,22.0,Female,Yes,21807.545036676223,Urban,3.0,New Castle
Single,Graduate School,-0.15766263529658348,4.419288333304371,15.0,Male,Yes,59314.52621141879,Rural,3.0,New Castle
,Graduate School,-0.04576074831930599,4.219815250206689,28.0,Male,Yes,82077.49333132095,Urban,6.0,New Castle
Divorced,High School,-0.25650907861539696,8.418197702916796,27.0,Female,Yes,32944.82760353151,Urban,3.0,New Castle
Divorced,Graduate School,0.3527855852621506,4.316442822738444,28.0,Female,Yes,66566.70170584029,Suburban,6.0,London
Married,College,0.10792970133581095,,36.0,Male,No,59756.51948610742,Rural,7.0,Manchester
Single,High School,0.41133057807131274,4.0970449076596855,17.0,Female,Yes,55116.01537095039,Suburban,6.0,Manchester
Single,High School,0.6392790932713254,6.302620730117931,26.0,Female,Yes,39491.11916002142,Urban,5.0,New Castle
Married,College,,5.133312587828383,24.0,Female,Yes,65495.36179763188,Urban,4.0,London
Married,Graduate School,-1.2263991122333526,6.279566268444256,29.0,Male,,58981.675911745464,Rural,6.0,Manchester
Single,College,-0.40021832047311484,6.076650418477743,35.0,Male,Yes,65099.29661262263,Urban,2.0,London
Married,High School,-0.041230130594418504,5.722073568443976,37.0,Male,No,68662.67649517386,Rural,3.0,New Castle
Single,High School,0.9893584840040323,7.1744670584713575,32.0,Male,Yes,48000.25723497116,Urban,7.0,London
Single,High School,0.2973135562943181,4.99532125402564,32.0,Female,Yes,52038.1188179767,Suburban,4.0,London
Divorced,High School,0.7307832235622175,5.7570168575921254,,Female,Yes,68028.07684359765,Urban,4.0,London
Divorced,Graduate School,-0.26211006904951284,3.476878901845128,23.0,Male,Yes,61078.119804150985,Urban,3.0,Manchester
Divorced,High School,0.5118863096438814,4.26303015647729,29.0,,Yes,46773.13091838549,Urban,4.0,New Castle
Divorced,College,-0.7125705232941337,5.666260326841902,28.0,,Yes,59204.06979493391,Rural,2.0,London
Divorced,Graduate School,-0.39208632929342757,3.6025017170251594,12.0,Male,Yes,38006.73310320033,Suburban,5.0,New Castle
Single,College,0.2706781897133099,4.58777836141707,15.0,Male,Yes,65180.37988132128,Suburban,4.0,New Castle
Single,High School,0.29514414974244696,7.973915756996336,33.0,Male,Yes,38797.7454744747,Urban,5.0,London
Divorced,College,0.14232835392961554,5.476736655851949,28.0,Female,Yes,72126.702249443,Suburban,6.0,London
Divorced,College,-0.3074567547893455,7.966584917522997,24.0,Male,Yes,52666.395465871756,Urban,6.0,Manchester
Divorced,College,-0.3999740342890462,7.4770456084263905,24.0,Female,Yes,51826.868021846545,Urban,3.0,London
Single,High School,0.17707994151324868,5.892028617025906,26.0,Male,Yes,59793.58847320828,Suburban,5.0,New Castle
Married,College,0.8366457807171956,8.645431460530743,37.0,Female,No,62301.72868948823,,4.0,London
Married,High School,-0.2542202229513373,7.295101357658631,36.0,Female,No,62643.03059995869,Rural,6.0,Manchester
Married,Graduate School,-0.6271774844473135,3.5656787453233916,39.0,Male,No,55601.91544320382,Suburban,5.0,Manchester
Single,High School,0.013072946426925039,5.804196475177693,28.0,Female,No,59968.89915324037,Urban,3.0,New Castle
Single,Graduate School,-0.5754950460722799,,26.0,Male,Yes,46882.7055492128,Suburban,6.0,Manchester
Single,Graduate School,0.26014386280326995,4.258085575007523,22.0,Male,Yes,48723.35355667957,Rural,7.0,Manchester
Married,High School,0.22801288913664924,3.8543912099151747,19.0,Female,Yes,61140.5355097544,Rural,5.0,London
Married,High School,-0.5803251992576146,6.683916321315288,47.0,Male,No,64038.707054023,Rural,5.0,
Divorced,Graduate School,0.6436911552619689,5.25811116672318,30.0,Female,No,49350.00177402234,Suburban,1.0,Manchester
Single,College,-0.1965638540517068,6.500344357142932,25.0,Male,Yes,59738.93670604378,Urban,5.0,London
Single,,0.7024250771203883,7.226825678577752,34.0,Female,Yes,32029.513854616584,Rural,4.0,Manchester
Married,Graduate School,0.44857629399284976,4.027497286743259,42.0,Female,No,48720.23721446278,Suburban,8.0,Manchester
Single,College,-0.6690415603342795,3.3147566303305305,18.0,Male,Yes,56167.68524011826,Urban,6.0,Manchester
Married,High School,0.4167646202872422,7.29595954117878,25.0,Female,Yes,50553.73694005127,Urban,6.0,New Castle
Divorced,College,-0.4113231187441271,3.707898636710402,20.0,Male,Yes,65550.0747144604,Suburban,2.0,Manchester
,Graduate School,-0.5100079935354929,4.775694443522943,35.0,Male,No,45382.4579324393,Rural,5.0,New Castle
Divorced,Graduate School,0.8452696409724011,4.815277549119692,46.0,Male,Yes,46388.15532103885,Urban,5.0,Manchester
Married,College,-0.2961295677551181,4.099971459329528,49.0,Female,No,49597.44482141154,Rural,4.0,New Castle
Divorced,High School,0.19707443549929257,4.447126784766425,23.0,Male,Yes,58809.97250309772,Suburban,3.0,London
Single,College,-0.2880499851957483,4.857536374620286,18.0,Male,Yes,49710.603707124465,Urban,3.0,New Castle
Divorced,College,-0.5731870670152099,3.2662426270477956,10.0,Female,Yes,57858.67674650626,Urban,6.0,New Castle
Divorced,College,-0.13677968851444952,3.824456142029706,21.0,Male,Yes,64295.16409057353,Suburban,0.0,London
Divorced,College,0.8951758532585787,8.680880416115007,33.0,Male,Yes,69805.23256274199,Suburban,6.0,Manchester
Divorced,Graduate School,0.9221093882251871,5.9895569775825415,25.0,Female,Yes,72676.7037456363,Rural,4.0,Manchester
Married,College,0.02569257538330017,6.372930671371394,39.0,Female,No,61578.86046364353,Suburban,5.0,Manchester
Single,High School,-0.19091984001938167,5.3887557694722945,27.0,Female,Yes,47043.29356055749,Urban,5.0,Manchester
Divorced,College,0.7345965564263661,3.9087510176621576,10.0,Female,Yes,56346.560526816225,Rural,4.0,London
Married,Graduate School,0.5398233021113892,7.121439601402773,25.0,Female,No,60562.24450873754,Suburban,5.0,New Castle
Divorced,Graduate School,0.1131181236309175,4.509235693060986,,Female,Yes,60972.91926879703,Urban,5.0,New Castle
Divorced,High School,0.39471426009936067,6.323544865650721,26.0,Male,Yes,57693.764894510314,Urban,5.0,London
Married,Graduate School,0.29811261878079687,5.800181967466018,31.0,Male,No,45589.1076443427,Suburban,8.0,Manchester
Divorced,College,0.06527264291245141,4.468025721917846,38.0,Male,Yes,53986.46129020785,Suburban,5.0,Manchester
Divorced,High School,0.5759208677694545,7.399627182694813,,Female,Yes,47027.10284726846,Urban,3.0,New Castle
Divorced,Graduate School,0.04005154786939098,5.734725944713711,23.0,Female,Yes,48856.34574146613,Suburban,5.0,Manchester
Divorced,Graduate School,0.4921701732833823,6.037955979709102,21.0,Female,Yes,66692.31574099163,Urban,4.0,New Castle
Single,College,0.28475931738349897,4.216196299791315,21.0,Female,Yes,42143.07717033652,Suburban,5.0,Manchester
Divorced,High School,0.6723167456029407,5.422200349279448,46.0,Male,No,71195.66264032084,Urban,5.0,Manchester
Married,College,-0.6347633577241023,5.313997006467964,21.0,Male,No,54950.041582722646,Rural,3.0,London
Married,High School,-0.48629795760712924,8.032401575124034,37.0,Male,Yes,60971.957792389476,Urban,6.0,London
,High School,-0.0420932169134223,1.308617010434146,24.0,Female,No,70726.0732459969,Rural,4.0,Manchester
Single,High School,0.3656542030394843,8.574508230278063,33.0,Female,No,57021.83744198386,Suburban,4.0,New Castle
Divorced,High School,0.24158445614075266,6.1130296646061595,25.0,Male,No,44829.37412117965,Rural,7.0,London
Single,College,-0.23377053763245653,5.844258884466214,23.0,Female,No,45261.45609433076,Rural,4.0,Manchester
Married,Graduate School,0.06428960338390707,3.5354384352733503,38.0,Male,No,46594.10116308087,Rural,4.0,Manchester
Divorced,High School,0.3481777061746651,5.910826528182658,22.0,Male,Yes,51338.13335768244,Urban,,Manchester
Married,High School,0.5825270227700579,5.5375813835872,24.0,Male,Yes,60863.71019157285,Urban,4.0,Manchester
Divorced,Graduate School,-0.03903668270062098,3.051876715735596,41.0,Male,No,53519.68234009469,Rural,7.0,London
Divorced,High School,-0.05467922381346303,4.25631938144218,35.0,Female,No,57966.025498077826,Suburban,6.0,London
Single,College,0.5020792847329851,4.864800131363724,,Female,Yes,50974.615957809634,Urban,4.0,London
Married,College,0.0425708325202833,7.03537369174464,20.0,Female,No,70316.53193442395,Suburban,6.0,New Castle
Married,College,-0.16147790353617,8.074582599172956,24.0,Female,No,48175.780580541614,Urban,5.0,New Castle
Married,College,-0.36082236342095303,6.128534842235825,41.0,Male,No,59713.60857469079,Rural,4.0,London
Divorced,College,0.8285145070507147,4.243837611432786,14.0,Female,Yes,59268.84903163423,Urban,2.0,New Castle
Married,Graduate School,0.12935218728787157,5.665604768165398,17.0,Female,No,46323.86284247362,Rural,7.0,Manchester
Married,High School,0.27683467713201926,4.842948528116116,20.0,Female,No,51643.36343696793,Rural,3.0,New Castle
Single,High School,-0.014568560593729171,5.332483824821721,32.0,Female,Yes,67496.42310300995,Urban,5.0,London
Married,College,0.6010246235667683,6.30034866585136,47.0,Male,No,62920.994394655325,Suburban,2.0,London
Divorced,College,0.43049234268165515,6.660187604216422,41.0,Female,No,62546.67785235718,Rural,3.0,Manchester
Divorced,College,-0.3295759083841745,2.4250327157489737,38.0,Female,No,29362.39384992206,Urban,5.0,New Castle
Single,High School,-0.3936474526986036,7.285341544627398,32.0,,No,72867.94571149582,Suburban,7.0,Manchester
Married,High School,0.452254548002943,6.579812298823001,40.0,Male,No,42761.01528351906,Rural,4.0,London
Divorced,High School,0.049821421199927086,6.8031688122087965,29.0,Male,Yes,61040.307955811724,Urban,1.0,New Castle
Single,High School,-0.6254624023650454,4.2477081880635845,23.0,Male,Yes,46427.417429237816,Suburban,5.0,Manchester
Married,College,0.6237071773801337,6.816966093701917,26.0,Male,Yes,49634.07023248933,Suburban,6.0,London
Married,College,0.19310114028182676,6.726427209550395,33.0,Female,No,62336.13683882698,Rural,4.0,London
Single,College,0.4452135788912197,6.194581338850613,26.0,Female,No,52169.90994024747,Suburban,,New Castle
Married,Graduate School,0.5215847748891098,8.112428581986038,35.0,Female,No,56114.18059161339,Suburban,4.0,New Castle
Married,High School,0.9281610630961692,8.812671198822628,24.0,Male,No,59660.87889712382,Suburban,4.0,Manchester
Divorced,Graduate School,0.7805387483562236,6.276966413198923,32.0,,,56958.16586435825,Rural,7.0,New Castle
Divorced,College,0.3894884060433539,4.433386764081376,31.0,Male,No,50330.11521433023,Suburban,4.0,New Castle
Married,High School,0.1396948158947396,6.33526631437104,22.0,Female,No,56415.2040110896,Rural,1.0,London
Divorced,High School,0.15104592614769163,6.102051583168422,30.0,,Yes,58483.21658169879,Urban,6.0,New Castle
Single,High School,-0.2566459475783711,4.992266754615777,23.0,Male,Yes,42079.96652308454,Urban,6.0,Manchester
Single,High School,-0.17542626426165034,5.984435796851775,30.0,Male,Yes,58387.53307169808,Urban,8.0,Manchester
Single,Graduate School,0.8139105676331239,5.73921532662833,27.0,Male,Yes,54552.87714792205,Urban,3.0,New Castle
Single,Graduate School,-0.39562679679241997,5.744408500165236,24.0,Male,Yes,48832.02232801637,Urban,4.0,New Castle
Married,High School,-0.14112312820812098,3.086883630839555,44.0,Male,No,40107.68646833023,Rural,6.0,London
Single,College,-0.7852229781067461,3.371934574396263,39.0,Male,No,68319.43448973865,Rural,4.0,London
Married,Graduate School,0.2132959696352172,6.13268517932303,40.0,Male,No,61355.780652752204,Rural,5.0,New Castle
Married,High School,-0.27647352495747285,6.591011112301178,30.0,Female,No,59071.17226302349,Urban,4.0,Manchester
Married,Graduate School,-0.07238227615640766,8.399863739306273,40.0,Male,No,54843.13060752837,Rural,7.0,London
Married,Graduate School,0.3477476665798092,5.298147366329874,28.0,Male,Yes,59128.735756829745,Urban,4.0,Manchester
Married,Graduate School,0.6437220123629965,8.474018087784398,45.0,Female,No,73823.35034566799,Rural,8.0,London
Married,Graduate School,-0.1475657508344169,4.041458722226081,30.0,Male,No,44349.48600162509,Rural,6.0,New Castle
Married,High School,0.21867067896787373,6.875667203148509,35.0,Female,No,60969.61106547745,Suburban,8.0,New Castle
Single,High School,-0.10797856257795826,4.613712495357775,19.0,Male,Yes,48729.70230200701,Urban,7.0,New Castle
,College,-0.40957063887419426,5.9769691411012555,23.0,Male,Yes,53369.411351945906,Urban,3.0,New Castle
Single,College,0.018227270476903763,5.084312173013611,,Male,Yes,,Urban,4.0,Manchester
Married,Graduate School,0.25769256151667663,5.437637368791475,28.0,Female,No,47985.88769293734,Rural,5.0,London
Divorced,Graduate School,1.3998343268782318,7.421266483374753,37.0,Female,No,46267.03854103051,Rural,6.0,London
Divorced,High School,0.7303955694009834,8.31471009886816,39.0,Male,Yes,80440.11262095103,Urban,5.0,London
Divorced,Graduate School,-0.30919163283574264,6.320325303668007,25.0,Female,Yes,73183.86282411864,Rural,1.0,New Castle
Divorced,High School,-0.1304985403487005,7.185414524111708,38.0,Female,No,47576.305320675696,Rural,4.0,New Castle
,High School,0.010319992938010551,6.055231690892942,16.0,Male,Yes,37639.90918613502,Urban,7.0,Manchester
,College,0.05751865520277367,7.729834844169274,44.0,Female,No,62814.853125350455,Suburban,5.0,Manchester
Married,Graduate School,0.6562490642829126,5.349302420126272,23.0,Female,No,53158.13627125216,Suburban,4.0,Manchester
Single,Graduate School,-1.0670036536841505,5.809610357812645,50.0,Female,No,50864.39186263724,Rural,2.0,Manchester
Divorced,Graduate School,-0.2397034660164768,4.998659228308585,25.0,Male,Yes,49979.54470173569,Suburban,4.0,London
Divorced,High School,0.698061064960828,5.622720995566999,23.0,Female,Yes,46636.63534449877,Suburban,5.0,New Castle
Married,College,-0.34767117847555734,7.544512981090192,35.0,Female,Yes,43100.742887641245,Urban,5.0,Manchester
Divorced,College,0.30291417605017124,6.99536132238236,34.0,Female,Yes,61310.693949642955,Suburban,5.0,New Castle
Divorced,High School,-0.0844331791334314,6.331156186217267,38.0,Male,No,39481.73139697725,Suburban,4.0,Manchester
Single,Graduate School,0.6256315967004494,4.782978065319344,19.0,Female,Yes,38590.905730969826,Urban,4.0,London
Divorced,College,-0.2267065519757222,5.113800686228822,36.0,Female,No,65263.18597145268,Urban,6.0,London
Married,High School,-0.18826625874924807,7.25649293200498,16.0,Female,No,45709.59526980127,Rural,2.0,Manchester
Married,Graduate School,-0.23633470904028292,,38.0,Male,No,76328.77304357935,Suburban,4.0,New Castle
Married,College,0.807953979464712,5.112365605751078,28.0,Female,No,62216.99366910191,Rural,2.0,Manchester
Divorced,Graduate School,0.5904164039090446,4.101316431506412,17.0,Male,Yes,66375.92527249194,Suburban,3.0,Manchester
Divorced,College,0.14029025659688604,4.633473059260025,25.0,Female,Yes,39965.10548568446,Suburban,5.0,London
Married,College,-0.48406947284600044,3.361532450730445,6.0,Male,Yes,50968.511617115364,Suburban,4.0,Manchester
Married,Graduate School,0.1180072581740576,9.01555881449682,30.0,Male,No,61768.37298350234,Rural,6.0,New Castle
Single,Graduate School,0.16135902328250845,5.761566420416604,20.0,Female,Yes,73776.56727158719,Urban,3.0,
Divorced,College,-0.23152688752941436,5.412836816943532,14.0,Female,Yes,53023.88618304523,Suburban,3.0,London
Single,College,-0.3225177773252975,5.990283011606283,31.0,Female,Yes,58890.508852620915,Urban,3.0,Manchester
Married,College,-0.3982517690182512,4.645031710586136,39.0,Female,No,45975.9998743187,Rural,6.0,New Castle
Married,College,0.007145977786572423,8.11759924724218,32.0,Male,No,59082.51146502729,Suburban,7.0,Manchester
Married,High School,0.09087098628401521,7.049509511305223,35.0,Female,No,71147.87563726773,Suburban,3.0,New Castle
Married,Graduate School,-0.5890679508313427,5.625284539609037,38.0,Female,No,57313.9142531743,Rural,7.0,London
Single,High School,0.5979719137761029,5.677174108608813,21.0,Male,Yes,45218.78653564623,Urban,6.0,Manchester
Divorced,High School,-0.11008311592051592,7.048569740506314,26.0,Male,Yes,72960.59210438217,Rural,6.0,London
Divorced,High School,-0.33022522320108105,,21.0,Male,Yes,44298.16423316217,Suburban,4.0,Manchester
Single,College,0.5427852969062449,4.175461659381838,20.0,Female,Yes,,Urban,4.0,Manchester
Divorced,,0.5462747432030466,5.344060761056991,26.0,Female,Yes,44941.60727409461,Urban,3.0,New Castle
Married,Graduate School,,4.806743940947005,41.0,Female,No,53841.854244816124,Suburban,4.0,New Castle
Divorced,College,0.08736693342807238,5.023505779541828,17.0,Female,Yes,24252.18578834484,Urban,5.0,New Castle
Divorced,College,0.7618561924982689,7.560142325340841,18.0,Female,Yes,42041.96831355106,Urban,1.0,New Castle
Married,High School,0.4631172202723885,5.4568536006634405,8.0,Female,No,39238.34823706752,Rural,6.0,Manchester
Married,College,0.7998158364977492,2.7985538813460065,35.0,Female,No,44417.500313702585,Rural,8.0,London
Married,High School,0.1787343305394838,5.549765120047299,31.0,Male,Yes,45554.63081531995,Urban,6.0,New Castle
Single,,-0.45816913506456725,6.235572232681871,38.0,Female,No,63643.68824159178,Rural,4.0,Manchester
Married,Graduate School,0.29219372000190247,4.4750259760603335,32.0,Female,No,45313.8847857694,Rural,5.0,London
Single,College,0.27447785017801296,6.608596522730875,30.0,Female,Yes,51816.59635040375,,5.0,London
Divorced,High School,-0.09976079452797743,5.229720226249182,43.0,Male,No,,Rural,3.0,Manchester
Married,College,-1.0378044396986157,3.289736375905232,53.0,Female,No,68969.15333509796,Suburban,6.0,London
Single,College,0.08292029996869749,5.037528750873707,37.0,Female,No,63628.822135448994,Rural,5.0,Manchester
Divorced,College,0.26828356900168393,5.752188434465572,26.0,Male,Yes,63570.64170425886,Suburban,3.0,Manchester
Single,College,0.06186914824608039,4.813170451981944,26.0,Male,Yes,50116.91319892184,Suburban,7.0,Manchester
Divorced,College,0.18381337022921201,6.41763447878377,30.0,Male,Yes,45661.584995112964,Urban,4.0,Manchester
Married,College,0.43423460856191554,5.6223932331180055,26.0,Female,Yes,53118.65252936867,Suburban,2.0,New Castle
Married,College,0.5774610534124186,6.093183280440385,32.0,Female,Yes,46367.75255732668,Urban,6.0,New Castle
Married,Graduate School,0.5558228103093794,6.4466119621349876,36.0,Female,No,55517.172997195164,Rural,7.0,New Castle
Married,High School,0.2450422123744868,4.875943088959074,20.0,Female,Yes,52072.20296472715,Urban,5.0,London
Divorced,College,-0.47477576932357,6.981393529476845,30.0,Male,Yes,40205.71415599558,Urban,5.0,London
Divorced,Graduate School,-0.2344864385125235,5.116253501710188,26.0,Female,Yes,70209.82166577042,Suburban,3.0,London
Single,College,0.15482492550942795,6.967790006293573,31.0,Female,Yes,58075.43188013292,Urban,5.0,London
Single,College,0.043700544783990394,6.240162189467124,31.0,Male,Yes,46481.94721381465,Rural,8.0,London
Divorced,College,-0.30722180849493275,6.333268737296731,24.0,Female,,82698.14689895246,Rural,3.0,New Castle
Divorced,High School,0.18206377939859797,3.677594813776479,13.0,Male,Yes,34031.86073307335,Suburban,5.0,New Castle
Married,Graduate School,-0.01988043952468921,5.323049410237054,35.0,Male,No,64212.2748370216,Rural,3.0,London
Single,Graduate School,0.4672579038395169,6.7791050138439415,26.0,Female,Yes,28921.56734823485,Urban,3.0,Manchester
Single,College,0.08428857362057705,6.894573256768295,26.0,Male,Yes,,Suburban,2.0,New Castle
Divorced,College,0.4393608604429529,3.619015052771158,17.0,Female,Yes,44718.42233161793,Rural,6.0,London
Divorced,High School,-0.3695625675390258,7.56347906690865,27.0,Male,Yes,44449.002786243815,Suburban,5.0,New Castle
Divorced,Graduate School,0.10678614685793958,,33.0,Male,Yes,45326.07421831142,Urban,5.0,London
Divorced,High School,-0.8356997374419086,6.49719613959886,29.0,Male,No,44690.64896350409,Rural,6.0,London
Single,High School,-0.14485124924416898,8.56359423951759,26.0,Female,No,60982.262413729215,Urban,6.0,New Castle
Married,College,0.22767745125366184,3.4824815974027628,39.0,Female,No,65432.93040025304,Rural,4.0,New Castle
Divorced,Graduate School,0.5274535776776582,4.0311284773281795,34.0,Female,No,48656.005492027354,Suburban,5.0,New Castle
Married,College,0.7095670836241559,5.25741721790139,33.0,Male,No,59518.61943753626,Rural,5.0,London
Single,Graduate School,0.4470634121036671,4.631606448573405,21.0,Female,Yes,41727.10082449237,Urban,2.0,Manchester
Single,Graduate School,1.0282286553879205,7.297935949951388,29.0,Female,Yes,58638.518276327246,Suburban,5.0,New Castle
Single,Graduate School,-0.14064311277209832,5.001054029221532,16.0,Female,Yes,,Suburban,2.0,London
Divorced,College,-0.332657678898945,5.847850337753347,33.0,Female,No,50949.707091230244,,3.0,Manchester
Divorced,High School,-0.7893435344846977,4.435109037904865,50.0,Female,No,58097.314707830956,Suburban,5.0,
,High School,-0.2504273779061965,3.7727711081330364,40.0,Male,No,51802.83905200355,Suburban,5.0,London
