Renew,Years subscribed,City,Sex,Marital Status,Education Level,Active online hours,Location Code,Years after high school graduation,Brand Loyalty,Monthly Income
Yes,4.0,Udon,Male,Single,High School,7.028780166514739,Urban,8.0,0.15990440499911035,5724.835926771
Yes,5.0,Khon Kaen,Female,Single,College,5.570793536195448,Rural,25.0,-0.016878577965910135,4956.609195890641
No,4.0,Khon Kaen,Female,Married,High School,4.665552051952452,Rural,47.0,0.5763263624338909,4760.507249848754
Yes,5.0,Khon Kaen,Female,Divorced,College,3.897931444661358,Suburban,31.0,-0.0608653766495795,4014.678761244584
Yes,6.0,Khon Kaen,Male,Divorced,Graduate School,3.926273389235138,Urban,54.0,0.21039876563294035,6651.974627636004
Yes,6.0,Mahasarakam,Female,Divorced,High School,5.354810031860846,Urban,33.0,-0.09937098387979172,3985.9662625680057
Yes,6.0,Udon,,Single,High School,6.570669023970579,Urban,36.0,0.4492193150647298,4761.642285033949
No,3.0,Udon,Female,Divorced,College,5.128046929078916,Rural,28.0,0.3630322947076262,3323.2619515026904
Yes,5.0,Mahasarakam,Female,Divorced,High School,6.1069768576902845,Urban,32.0,0.148207690432687,4622.049000741926
No,7.0,Mahasarakam,Female,Married,Graduate School,4.997527443281619,Rural,25.0,-0.5250814535455529,6179.955277871231
Yes,8.0,Udon,Male,Divorced,High School,4.259841313751858,Suburban,32.0,0.20783891347970157,4620.984170847127
No,5.0,Udon,Male,Married,Graduate School,5.105273367590305,Urban,36.0,0.08501014474460666,5533.846063121914
No,5.0,Khon Kaen,Male,Divorced,College,2.3090175388870513,Rural,15.0,-0.9209318863935299,6161.627531759026
No,4.0,Udon,Male,Married,High School,2.8991007501925568,Rural,37.0,0.3898178147189866,5512.45955666645
Yes,2.0,Khon Kaen,,Divorced,Graduate School,2.4729799394770966,Urban,41.0,-0.11009533891735203,3562.0210316796624
No,4.0,Khon Kaen,Female,Single,Graduate School,3.007096439012039,Rural,25.0,0.7320298286107774,4506.916497592182
No,4.0,Khon Kaen,Male,Married,Graduate School,3.864092304205974,Urban,27.0,0.40534491680110185,
Yes,4.0,Mahasarakam,Male,Single,High School,5.628603156062179,Suburban,42.0,0.39550186736593507,6772.81177647505
Yes,4.0,Udon,Male,Divorced,,6.250559683957562,Urban,42.0,0.1797870765502364,5184.834899457278
No,4.0,Udon,Female,Married,Graduate School,3.487901279157966,Rural,29.0,0.13685402211853298,4990.191762413973
Yes,4.0,Khon Kaen,Female,Single,High School,1.800250261668166,Urban,32.0,-0.3101192103955126,4432.884519882481
Yes,4.0,Khon Kaen,Male,Single,College,5.456388659619992,Urban,45.0,0.04094674417021146,3203.0035906889266
Yes,3.0,Udon,Female,Divorced,High School,3.7908986381768854,Rural,55.0,0.33286815583259766,4832.3949961610015
Yes,3.0,Mahasarakam,Female,Divorced,High School,7.692179341907302,Suburban,27.0,0.19801343569983443,6080.854908491549
Yes,5.0,Udon,Female,Married,College,7.916697242690027,Urban,32.0,0.39377113190010227,5252.831836932986
Yes,2.0,Mahasarakam,Female,Single,College,3.4974233030016353,Urban,29.0,0.4476359452914511,5515.899454238873
Yes,6.0,Mahasarakam,Female,Divorced,Graduate School,2.1538473922595385,Urban,37.0,-0.3459993537072066,4512.797828654475
Yes,4.0,Udon,Male,Divorced,College,6.888209271494916,Suburban,7.0,0.4301300717580916,5612.416213251288
No,6.0,Mahasarakam,Male,Married,Graduate School,3.0032516109188467,Rural,19.0,0.01695135207734147,5498.187173485592
Yes,2.0,Khon Kaen,Male,Divorced,High School,5.0166836153954915,Suburban,38.0,0.04168789749031271,6095.220521186538
Yes,4.0,Mahasarakam,Female,Divorced,Graduate School,3.1235262631096745,Suburban,36.0,-0.10266749094571626,4982.952788744027
Yes,5.0,Mahasarakam,Male,Married,High School,4.514308936714447,Urban,18.0,-0.008868642017888145,4491.282115211783
Yes,5.0,Khon Kaen,Female,Divorced,Graduate School,9.410798735141352,Urban,25.0,0.06165913145099955,4641.69601570496
Yes,5.0,Udon,Female,Divorced,College,5.083197585618542,Urban,22.0,-0.22200399414344332,5090.000583467205
No,5.0,Khon Kaen,Female,,College,3.6845759437146715,,42.0,-0.7342371380262336,4199.535136658817
Yes,5.0,Udon,Male,Single,College,4.912771752975373,Urban,54.0,0.018005399711212455,5186.6907277320415
Yes,5.0,Mahasarakam,Male,Divorced,College,5.057192695056402,Urban,39.0,0.37600153825390825,6100.231053112983
Yes,5.0,Udon,Female,Single,Graduate School,3.0946871766611355,Urban,28.0,-0.0997159969746291,4830.370178883221
Yes,7.0,Udon,Female,Single,High School,4.243632177937443,Urban,60.0,-0.49099695859228504,4416.98410000315
Yes,4.0,Khon Kaen,Male,Single,High School,3.670322444258273,Suburban,33.0,0.1541241279019484,4330.356713671457
Yes,6.0,Mahasarakam,Female,Single,College,3.5521223419433103,Suburban,34.0,0.07346418034264157,4252.570784398799
No,1.0,Khon Kaen,Female,Divorced,High School,4.760461177329859,Suburban,12.0,-0.03923260605065643,4242.469983026504
Yes,7.0,Mahasarakam,Male,Single,College,4.179942163628176,Urban,43.0,0.16957978865581874,2919.1179069972804
No,6.0,Mahasarakam,Female,Single,Graduate School,,Rural,35.0,-0.3213504696669279,6281.45277580179
Yes,5.0,Udon,Female,Divorced,High School,6.76271363758201,Suburban,25.0,0.07686439998116629,6615.2829238244485
Yes,5.0,Mahasarakam,Male,Divorced,Graduate School,7.777945812545499,Urban,35.0,0.2854005035353965,6763.970743864615
No,6.0,Mahasarakam,Male,Divorced,High School,4.206402226732823,Rural,29.0,0.6447395840955027,5856.345930843405
Yes,1.0,Udon,Male,Divorced,Graduate School,6.215245520492903,Suburban,28.0,0.5116098395519858,7443.029143437971
Yes,5.0,Khon Kaen,Male,Married,College,4.8163502743934465,Urban,20.0,-0.20047392317228271,4715.919037130573
Yes,7.0,Mahasarakam,Male,Single,College,2.4135203721431155,Urban,41.0,-0.4127031466619969,2543.2138029926236
No,7.0,Mahasarakam,Male,Married,High School,5.266353387215592,Rural,38.0,1.161525380855603,2819.970184095173
No,3.0,Khon Kaen,Male,Single,College,3.5529781221633865,Suburban,33.0,-0.12939290296248687,3927.184033417866
Yes,4.0,Mahasarakam,Male,Single,High School,2.8264036239359815,Suburban,31.0,-0.061040123234712085,4873.086804450006
Yes,3.0,Mahasarakam,Male,Divorced,College,7.371283297851592,Urban,44.0,0.10665578662223951,3037.768059222569
Yes,5.0,Khon Kaen,Female,Single,Graduate School,6.588765373477019,Urban,33.0,0.27524105467173865,8036.488363349674
Yes,2.0,Udon,Male,Single,Graduate School,4.641866687280818,Rural,47.0,0.1242132932231646,4413.337418149733
Yes,3.0,Udon,Female,Married,College,2.881041456405404,Suburban,24.0,-0.2423700765288729,2448.16161540564
Yes,6.0,Mahasarakam,Male,Single,High School,4.843641077815154,Urban,18.0,0.10748233478505093,6296.2848441082615
No,4.0,Mahasarakam,Female,Divorced,High School,4.0543910848426306,Rural,24.0,0.39616913960492184,4744.078067815687
No,5.0,Khon Kaen,Male,Married,Graduate School,5.770001801937918,Rural,47.0,0.21225880035415884,4042.9526536037265
Yes,4.0,Khon Kaen,Female,Single,High School,4.623448309164828,Suburban,48.0,0.13033687249111675,4289.966344671772
Yes,6.0,Udon,Male,Divorced,College,5.440157771017146,Rural,38.0,0.02679331089946982,5081.548518143138
Yes,3.0,Udon,Female,Single,Graduate School,3.695443677550067,Suburban,33.0,0.17063544730844038,4717.5057307701745
No,3.0,Khon Kaen,Male,Married,Graduate School,4.747440006438209,Suburban,24.0,-0.0035432534340979205,5984.32031972254
No,8.0,Khon Kaen,Female,Married,,2.311309819592095,Rural,36.0,-0.3222986769101269,4878.997088907619
Yes,3.0,Mahasarakam,Female,Single,Graduate School,2.9856994493960496,Urban,29.0,0.035474223542415445,4736.796548565431
No,9.0,Khon Kaen,Female,Married,College,4.0604671901766665,Rural,30.0,0.2572552011839768,5081.031522665453
Yes,5.0,Udon,Female,Married,College,5.337050381322694,Urban,33.0,0.4314777069698982,4736.906545398582
No,5.0,Khon Kaen,Male,Married,College,4.812884985365601,Rural,9.0,0.03643809765172576,5866.195461069783
Yes,3.0,Khon Kaen,Female,Single,Graduate School,4.6543117867816886,Suburban,15.0,0.013942575820415387,4712.591199194464
No,5.0,Udon,Male,Single,Graduate School,2.8680445034553914,Rural,27.0,-0.7362661180194281,6065.023758057928
Yes,4.0,Khon Kaen,Female,Divorced,High School,3.5688375054980237,Rural,32.0,0.15126238512846274,3858.842683012977
Yes,5.0,Khon Kaen,,Divorced,Graduate School,6.222544227088295,Suburban,40.0,0.19594524293520454,4353.08296804495
Yes,5.0,Mahasarakam,Female,Single,Graduate School,3.7895817421852414,Suburban,30.0,-0.27079984976399507,4013.032941274911
No,3.0,Khon Kaen,Male,Single,College,3.7561497138514457,Rural,19.0,,5063.970647493629
No,5.0,Udon,Male,Married,College,3.5246851338733345,Suburban,34.0,-0.26678187767791056,4393.147183959406
No,4.0,Udon,Male,Married,High School,2.908138478432682,Rural,39.0,0.4480160426565851,4060.208215951322
No,5.0,Mahasarakam,Female,Single,College,3.9443550786823534,Rural,27.0,0.6364437041546398,5141.490983111554
Yes,5.0,Udon,Male,Single,Graduate School,3.933158777221056,Urban,11.0,-0.043205070604389106,4725.8172643024955
Yes,4.0,Udon,Female,Single,Graduate School,4.433389001051631,Urban,27.0,0.026759452746843243,4295.6473310995525
Yes,5.0,Khon Kaen,Male,Divorced,Graduate School,6.257831923143891,Suburban,49.0,0.27769117842958035,5670.2348664551255
Yes,6.0,Udon,Female,Single,College,4.459720471055243,Urban,31.0,0.03405992400526922,5811.167945884117
No,5.0,Udon,Female,Married,College,4.291722812360881,Rural,38.0,-0.37479439709996454,7175.616898108134
Yes,6.0,Udon,Male,Divorced,,6.729530022557308,Urban,37.0,0.48105359534929815,4688.449876049404
No,4.0,Khon Kaen,Female,Divorced,Graduate School,4.0027445042216785,Suburban,40.0,-0.09005733937011991,5783.184767992223
No,5.0,Mahasarakam,Female,Married,High School,3.973284312007919,Suburban,31.0,0.2931277360434912,5719.448372547448
Yes,6.0,Mahasarakam,Female,Single,College,3.898152310089795,Urban,26.0,0.11232506463965652,5520.6084272493845
Yes,4.0,Khon Kaen,Female,Divorced,High School,5.100101384259532,Suburban,,-0.12086295725826211,4503.453013835307
No,6.0,Mahasarakam,Female,Single,Graduate School,3.614906448898806,Suburban,18.0,-0.3165612612668263,5959.44809280474
No,4.0,Khon Kaen,Female,Divorced,College,3.0308025625990385,Rural,29.0,0.09867091964239888,4601.590901196271
No,7.0,Khon Kaen,Male,,High School,4.330589006193895,Urban,37.0,-0.07063170927691441,4015.9005103947047
No,6.0,Khon Kaen,Male,Single,Graduate School,4.589591407598471,Rural,42.0,0.8570343878584747,3607.32952050699
No,5.0,Khon Kaen,Male,Married,High School,4.478124473023776,Suburban,47.0,-0.10403169913048371,4233.601227210078
Yes,,Udon,Female,Divorced,Graduate School,3.147896253027042,Urban,59.0,-0.09993638439028517,4639.732609730296
No,4.0,Khon Kaen,Female,Divorced,College,2.8154103018339325,Suburban,18.0,0.21265338161029407,6150.96093596941
Yes,3.0,Khon Kaen,Female,Single,Graduate School,6.315140989344418,Urban,45.0,0.2560403609112381,5349.1972679379915
Yes,5.0,Mahasarakam,Male,Divorced,College,6.645852955782015,Urban,27.0,0.13001585293186296,6987.853078698786
Yes,5.0,Mahasarakam,Male,Single,Graduate School,,Urban,35.0,-0.016856958587436688,4890.21397041652
No,3.0,Mahasarakam,Female,Married,College,4.176559986673015,Rural,19.0,0.06102543704312158,6578.292231856243
No,5.0,,Female,Divorced,Graduate School,4.425910167203301,Rural,39.0,0.3398340466052877,5749.517604762092
Yes,5.0,Udon,Female,Divorced,Graduate School,5.846456858376362,Rural,29.0,,5409.392505851229
Yes,5.0,Khon Kaen,Female,Single,High School,5.145434207391418,Urban,13.0,0.23280589078546976,3173.8439227464014
Yes,4.0,Udon,Female,Divorced,,6.099830611038655,Urban,20.0,0.06921802035956393,6766.429301876131
Yes,4.0,Mahasarakam,Female,Single,Graduate School,5.770438289395747,Urban,26.0,0.3150244208874785,3251.293016856031
No,4.0,Udon,Male,Married,Graduate School,5.261228272573364,Rural,43.0,-0.13800418255947988,5550.979705627931
Yes,6.0,Udon,Male,Married,Graduate School,5.470124416082261,Urban,19.0,0.3990805069581552,5666.009701279391
Yes,4.0,Udon,Male,Divorced,College,3.924568415477199,Urban,34.0,0.11673901725114588,4169.635185131957
Yes,5.0,Mahasarakam,Female,Divorced,Graduate School,6.984407035737878,Suburban,42.0,0.21227364464722343,5646.440739865003
No,5.0,Khon Kaen,Female,Single,High School,3.3655274349354287,Rural,27.0,-1.0751642682143197,6818.704214779229
Yes,4.0,Mahasarakam,Male,Divorced,College,4.591378184682009,Urban,43.0,0.18202524625040772,5417.424544062912
Yes,3.0,Khon Kaen,Female,Divorced,High School,6.312870138058754,Urban,48.0,0.09690359222517408,4972.306641756789
No,5.0,Mahasarakam,Female,Married,College,2.7472462145192815,Rural,23.0,-0.5409096383480256,6656.082627968327
Yes,4.0,Mahasarakam,Male,Single,Graduate School,6.167607257473011,Urban,10.0,-0.015526108503261027,3576.8412901895795
Yes,5.0,Mahasarakam,Female,Divorced,High School,4.5749050287246575,Urban,36.0,-0.2399055143068549,4423.033487919171
Yes,5.0,Khon Kaen,Female,Single,College,7.773828176367065,Urban,25.0,-0.26341293073866046,4784.215723198213
Yes,3.0,Udon,Male,Married,High School,6.262778051141821,Suburban,30.0,0.03758199460341799,5421.96067645947
No,4.0,Mahasarakam,Female,Married,College,4.194486275124911,Suburban,19.0,0.33125421044919057,4132.00401469827
Yes,5.0,Khon Kaen,Female,Divorced,Graduate School,5.718966890568238,Suburban,22.0,-0.5177918816828366,3831.2275672649184
Yes,7.0,Udon,Female,Single,College,7.318484008227383,Urban,28.0,,4718.7909401357265
No,4.0,Udon,Female,Married,College,2.947625464840751,Suburban,15.0,-0.1669166873469808,6743.932258610598
No,5.0,Udon,Female,Single,College,4.972933354460603,Rural,26.0,0.21919321233188654,6042.986195140218
No,7.0,Mahasarakam,Male,Divorced,College,3.395469509347316,Rural,18.0,0.7958876408265823,4333.133556808715
No,5.0,Mahasarakam,Female,Single,,2.710449147713422,Suburban,33.0,-0.08887790226479689,5969.73953897631
No,3.0,Mahasarakam,Female,Divorced,Graduate School,2.5488156736142926,Suburban,38.0,0.22840694177775522,4650.074858193115
No,5.0,Khon Kaen,Male,Married,College,4.988193373949389,Rural,21.0,-0.370385196046202,5015.335345336586
Yes,6.0,Khon Kaen,Male,Single,High School,3.644189580670786,Urban,32.0,0.0787101087819318,5213.482045142185
No,4.0,Khon Kaen,Male,Single,College,3.297181578028044,Rural,45.0,0.5013114929559601,5900.520654385021
Yes,5.0,Khon Kaen,Female,Single,,5.070413836235522,Urban,12.0,-0.00406886132604814,4524.74119674213
Yes,4.0,Udon,Male,Married,High School,3.6286675952886958,Urban,28.0,-0.13143029763901473,4418.363848315098
No,3.0,Mahasarakam,Female,Married,Graduate School,4.32175559341142,Rural,28.0,0.28347657061684906,4394.64929828651
No,3.0,Mahasarakam,Male,Divorced,Graduate School,2.7476919155179678,Rural,31.0,-0.3456970572786341,5770.881593029382
Yes,3.0,Mahasarakam,Male,Divorced,High School,6.328181168079741,Urban,27.0,0.1787827949106331,4807.385145879665
No,4.0,Mahasarakam,Female,Married,College,2.9614962709302053,Rural,37.0,0.4557667677116949,4176.075533434919
Yes,6.0,Mahasarakam,Male,Divorced,High School,6.326653235421421,Urban,33.0,0.4852180873160603,6139.799794414603
No,6.0,Mahasarakam,Male,Married,College,2.934341106755592,Suburban,30.0,-0.24295059259805973,5046.573595744817
Yes,5.0,Udon,Male,Divorced,High School,,Urban,24.0,-0.3228629470251642,4171.2873766287485
Yes,5.0,Khon Kaen,Male,Single,Graduate School,5.267356672719728,Urban,25.0,0.016595583451496088,5130.059957979015
Yes,6.0,Udon,Female,Single,High School,5.822350266360321,Urban,25.0,-0.12780302368602994,5361.218868711922
,3.0,Udon,Female,Married,College,3.161062046192919,Urban,23.0,0.06143083742378519,6068.503723866785
No,3.0,Udon,Male,Divorced,High School,4.396162220608499,Rural,42.0,-0.19061394763325434,5106.18391704276
Yes,4.0,,Male,Single,College,4.44815500406651,Urban,30.0,0.2994162827194055,4075.6558514201597
Yes,4.0,Udon,Male,Single,High School,6.172604899631175,Urban,29.0,-0.13556441164079694,3968.895614557431
Yes,5.0,Mahasarakam,Male,Married,Graduate School,6.014449077109951,Urban,34.0,0.28565244326801675,4325.241860614958
Yes,,Udon,Male,Single,Graduate School,3.202969633855844,Rural,9.0,0.05420660657867887,6163.300004101065
No,3.0,Khon Kaen,Female,Single,High School,3.5383020423613343,Rural,35.0,-0.17656926906844525,5193.124326373935
No,5.0,Udon,Male,Married,Graduate School,4.492444148068112,Rural,36.0,-0.8535564004386688,7066.921288359956
Yes,5.0,Khon Kaen,Male,Married,College,5.3978661315372864,Urban,28.0,-0.11816127677243192,4815.537622615606
No,5.0,Mahasarakam,Male,Single,College,2.3024344432225154,Suburban,46.0,-0.05760066654693524,4882.332494221471
No,4.0,Udon,Male,Single,Graduate School,3.3338877686911585,Rural,34.0,-0.12481969315837337,6413.696626606628
Yes,4.0,Khon Kaen,Male,Single,Graduate School,4.776403631761412,Suburban,44.0,-0.2203797625460155,4666.202159138628
Yes,5.0,Khon Kaen,Female,Divorced,Graduate School,7.679261779722674,Suburban,28.0,0.0453864855345959,3996.216003548272
No,3.0,Khon Kaen,Female,Single,College,3.923243365966441,Rural,32.0,0.36446426465647974,5283.32874628344
Yes,4.0,Khon Kaen,Female,Married,High School,4.3919707292079515,Suburban,30.0,0.04447558143296429,4774.390420088954
Yes,4.0,Udon,Female,Divorced,Graduate School,4.73099232381869,Urban,21.0,-0.4743834820726295,4709.2542878881495
Yes,3.0,Mahasarakam,Female,Divorced,High School,5.651620564305734,Rural,31.0,0.21304829255165786,5257.7640275042295
Yes,4.0,Mahasarakam,Male,Married,High School,3.4430420972217304,Urban,32.0,-0.3511136634324661,3589.736349402452
No,4.0,Khon Kaen,Female,Married,Graduate School,2.9663653572381348,Urban,35.0,0.403367216728997,4960.476212512443
Yes,,Mahasarakam,Female,Single,High School,6.61428637245768,Suburban,23.0,0.04211637630681514,5027.691343496871
Yes,4.0,Udon,Male,Divorced,College,7.7891520587314265,Urban,31.0,0.3268537925110824,5734.8437685064255
Yes,3.0,Khon Kaen,Female,Divorced,Graduate School,5.1873756650088785,Urban,58.0,0.27218681555760615,5471.996030695081
Yes,4.0,Khon Kaen,Female,Divorced,Graduate School,6.448492035073445,Suburban,50.0,-0.014934043504039485,5123.437517665303
Yes,4.0,Khon Kaen,Male,Divorced,Graduate School,5.316485739176251,Urban,27.0,0.06825595699752601,7374.806642258445
No,3.0,Udon,Male,Married,Graduate School,2.6005075940941227,Suburban,23.0,0.2847236667696113,2842.6909965674977
No,4.0,Udon,Male,Married,College,3.477278131529866,Suburban,36.0,-0.097008325838453,5547.853879716253
Yes,6.0,Khon Kaen,Female,Single,College,5.627651605521794,Urban,36.0,0.9361935243042494,3237.352074791704
No,5.0,Mahasarakam,Male,Single,High School,2.2133687580068098,Rural,31.0,0.5228016897147147,5137.655268692866
Yes,1.0,Udon,Male,Single,Graduate School,2.781555791175178,Urban,18.0,-0.26156328396620687,2568.6629039982463
Yes,1.0,Khon Kaen,Female,Divorced,High School,6.759617836072142,Suburban,35.0,-0.05503579707167289,5752.4817609459315
Yes,6.0,Mahasarakam,Female,Divorced,Graduate School,4.433817495388769,Urban,17.0,0.0381076344352079,4855.620342972706
Yes,4.0,Mahasarakam,Male,Married,High School,3.2612509434851336,Suburban,23.0,-0.19082783640183765,3179.4255177690566
Yes,2.0,Khon Kaen,Female,Single,College,3.1755759767360385,Suburban,43.0,-0.2221583352255549,4444.577737848244
Yes,1.0,Khon Kaen,Male,,College,7.901879972157201,Suburban,41.0,0.07274910363740422,6211.053073998853
Yes,5.0,Khon Kaen,Female,Single,Graduate School,5.226550922988394,Urban,44.0,0.2819891105209412,4495.842283484135
No,4.0,Mahasarakam,Female,Married,Graduate School,3.9091088222545687,Suburban,17.0,0.15623279622423902,5159.530170071898
No,6.0,Khon Kaen,Female,Married,Graduate School,3.681959363642782,Rural,24.0,0.5349405859850418,3940.2172246611344
Yes,2.0,Khon Kaen,Female,Single,College,3.8230956934885714,Rural,,0.06930604124756728,3322.009483182469
Yes,6.0,Udon,Female,Single,Graduate School,6.736177534975425,Suburban,28.0,0.06434374782740965,5794.643158618312
Yes,4.0,Mahasarakam,Female,Divorced,College,5.698576416435992,Suburban,27.0,-0.009247748240756498,4363.611361188585
Yes,5.0,Khon Kaen,Female,Divorced,College,4.296295095968155,Urban,,-0.3191035563334028,3048.1077231304535
Yes,4.0,Udon,Male,Single,College,6.312170097523853,Suburban,21.0,0.14663862080127849,5204.501577206864
No,3.0,Khon Kaen,Female,Married,Graduate School,4.498026619067193,Rural,29.0,-0.19387633857149209,6381.761903193067
Yes,3.0,Khon Kaen,Female,Divorced,Graduate School,6.834017435188409,Urban,31.0,0.05856139460258353,4785.969893927055
Yes,4.0,Khon Kaen,Male,Divorced,Graduate School,7.1677621903966635,Urban,27.0,0.2023743198999325,5373.663291056244
Yes,6.0,Khon Kaen,Female,Single,High School,6.333927829629654,Suburban,32.0,0.2406800661988161,5250.026682449665
Yes,5.0,Udon,Male,Divorced,Graduate School,5.570991644508023,Rural,47.0,-0.14346461842662603,4523.300735999778
Yes,3.0,Udon,Male,Single,High School,4.55297712096641,Urban,39.0,-0.052799731086906915,5011.188489309046
Yes,4.0,Mahasarakam,Male,Single,College,5.428254033933736,Urban,34.0,-0.18516075350512726,3470.3386457621828
No,4.0,Mahasarakam,Male,Married,High School,3.0511981753982456,Rural,35.0,-0.13870083898984745,5594.340789209367
No,2.0,Khon Kaen,Male,Married,High School,3.9447634585798435,Rural,28.0,-0.7880769409861575,4935.263782591651
No,4.0,Mahasarakam,Female,Married,College,2.793655399329351,Urban,40.0,-0.28835729393549636,5161.834564122576
Yes,7.0,Khon Kaen,Female,Married,Graduate School,2.679293220494439,Urban,36.0,0.17903669900999902,4565.897362848175
Yes,5.0,Khon Kaen,Male,Single,College,4.582854105806381,Urban,28.0,0.018651390950765595,4602.270459613055
No,5.0,Mahasarakam,Female,Married,High School,2.983806450007247,Suburban,27.0,0.21822148067003233,5253.555722390753
Yes,3.0,Udon,Male,Divorced,College,5.228464181760082,Suburban,29.0,0.08495200341111431,5298.117650337408
No,5.0,Udon,Male,Divorced,Graduate School,4.718740889342783,Suburban,28.0,-0.5449776085578075,7508.9089241468355
No,7.0,Udon,Female,Married,Graduate School,4.6881206624606175,Rural,29.0,0.26664759568423996,4084.268793908416
No,5.0,Mahasarakam,Female,Single,Graduate School,3.0032066371244204,Urban,16.0,0.3186815491809628,5124.603739222367
No,6.0,Mahasarakam,Female,Single,Graduate School,3.825463540326992,Rural,24.0,-0.7528881467836686,5111.002041413529
Yes,6.0,Mahasarakam,Male,Divorced,College,7.786265947519961,Urban,31.0,0.3177042605472864,5479.864565822425
No,6.0,Mahasarakam,Female,Single,Graduate School,4.860912029385499,Rural,25.0,-0.0654088267270618,5252.342761539798
No,2.0,Mahasarakam,Female,Married,College,4.368493613692409,Rural,16.0,-0.2927021568619831,
No,4.0,Udon,Female,Married,High School,2.7303503097442565,Rural,40.0,0.05502014479987283,5244.328497677114
No,5.0,Mahasarakam,Female,Divorced,College,,Suburban,33.0,-0.5424407540835566,5373.605075900129
Yes,5.0,Mahasarakam,Female,Married,College,2.199377965446717,Urban,17.0,-0.14571170780646997,5033.130056883081
Yes,5.0,Mahasarakam,Female,Divorced,Graduate School,7.0588342405390385,Suburban,11.0,0.2487106441236842,5690.495095995024
Yes,5.0,Khon Kaen,Male,Married,Graduate School,7.747964169826092,Urban,29.0,0.5166979940159241,3622.200782785202
Yes,3.0,Mahasarakam,Male,Single,High School,3.419860332949822,Suburban,27.0,0.1362541390519501,4999.49515497635
Yes,6.0,Udon,Female,Divorced,High School,4.324019760003934,Urban,17.0,-0.4744628569261752,3772.3762466931607
Yes,4.0,Udon,Female,Single,Graduate School,5.079188236888746,Suburban,30.0,0.16964201554796393,4954.880309248991
No,6.0,Mahasarakam,Female,Married,High School,2.8543699695349396,Rural,35.0,-0.2082724449580609,5020.1490369842995
No,4.0,Khon Kaen,Female,Divorced,College,4.266637364016714,Rural,47.0,0.37302436125515237,4044.5177758740624
Yes,6.0,Udon,Male,Single,College,5.1903521663091725,Rural,42.0,0.17929686033380027,5643.386706823158
Yes,3.0,Khon Kaen,Male,Single,High School,7.122062901583346,Urban,29.0,0.5199695844260508,6734.825642262669
No,3.0,Mahasarakam,Female,Divorced,High School,1.744283059266417,Rural,25.0,0.7256790499788879,3566.1648062070944
Yes,5.0,Khon Kaen,Female,Divorced,Graduate School,6.0453638204563065,Urban,31.0,0.35472824869085184,6167.460069687634
Yes,5.0,Udon,Female,Divorced,High School,7.077986211131963,Urban,17.0,-0.1531696686024089,4646.163650399141
Yes,2.0,Mahasarakam,Male,Single,High School,4.796879640917201,Urban,31.0,-0.010400936888944529,5916.859268036643
No,5.0,Khon Kaen,Female,Single,High School,4.844217396951698,Rural,29.0,0.044027866981095065,4076.4899930767933
Yes,4.0,Mahasarakam,Male,Married,Graduate School,6.488471882244316,Suburban,45.0,0.39689082164142064,5968.860490585937
Yes,4.0,Mahasarakam,Male,Single,College,6.484287006588417,Suburban,37.0,0.12861537760958658,5144.844034674951
No,7.0,Khon Kaen,Male,Married,College,4.472537657003035,Rural,10.0,0.436455475693598,4625.263812508519
Yes,5.0,Mahasarakam,Male,Divorced,Graduate School,3.260980189702401,Suburban,37.0,0.12580332919691622,4290.183942836583
No,4.0,Udon,Female,Married,High School,3.679192980768684,,31.0,0.46360896310015776,2580.7944626521303
No,5.0,Khon Kaen,Male,Married,Graduate School,3.5847469164018895,Rural,27.0,0.675615016419717,3991.8106346231016
Yes,4.0,Udon,Male,Divorced,College,4.966806886521698,Urban,46.0,,4092.3918721140617
No,1.0,Udon,Female,Married,Graduate School,1.7663462241416235,Rural,31.0,0.04616892855304541,
No,4.0,Udon,Male,Married,College,3.7317360413656697,Suburban,34.0,0.5958819828244674,3618.371400609517
Yes,4.0,Udon,Male,Married,College,4.163415615311481,Urban,12.0,,5988.211650231023
Yes,5.0,Mahasarakam,Female,Divorced,High School,4.456516967409975,Urban,28.0,0.034596497517867475,4790.165216489872
No,6.0,Khon Kaen,Male,Married,College,1.9886733389257412,Rural,,0.22598816621024237,6062.011212874826
Yes,5.0,Mahasarakam,Female,Divorced,Graduate School,4.710011183263715,Suburban,39.0,0.23415066448422417,4670.662636869674
Yes,6.0,Mahasarakam,Male,Divorced,College,4.3186224430905895,Suburban,20.0,0.2816826785174185,4080.4641629613493
No,4.0,Mahasarakam,Male,Married,College,3.6971597834587673,Urban,29.0,0.10538744066976208,3903.348030815822
Yes,4.0,Udon,Male,Divorced,College,3.2173786580681085,Rural,42.0,-0.2595479397733862,4571.797742590495
No,4.0,Udon,Female,Married,Graduate School,4.824834652322888,,16.0,0.22045083569270668,5545.939929495525
Yes,5.0,Khon Kaen,Male,Divorced,High School,6.287725728034406,Urban,25.0,0.0879606429509236,5324.92143720136
Yes,7.0,Udon,Female,Single,High School,8.194866605850333,Suburban,27.0,0.20759796656964807,5470.995568828025
No,5.0,Khon Kaen,Female,Single,Graduate School,4.127328671134688,Rural,34.0,1.274315758630484,2286.511543566652
No,6.0,Mahasarakam,Male,Married,High School,3.4711479845296296,Rural,2.0,-0.15718487210601556,6332.537594497047
Yes,2.0,Udon,Male,Single,High School,5.419228973871697,Suburban,20.0,0.052431850914042094,4095.2181702842186
