Marital Status,Active online hours,Brand Loyalty,Sex,City,Age,Renew,Location Code,Annual Income,Years subscribed,Education Level
Married,5.884627310103548,-0.812778641530166,Male,Kyoto,61.0,No,Suburban,56696.286452452914,6.0,College
Divorced,6.6564622323697265,0.48486770591011585,Female,Tokyo,61.0,Yes,Suburban,49945.12767983013,4.0,College
Divorced,5.23074379187948,0.2420900504461485,Female,Kyoto,60.0,No,Suburban,51724.97722249662,5.0,Graduate School
Divorced,4.442440268448103,0.6619595797884822,Female,Osaka,50.0,Yes,Urban,53263.184021301786,2.0,Graduate School
Single,3.648010522020925,-0.2462182307628178,Female,Tokyo,43.0,Yes,Suburban,62049.484265419764,3.0,High School
Single,5.896533733923054,-0.8988638695294593,Male,Osaka,32.0,Yes,Suburban,43942.55777101325,6.0,College
Single,6.057123256388625,-0.6245744378315996,Female,Tokyo,46.0,Yes,Suburban,50741.479810536664,5.0,High School
Single,6.924218718799874,0.3444609981400776,Female,Osaka,65.0,Yes,Urban,71064.5856045785,5.0,Graduate School
Married,5.905850211173119,-0.112084284280282,,Tokyo,72.0,No,Rural,54158.76276815863,6.0,College
Single,7.217802205668058,0.3105024678935415,Female,Osaka,54.0,Yes,Suburban,26266.423802222052,6.0,
Married,5.927055858844101,-0.2391337862996426,Male,Kyoto,51.0,No,Rural,44987.42463989504,4.0,College
Single,9.961474856071064,-0.2089760280391879,Female,Osaka,57.0,Yes,Urban,64244.35521211018,9.0,Graduate School
Married,6.130753873619902,-0.4340047955284221,Female,Kyoto,64.0,No,Suburban,69977.13474186932,5.0,Graduate School
Divorced,6.563275266056776,-0.6584779911534466,Female,Tokyo,41.0,No,Suburban,69936.94887929424,5.0,Graduate School
Single,5.172895635872731,-0.37595002092170937,Male,Kyoto,34.0,Yes,Suburban,42128.67524776736,6.0,Graduate School
Single,7.052391721575614,-0.4515945825039672,Female,Osaka,39.0,Yes,Urban,61226.82377445833,6.0,Graduate School
Divorced,6.441045951146201,,Female,Kyoto,46.0,Yes,Urban,46893.42186725821,5.0,College
Divorced,5.895943708890923,-0.4503110310262545,Male,Osaka,34.0,Yes,Suburban,51503.45304811008,6.0,College
Divorced,6.2539512671784285,-0.5465237226027683,Female,Kyoto,57.0,No,Rural,45918.31386974655,4.0,Graduate School
Divorced,4.809884577955639,,Female,Kyoto,35.0,Yes,Urban,41015.053246748816,3.0,Graduate School
Married,5.61983438999669,0.18648206278674795,Male,Osaka,43.0,No,Suburban,73103.59519982032,4.0,College
Divorced,6.780999786163148,-0.08374543035171783,Male,Kyoto,53.0,No,Rural,60629.94430726518,5.0,
Single,5.546759163472744,-0.006302890374447645,Male,Osaka,46.0,Yes,Urban,66485.04821164976,4.0,College
Single,6.138412117777982,-0.3205339092188043,Female,Kyoto,43.0,Yes,Urban,41503.31546023499,5.0,College
Single,6.607632529554276,-0.8024317304530271,Male,Osaka,55.0,No,Suburban,73338.74633070153,5.0,College
Married,6.170913659694851,0.08315172813726623,Female,Kyoto,34.0,No,Rural,77055.50134424595,4.0,High School
Married,5.801175246720621,-0.5407269638284078,Male,Tokyo,51.0,No,Suburban,66114.58907896701,5.0,Graduate School
Married,6.597642124129425,-0.48618707848003473,Female,Kyoto,62.0,No,Suburban,64376.28123026162,6.0,College
Divorced,7.315847880674578,0.651823556796239,Female,Osaka,50.0,Yes,Urban,53112.50912750596,6.0,College
Divorced,5.929077210856472,-0.7080789155897653,Male,Tokyo,48.0,No,Rural,65203.85917329981,4.0,College
Married,6.743222512817361,-0.042411935229032804,Male,Osaka,45.0,No,Rural,65909.39261800627,5.0,Graduate School
Single,5.729624197307154,-1.0885707009798653,Male,Osaka,38.0,No,Rural,,4.0,Graduate School
Divorced,5.948080418937429,-0.9963751255710405,Male,Osaka,59.0,No,Rural,40977.28183329734,7.0,Graduate School
Married,6.6436347985011865,0.16079594368291195,Male,Tokyo,48.0,Yes,Suburban,40355.503855089766,5.0,College
Divorced,4.707252121104993,0.04574021788078131,Male,Tokyo,47.0,Yes,,67142.6260990278,3.0,Graduate School
Single,,0.26483292199537567,Male,Osaka,44.0,No,Suburban,44679.41096153512,5.0,High School
Single,5.6798147839529936,-0.35748516426190546,Female,Osaka,31.0,Yes,Urban,46344.1055190042,6.0,High School
Single,7.741783476861381,-0.5976414543002821,Male,Tokyo,41.0,Yes,Urban,78670.43679768991,7.0,College
Divorced,7.506604736797676,0.02627160391086436,Female,Tokyo,46.0,Yes,Urban,51865.98497698956,,College
Divorced,8.764036846202439,-0.10664550425598218,Female,Osaka,41.0,Yes,Suburban,56254.080614522,9.0,Graduate School
Single,6.015074135765426,-0.7598686026242726,Female,Kyoto,30.0,No,Rural,43866.81625648217,3.0,High School
Divorced,3.2768088377893227,-0.22404220103799372,Male,Tokyo,46.0,Yes,Urban,96685.85022130804,1.0,College
Divorced,6.098298854613427,-0.6439160435061809,Female,Tokyo,32.0,Yes,Urban,49822.12523133812,6.0,Graduate School
Single,4.4392441575314585,-0.2726848899711582,Male,Osaka,43.0,Yes,,76355.11511810467,,High School
Married,6.967152521567117,0.13992702286087588,Female,Osaka,54.0,No,Rural,61656.95794412775,5.0,Graduate School
Married,5.825288520247848,-0.1725144887840085,Female,Tokyo,78.0,No,Urban,46372.18669704445,7.0,Graduate School
Single,5.711838666605139,-0.45337116573101527,Male,Tokyo,55.0,No,Rural,58954.833598180456,6.0,High School
Divorced,3.8410206630317614,-0.5276947391082,Female,Kyoto,35.0,Yes,Urban,70266.73667447858,3.0,High School
Single,7.189340573545705,0.0028439308278545017,Male,Tokyo,49.0,Yes,Urban,39475.52059679649,6.0,Graduate School
Divorced,6.172849702848536,-0.9646864580677095,Female,Tokyo,44.0,No,Rural,55318.5258877351,4.0,College
Married,5.460176328736044,0.049575727583256235,Female,Tokyo,68.0,No,Rural,75548.81299890364,7.0,College
Single,4.831944964012656,-0.15000402812091107,Male,Osaka,40.0,No,Suburban,89884.22577702065,4.0,College
Divorced,5.809693500264816,-0.18197021468601315,Female,Tokyo,31.0,Yes,Urban,51640.62171925254,6.0,College
Divorced,6.575064461548539,-0.07739995280553386,Male,Tokyo,44.0,No,Suburban,60528.74891181534,4.0,Graduate School
Single,4.977908792394285,0.5622691682058397,Female,Kyoto,53.0,No,Rural,52159.96800405618,5.0,Graduate School
Single,5.8584648421527294,-0.7279119762052118,Male,Osaka,39.0,Yes,Urban,50668.293705610784,6.0,High School
Divorced,5.68227370235049,0.3756652762144316,Male,Osaka,49.0,Yes,Suburban,46531.48894334445,3.0,Graduate School
Single,4.9638517780261555,-0.09695847309597416,Female,Osaka,46.0,Yes,Suburban,67966.88166694272,4.0,High School
Single,6.817456736342214,-0.12178912192448693,Male,Kyoto,42.0,Yes,Urban,47779.02096097733,6.0,High School
Single,6.503268564954691,,Male,Osaka,40.0,Yes,Urban,65110.573855055874,7.0,High School
Single,6.666288963606413,0.5117426208525525,Female,Tokyo,57.0,No,Rural,77342.85684765923,6.0,College
Divorced,6.863406267524313,0.327404591893076,Male,Kyoto,39.0,Yes,,67165.2598547469,7.0,College
Single,6.251767126390195,-0.12768596134540894,Male,Tokyo,43.0,Yes,Urban,75003.8876326276,5.0,High School
Single,4.665196888092801,-0.773934988042587,Female,Osaka,36.0,Yes,Urban,66416.01002268516,4.0,College
Single,5.6520688582096845,-0.35667089832092486,Male,Kyoto,27.0,No,Rural,48765.25653767723,4.0,High School
Single,5.0544417585669414,-0.2799344843606112,Female,Osaka,56.0,No,Rural,49885.93952331982,6.0,High School
Divorced,4.678568314806889,-0.27561657165722364,Male,Osaka,29.0,Yes,Suburban,37252.77311889624,4.0,Graduate School
Single,4.760016895095966,-0.16314284173704646,Male,Osaka,35.0,Yes,Suburban,41026.31310392787,4.0,High School
Divorced,5.9879176124247175,-0.13731526656062176,Female,,72.0,No,Rural,62611.61381458664,6.0,High School
Married,5.130339871810554,0.5774525589874969,Female,Kyoto,51.0,Yes,Urban,69622.89623588232,4.0,College
Married,5.714631170498722,-0.5578626282235759,Male,Osaka,55.0,No,Rural,33830.84022219486,6.0,High School
Married,5.97017067704513,-0.26687239228500087,Female,Osaka,38.0,No,Suburban,66235.57361624733,3.0,College
Single,7.11270576475501,-0.033111144809443716,Male,Osaka,38.0,Yes,Urban,47248.52050437641,6.0,College
Divorced,7.34399871598839,-0.0497608079763347,Female,Kyoto,53.0,Yes,Urban,57720.08306957626,7.0,High School
Married,6.514656514023209,-0.23100928729983822,Male,Kyoto,44.0,,Urban,55415.41440587241,5.0,High School
Married,5.9988149366144015,0.05021058943277146,Female,Tokyo,62.0,No,Urban,47851.68253241303,6.0,Graduate School
Married,5.7556753851194395,0.06237307156931138,Male,Osaka,44.0,Yes,Urban,82130.99449151865,5.0,High School
Divorced,6.565353865525267,,Male,Osaka,68.0,No,Rural,44715.79842951352,6.0,College
Divorced,5.877621838475987,-0.8488994439202989,Female,Osaka,49.0,No,Rural,35816.04259251946,5.0,Graduate School
Single,7.681515694112612,-0.058391722845412886,Female,Tokyo,51.0,Yes,Suburban,57834.312434025014,7.0,High School
Divorced,5.945530558261862,0.07288384787371593,Female,Osaka,58.0,No,Urban,55724.477345100386,6.0,High School
Divorced,5.189673494469798,0.7766996077588938,Female,Kyoto,50.0,Yes,Suburban,54967.979313844706,4.0,High School
Married,5.157553638731125,-0.32529741995483163,Female,Tokyo,65.0,No,Rural,55041.66255408884,6.0,College
Divorced,7.313755678146124,-0.7869858047431012,Male,Kyoto,43.0,Yes,Urban,49064.85895083195,6.0,Graduate School
Married,4.666951421462556,0.029160944157126778,Male,Osaka,49.0,No,Rural,53768.30453432658,5.0,High School
Single,5.372188900681429,0.00042440150967382184,Female,Kyoto,44.0,Yes,Urban,47589.275799655006,4.0,College
Divorced,6.4026990056322965,-0.48912111388607427,Male,Tokyo,43.0,Yes,Urban,78432.29856297183,5.0,College
Divorced,7.432140776372962,0.5216856855139448,Male,Osaka,54.0,Yes,Urban,71202.13512456173,6.0,College
Divorced,5.410967801363702,0.3966935486116212,Male,Osaka,39.0,Yes,Urban,69529.09481073637,6.0,Graduate School
Divorced,7.730338736360972,-0.00816524036805033,Female,Kyoto,57.0,Yes,Suburban,57655.177710039454,7.0,High School
Married,5.572131658102184,-0.3162120208157836,Female,Kyoto,63.0,No,Suburban,37668.75762394513,7.0,College
Married,5.64873382178852,-0.9385124754552336,Male,Tokyo,39.0,No,Suburban,50897.71172329356,5.0,High School
Married,7.4101792124657955,0.7791067123713052,Male,Tokyo,65.0,Yes,Urban,32590.264955079383,5.0,High School
Divorced,5.225424953929465,0.023916982509406992,Male,Kyoto,33.0,Yes,Urban,61613.89998508048,5.0,College
Divorced,8.595063377022118,0.23201272521637362,Female,Tokyo,57.0,Yes,Suburban,36616.73417646199,7.0,High School
Divorced,5.845232217255154,-0.3507251028145851,Male,,36.0,Yes,Urban,52214.53178603561,6.0,Graduate School
Divorced,6.373311003050233,0.0176068966392946,Female,Kyoto,42.0,Yes,Urban,44985.56442971899,6.0,High School
Single,3.646861682924383,-0.8528099562891049,Male,Tokyo,33.0,Yes,Suburban,52532.9250645799,3.0,Graduate School
Married,5.130779692293785,0.28977211270758607,Female,Osaka,43.0,No,Rural,43580.735612226104,4.0,College
Divorced,5.4529216269943435,0.08702004595965207,Male,Osaka,55.0,Yes,,37325.589987939704,4.0,High School
Single,4.536316469497934,-0.34224366839298676,Female,Kyoto,40.0,Yes,Urban,51157.130982561794,4.0,Graduate School
Married,4.850049439808325,-0.2874124161056829,Male,Tokyo,51.0,No,Rural,70812.1253664448,4.0,Graduate School
Single,4.306468171328593,-0.18056571326436532,Male,Kyoto,45.0,Yes,Urban,72916.0261003203,4.0,Graduate School
Single,6.616906143668173,0.012122242035414232,Female,Osaka,52.0,No,Suburban,48859.523235186454,6.0,Graduate School
Single,6.4187854600340915,0.2752328143886321,Male,Osaka,56.0,Yes,Urban,34766.95111515252,5.0,College
Divorced,3.8680747855448194,-0.11424209065514584,Male,,44.0,Yes,Urban,82740.65007907273,3.0,College
Divorced,5.290014926628699,0.9035242635246085,Female,Kyoto,57.0,Yes,Urban,66678.97072767922,3.0,High School
Divorced,5.981020181327453,-0.986317051298347,Male,Kyoto,45.0,Yes,Urban,,5.0,High School
Married,5.199638485521038,-0.09876399418014281,Male,Osaka,52.0,No,Suburban,29545.128559282646,4.0,College
Divorced,6.878059464069473,-1.4673065269432286,Female,Osaka,46.0,No,Suburban,38787.476924877876,5.0,High School
Divorced,4.743241277764568,-0.3739816483964079,Female,Osaka,43.0,Yes,Rural,78699.58242001735,4.0,Graduate School
Divorced,6.873472068067971,-0.008579932241147281,Male,Kyoto,56.0,No,Rural,53731.09146572632,6.0,Graduate School
Single,5.558073470976553,-0.8422481396600838,Female,Kyoto,57.0,No,Rural,63344.22349123456,4.0,College
Divorced,6.601909528001872,-0.32296601086894317,Female,Kyoto,51.0,Yes,Urban,55927.44009356688,5.0,College
Married,7.508822924088864,0.4539388628011718,Male,Tokyo,57.0,,Urban,60853.99479832346,6.0,College
Single,5.750069033277833,-0.6043704807434602,Male,,43.0,Yes,Urban,38819.9006429651,4.0,
Divorced,3.809678387163541,-0.8472575345125282,Female,Tokyo,29.0,Yes,Suburban,52680.34807041704,4.0,Graduate School
Divorced,6.136741716858504,-0.0070039362344085365,Female,Kyoto,52.0,Yes,Suburban,54688.0090529679,4.0,College
Single,5.153287675293518,-0.3395058034420264,Male,Tokyo,41.0,Yes,Urban,46728.39696974245,4.0,College
Single,7.135472572667911,-0.13628140391443588,Male,Kyoto,52.0,Yes,Urban,54630.78700695034,6.0,Graduate School
Single,5.960391237330784,-0.7716790948090189,Male,Kyoto,54.0,No,Suburban,42229.30235065875,5.0,Graduate School
Married,,-0.5024395591728059,Female,Tokyo,37.0,Yes,Urban,52065.7381018406,,High School
Divorced,4.473092411609208,-0.020394392132722483,Male,Osaka,44.0,Yes,Urban,39375.30610629107,3.0,High School
Married,5.570887415942132,0.18973308568167713,,Kyoto,52.0,No,Rural,56907.25862066451,5.0,High School
Divorced,5.509320811316054,0.016367428353638802,Female,Tokyo,42.0,Yes,Urban,53563.032142905555,5.0,High School
Divorced,6.0905011451926585,-0.5625245083785702,Male,Osaka,37.0,Yes,Urban,58423.92767800936,6.0,High School
Single,5.331354723310499,-0.2664215717414945,Male,Osaka,52.0,No,Rural,61580.99773666145,5.0,College
Married,5.765681061660916,0.4359217408325444,Male,Kyoto,57.0,Yes,Urban,55020.53343306245,3.0,High School
Divorced,6.712305933166768,0.07574553967623321,Female,Kyoto,46.0,Yes,Rural,46997.747740907886,6.0,Graduate School
Divorced,7.769830835418771,-0.032035992324929374,Female,Tokyo,48.0,Yes,Suburban,64565.97266735174,7.0,High School
Single,5.359271327543872,0.0017384129634337997,Male,Osaka,48.0,Yes,Suburban,41128.291552588686,4.0,College
Divorced,5.575571397643031,-0.07776634182469006,Female,Kyoto,39.0,Yes,Rural,53285.70011701017,4.0,Graduate School
Single,5.345622817112221,-0.38116148903799907,Female,Kyoto,53.0,No,Suburban,41993.23170430229,5.0,Graduate School
Single,4.297956567509193,-0.3800761807041684,Male,,46.0,Yes,Suburban,70416.74077962418,4.0,College
Divorced,5.272699403033276,-0.1275270649375445,Female,Kyoto,35.0,Yes,Suburban,34613.744408970604,5.0,Graduate School
Married,6.918477315127157,-0.5247543344342449,Female,Tokyo,47.0,No,Rural,54254.46001722308,,College
Married,5.635165931489253,0.5205101022023538,Female,Kyoto,42.0,No,Rural,82158.18492617551,4.0,Graduate School
Married,6.211826801986881,-1.1057620013743494,Female,Tokyo,38.0,No,Suburban,58312.631983390296,3.0,College
Single,5.273807007758188,,Male,Osaka,49.0,Yes,Urban,43193.52076798945,4.0,College
Single,5.308708420609291,0.3795375428777732,Male,Osaka,51.0,No,Rural,62354.29984076553,4.0,Graduate School
Single,,-0.39200481474000703,Male,Kyoto,35.0,No,Rural,67623.34207365046,4.0,Graduate School
Married,5.860317902556829,-0.48010926950644534,Male,Kyoto,53.0,No,Urban,45592.86697855974,4.0,Graduate School
Divorced,6.376423894259288,0.17848464199253533,Female,Tokyo,43.0,Yes,Urban,73972.38800928948,7.0,College
Married,6.484299381684646,-0.09538846514121235,Male,Tokyo,52.0,No,Rural,64857.18220149002,5.0,Graduate School
Single,7.607601820520918,-0.6326475166090698,Female,Osaka,45.0,Yes,Urban,75818.87116405345,7.0,High School
Married,6.716956953888772,-0.34254088568122976,Male,Osaka,45.0,No,Suburban,52855.73212421672,4.0,Graduate School
Single,4.972203293113666,0.4041274890292865,Female,Tokyo,,No,Rural,68268.63656681277,7.0,Graduate School
Single,6.525847703802235,-0.19050805631585271,Male,Tokyo,47.0,Yes,Suburban,42764.22748620098,5.0,College
Married,5.941713026026932,-0.4658387552644978,Female,Kyoto,58.0,No,Rural,56730.513985574165,5.0,High School
Married,4.4895366468292615,0.9661766296610971,Female,Tokyo,58.0,No,Rural,43464.85776572588,5.0,Graduate School
Single,6.044724321603874,-0.2519090496467939,Female,Kyoto,42.0,Yes,Urban,45201.33601470124,6.0,College
Divorced,6.617492793216775,-0.8286522996283785,Female,Kyoto,32.0,Yes,Urban,60346.65426479517,7.0,College
Single,6.730481625570179,-0.09501431392103349,Male,Tokyo,37.0,Yes,Urban,54254.5557638038,6.0,College
Divorced,7.305321343496957,-0.06954314379918525,Female,Osaka,52.0,Yes,Urban,44026.53963264102,6.0,High School
Married,5.804369461162288,0.43494733797365515,Male,Osaka,61.0,No,Suburban,44795.37592656462,6.0,College
Divorced,7.827053001380589,-0.14376941271605664,Female,Kyoto,53.0,Yes,Urban,67858.2089903583,7.0,College
Single,8.950750708094768,,Male,Tokyo,51.0,Yes,Suburban,52880.76025952362,8.0,Graduate School
Single,5.957306725102731,0.40111038825480383,Male,Kyoto,68.0,No,Urban,37570.651621195444,7.0,College
Divorced,6.503054308427974,-0.27968010581489244,Female,Osaka,47.0,Yes,Suburban,42591.31265587196,6.0,High School
Divorced,,0.01818015978716514,Female,Osaka,48.0,Yes,Suburban,59776.72694952844,6.0,Graduate School
Married,6.4142245852216515,-0.9634189399005264,Male,Tokyo,65.0,No,Urban,47468.66174716656,6.0,College
Single,2.3682023125529037,0.12748365302498288,Male,Tokyo,34.0,Yes,Suburban,55841.87568980352,2.0,High School
Divorced,5.6575820945643756,-0.23221987398763871,Female,Tokyo,44.0,Yes,Urban,60469.568137461596,5.0,Graduate School
Single,5.657222796901558,0.26569315885386136,Female,Tokyo,62.0,No,Rural,66746.3771926365,5.0,College
Divorced,6.83694066856668,-0.45686833666780574,Male,Kyoto,41.0,Yes,Urban,67013.49303242545,7.0,High School
Divorced,6.669642320960762,-0.06575213378982359,Male,Kyoto,52.0,Yes,Urban,63133.109691727994,5.0,Graduate School
Divorced,6.867569727159187,-0.24405848837321314,Male,Tokyo,55.0,Yes,Urban,59476.846851853436,5.0,Graduate School
Married,6.015436152761936,-0.3524750022689038,Male,Tokyo,55.0,No,Rural,51575.74478376103,5.0,Graduate School
Divorced,5.5580153274634085,-0.6734255546421754,Male,Kyoto,49.0,No,Rural,60149.545893987466,5.0,Graduate School
Divorced,5.175802100292518,-0.03638044396396711,Male,Osaka,55.0,Yes,Urban,56767.42444663543,4.0,Graduate School
Divorced,6.478142459880607,0.18390220506147192,Male,Osaka,57.0,No,Rural,55721.49530096869,,High School
Divorced,,-0.16549883182734293,Female,Osaka,54.0,Yes,Urban,59442.26758527702,5.0,College
Married,5.087577898950824,0.39806205005870166,Male,Tokyo,58.0,No,Rural,66970.55316618262,5.0,High School
Divorced,6.524338480929643,-1.1788120135518858,Male,Osaka,27.0,Yes,Urban,58824.724877772176,7.0,High School
Single,5.717197254821698,-0.6457336928128071,Female,Tokyo,37.0,Yes,Urban,58653.389110726945,5.0,Graduate School
Married,6.5979469225644305,-0.6947713623806695,Female,Tokyo,57.0,No,Suburban,83087.07657313535,5.0,Graduate School
Single,6.446341623531269,-0.23235810332623308,Female,Osaka,56.0,No,Rural,45070.30883061323,6.0,College
Married,4.357956414610057,0.46836847677897175,Female,Tokyo,43.0,Yes,Urban,64191.20791252923,4.0,High School
Divorced,5.777102238205011,-0.23867451366242254,Female,Osaka,38.0,Yes,Suburban,53242.38276162044,5.0,College
Married,6.018472457184879,-0.6786458461086382,Male,Osaka,71.0,No,Rural,50333.307551502934,6.0,College
Divorced,5.069829851450388,0.1356809223009151,Male,Kyoto,49.0,Yes,Urban,70792.66910279894,3.0,High School
Single,5.572490186683817,-0.2680560119902835,,Kyoto,39.0,Yes,Urban,43412.908424804285,5.0,College
Married,5.752260777863111,-0.5744269446835776,Male,Tokyo,47.0,No,Rural,41417.71001854661,5.0,High School
Single,6.403820411379,0.3454050820093756,Male,Osaka,48.0,Yes,Suburban,51764.04874696358,5.0,Graduate School
Single,5.019765479697655,0.01859958635051462,Female,Kyoto,51.0,,Suburban,47326.31157557105,3.0,Graduate School
Divorced,4.085506830420469,-1.0555671909117665,Female,Tokyo,26.0,Yes,Suburban,41997.91473386213,4.0,College
Divorced,4.667545442694747,0.591555177844607,Female,Osaka,42.0,Yes,Suburban,50545.94892014357,4.0,College
Divorced,5.784034515281713,0.22972284087570372,Female,Kyoto,46.0,Yes,Urban,69541.40049777183,4.0,High School
Divorced,4.336937282342918,-0.6333953718922124,Female,Osaka,32.0,,Suburban,56403.67762526816,,High School
Single,5.500682253080892,-0.2066238519105374,Male,Tokyo,51.0,No,Rural,42221.34942782813,6.0,High School
Single,3.617565324969993,-0.2219924191409553,Female,Kyoto,39.0,Yes,Urban,53712.94423716055,2.0,College
Married,5.30001685660614,-0.41244587185718573,Female,Kyoto,45.0,Yes,Rural,39830.47299914299,4.0,High School
Divorced,5.411076953462387,-0.6289934151684583,Male,Osaka,48.0,No,Rural,56735.83270472784,6.0,High School
Single,6.60459401351949,0.5946991566000849,Female,Kyoto,50.0,,Suburban,64350.36702350122,5.0,College
Single,6.8578770170000904,-0.008605062132562402,Female,Tokyo,44.0,Yes,Urban,31365.795920735436,6.0,College
Single,4.143945077746607,-0.5485523795884807,Male,Kyoto,28.0,Yes,Suburban,55939.211140031264,4.0,High School
Married,6.188855090572373,-0.08680748558315526,Female,Tokyo,56.0,No,Rural,54856.2940404118,5.0,High School
Divorced,7.536593583786505,-0.22084244406897313,Female,Osaka,36.0,Yes,Urban,54624.470717711054,7.0,College
Divorced,6.211644958151774,-0.6186601767551858,Male,Tokyo,59.0,No,Urban,44343.409152454085,5.0,High School
Married,5.611557327599957,-0.08683599126879388,Male,Tokyo,65.0,No,Rural,70155.82540623697,4.0,Graduate School
Divorced,6.158079617944058,0.24183164366277865,Female,Kyoto,47.0,Yes,Urban,43440.00885391979,6.0,High School
Divorced,5.326344641806985,-0.3890646646245989,Female,Tokyo,31.0,Yes,Urban,72841.96140091214,6.0,High School
,5.787177187110939,-0.1367460821550862,Female,Tokyo,51.0,Yes,Suburban,60981.10850400891,4.0,High School
Married,5.3884269475470346,-0.34171022372737414,Male,Osaka,55.0,No,Suburban,69663.08535642891,5.0,Graduate School
Divorced,5.673544336995539,-0.41153075362109504,Male,Tokyo,46.0,Yes,Rural,65485.23835469917,5.0,High School
Married,7.040957970420346,-0.13890877717874967,Female,Kyoto,68.0,No,Rural,46255.951527096295,6.0,Graduate School
Divorced,6.558248391278905,-0.4445298240320954,Female,Osaka,46.0,Yes,Urban,51891.40206598443,5.0,College
Divorced,4.709084359921712,-0.7610235025017409,Male,Osaka,26.0,,Urban,51304.1814720108,5.0,High School
Divorced,3.516495390738774,0.05049877492981225,Female,Osaka,44.0,Yes,Urban,59784.78870723073,2.0,College
Divorced,6.494879237798472,0.2116798007634012,Female,Kyoto,43.0,No,Rural,54447.141635316904,5.0,Graduate School
Single,3.258257064446765,0.2721265514286533,Male,Osaka,47.0,Yes,Urban,69912.01750055453,2.0,Graduate School
Single,5.185364376234976,0.4751104209110152,Female,Tokyo,44.0,Yes,Urban,54797.315212605565,4.0,College
Divorced,6.646346840607288,0.31963621252510876,Male,Tokyo,48.0,Yes,Rural,66658.3444933355,5.0,High School
Married,5.9374992021045845,-0.8189361475496749,Female,Kyoto,40.0,No,Suburban,52562.284785681644,5.0,College
Divorced,,0.11347960676752211,Male,Kyoto,50.0,Yes,Suburban,59885.05821071897,4.0,College
Single,6.120661305966151,0.6143871338025054,Female,Tokyo,70.0,No,Rural,51933.26645680537,7.0,Graduate School
Single,5.5151251544031865,-0.5524593930447436,Female,Kyoto,27.0,Yes,Suburban,38057.8975602476,5.0,Graduate School
Married,6.551796179858662,-0.09597428861068485,Male,Osaka,40.0,No,Suburban,47877.11235599223,4.0,High School
Divorced,4.178325863787734,-0.21204970503827397,Female,Kyoto,36.0,Yes,Urban,68013.34981618868,3.0,College
Divorced,7.11386455628739,0.5052703284439363,Female,Kyoto,61.0,Yes,Suburban,57642.860490473824,5.0,High School
Married,7.2510484385430765,,Female,Osaka,52.0,No,Rural,66209.81857345867,4.0,College
Married,6.886916864653979,-0.5490272484466607,Male,Tokyo,61.0,No,Suburban,65714.34456323824,4.0,Graduate School
Divorced,6.2862427688119755,0.27725511827283245,Female,Tokyo,52.0,Yes,Urban,48607.48969923694,5.0,College
Married,6.432032237716201,-0.8978578340205319,Male,Kyoto,41.0,No,Rural,60241.928775519315,3.0,Graduate School
Divorced,5.772846783787763,0.26795794905340053,Male,Kyoto,55.0,No,Rural,52398.10207252082,,College
Married,4.949345199524703,0.06697741808033197,Female,Kyoto,72.0,No,Urban,78790.52925060695,6.0,Graduate School
Divorced,7.420200935398336,0.1501453846800732,Male,Tokyo,55.0,Yes,,48769.35978925842,5.0,High School
Divorced,2.6769383539051157,-0.21946296126966758,Female,Osaka,46.0,Yes,Suburban,57428.1158561348,1.0,High School
Married,7.755975161844669,-0.35095806174264044,Female,Tokyo,42.0,Yes,Rural,52444.11007639876,8.0,Graduate School
Divorced,7.160908333062161,0.27415240977241484,Female,Kyoto,62.0,Yes,Suburban,40069.66214852928,6.0,High School
Married,,0.3689779527611241,Male,Tokyo,57.0,No,Suburban,62307.0496227407,7.0,High School
Single,3.123652354928053,-0.3402495194881093,,Tokyo,46.0,Yes,Urban,67926.48651983353,2.0,Graduate School
Divorced,5.826885216898885,0.13879239016991474,Female,Kyoto,46.0,No,Suburban,64415.357010329906,4.0,Graduate School
,6.12068823341319,0.24912877928848942,Female,Osaka,53.0,Yes,Urban,55668.30889302923,4.0,High School
Divorced,6.910311337142982,0.0836043723533092,Male,Tokyo,59.0,Yes,Suburban,37464.63695898604,5.0,College
Single,6.680855871397983,0.1023921501911278,Male,Kyoto,43.0,Yes,Rural,,6.0,College
Divorced,6.181092228772394,-0.11076776724880849,Female,,38.0,Yes,Suburban,57499.515027574394,6.0,High School
Divorced,6.749725540334266,-0.12092580538769154,Male,Osaka,39.0,Yes,Suburban,52353.63479758477,6.0,High School
,6.364925498321354,-0.20807288038579308,Female,Osaka,42.0,Yes,Suburban,54528.64747816674,5.0,Graduate School
Divorced,7.325870958025379,-0.18873166059664587,Male,Kyoto,40.0,Yes,Urban,77831.17152062514,7.0,College
Single,5.7070754952578575,-0.6384444867511305,Female,Kyoto,60.0,No,Rural,40399.350412985325,4.0,College
Divorced,5.454544366277923,-0.6603598292933834,Female,Tokyo,38.0,Yes,Urban,50618.35576578283,5.0,College
Divorced,6.027799706031976,-0.06343065372381596,Female,Tokyo,40.0,,Rural,52733.395045520876,5.0,
Single,5.756131165219955,-0.27944357464359615,Female,Kyoto,46.0,No,Rural,78003.52706338029,4.0,College
Divorced,6.801568225004378,0.5563044486404752,Female,Osaka,52.0,Yes,Suburban,81539.31848484626,6.0,College
Divorced,5.698511656406566,-0.37116343628863047,Male,Osaka,38.0,No,Rural,52347.419953216595,5.0,Graduate School
