Location Code,Renew,Age,Online Activity,Education Level,City,Brand Loyalty,Monthly Income,Sex,Months with Company,Marital Status
Urban,Yes,56.0,5.80484829823701,High School,New Castle,0.31952078383974236,4846.965462512731,Male,91.0,Married
Suburban,Yes,55.0,7.3356918206573605,College,Manchester,-0.033986090186539475,3143.867390289157,Male,48.0,Divorced
Urban,Yes,49.0,4.3605169739706255,College,,-0.5186485210232378,6754.295504009018,Male,,Divorced
Urban,Yes,45.0,4.541094093856377,Graduate School,New Castle,-1.1728755509149762,3843.5786437172696,Male,61.0,Single
Rural,No,46.0,6.0437346169236,High School,Manchester,0.4437563152725177,5450.402806888635,Female,63.0,Married
Rural,No,47.0,4.51634844894584,Graduate School,London,-0.5747092104666058,5334.897012737948,Female,65.0,Single
Rural,No,38.0,4.34012501794532,College,Manchester,-0.9551752907667406,6059.565727061771,Female,73.0,Single
Rural,Yes,47.0,7.508542806708245,Graduate School,New Castle,-0.6906659978518903,6255.191835402533,Male,47.0,Divorced
Suburban,No,44.0,9.160047084627122,College,London,-0.8825304549547492,3373.378165110963,Male,69.0,Married
Urban,Yes,,5.643150587218297,High School,Manchester,-0.3759338457347603,4837.394290240335,Female,50.0,Single
Urban,Yes,36.0,5.166670498683549,High School,London,0.21494158629436366,3402.5302263668473,Male,57.0,Divorced
Suburban,No,43.0,4.032458747841278,College,London,-0.051746081615647144,4391.235067477105,Male,59.0,Single
Suburban,Yes,49.0,6.804915469299827,High School,New Castle,-0.1040013981668608,4752.236270501203,Female,85.0,Single
Urban,No,55.0,4.653748260757628,College,New Castle,0.774455930275957,4239.459536602988,Female,64.0,Married
Urban,Yes,53.0,4.89937287235004,High School,Manchester,,4494.423971643002,Female,54.0,Divorced
Suburban,Yes,65.0,3.679527393969115,College,New Castle,0.4100935006741764,4534.249695549342,Male,79.0,Married
Rural,Yes,48.0,4.230568704089542,High School,New Castle,-0.3671829843019528,3882.221787358062,Female,42.0,
Rural,No,44.0,7.38335799282012,Graduate School,Manchester,0.23915516980669427,4666.448354849607,Female,63.0,Married
Urban,Yes,49.0,4.94474041609738,High School,London,0.17389573719962798,3746.198497413426,Female,84.0,
Urban,Yes,45.0,6.755297297695968,College,Manchester,-0.26343344442854544,6151.7174644030865,Male,33.0,Married
Rural,No,63.0,3.018640333246166,Graduate School,New Castle,0.8971985271572627,3944.2348035612704,Male,60.0,Divorced
Urban,Yes,52.0,7.909620086770831,,London,0.1772967875919556,4161.050822408082,Female,70.0,Divorced
Suburban,No,50.0,3.157794024634486,College,Manchester,-0.09084898725244078,5599.962928098593,Female,68.0,Married
Rural,No,48.0,6.408777680200393,Graduate School,London,0.9305709945174947,5098.2603632531045,Female,62.0,Single
Urban,Yes,57.0,7.565548513614014,Graduate School,London,-0.07604733405088474,4869.312765099591,Male,62.0,Single
,Yes,54.0,7.174564244481038,College,New Castle,0.1862739993903998,4666.000191485952,Female,56.0,Divorced
Urban,Yes,48.0,,,London,0.2858383721080783,2489.447162471235,Female,49.0,Divorced
Urban,Yes,53.0,5.660651338578331,High School,London,-0.3542409435775259,4809.025274398219,Male,95.0,Married
Rural,No,76.0,4.566997317342919,Graduate School,London,-0.6969521366357356,,Female,93.0,Married
Suburban,Yes,46.0,3.890008283818366,College,New Castle,0.059492348725763367,3069.0102588027885,Male,89.0,Married
Suburban,No,48.0,7.642570534387053,Graduate School,New Castle,-0.16749076575616142,5858.026422933248,Female,51.0,Married
Rural,No,45.0,2.884850999692656,Graduate School,London,-0.7703462104474679,4010.7913108620414,Female,71.0,Married
Urban,No,53.0,,High School,,0.19595892042158586,4820.274459577464,Female,63.0,Married
Suburban,No,31.0,5.047171747093152,Graduate School,Manchester,0.1700705807049443,6256.003042715406,Male,54.0,Married
Suburban,Yes,47.0,5.464817011236643,High School,London,0.33649927347188857,3701.9556997504214,Female,34.0,Single
Rural,No,57.0,6.828709672397148,Graduate School,,-0.27116933509863367,4211.6263229431615,Female,68.0,Married
Urban,No,46.0,3.936112507248502,High School,London,0.27338424516965576,4142.402643744064,Female,65.0,Single
Suburban,Yes,59.0,3.582833779719019,College,London,0.14766788671603925,5381.756413143891,Male,66.0,Divorced
Suburban,No,35.0,6.097650812257249,High School,Manchester,-0.44856952224056346,4213.39094044475,Male,62.0,Divorced
Suburban,Yes,46.0,5.949923850860254,College,London,0.16504194643299747,6244.223301626196,Male,75.0,Single
Urban,Yes,48.0,4.629936251434904,High School,London,-0.24721066774871192,4333.1671524044705,Female,43.0,Married
Suburban,Yes,47.0,8.650389420055244,Graduate School,New Castle,0.14060623353684354,3108.3571272889194,Male,78.0,Divorced
Rural,Yes,55.0,3.004864534253783,High School,New Castle,0.15657089299712623,5696.369070946708,Female,55.0,Married
Suburban,No,48.0,5.853800311724554,College,Manchester,0.27241735056288263,3496.916586861137,Female,70.0,Single
Urban,Yes,61.0,6.745630192944912,Graduate School,London,-0.15943310520054346,6714.451751440096,Female,30.0,Divorced
Urban,Yes,44.0,3.638586761167785,College,London,-0.34532742601546834,4768.099792795742,Male,78.0,Single
Suburban,Yes,51.0,6.753347878436197,High School,London,0.4041538034886214,4483.157689878885,Male,89.0,Divorced
Rural,Yes,55.0,6.656712516601251,College,Manchester,-0.37344036684625725,5793.161163485004,Female,88.0,Divorced
Suburban,No,68.0,5.000027442377532,High School,London,0.8692551894691383,5059.884192670664,Female,72.0,Married
Rural,No,48.0,5.463395930915678,College,New Castle,,5075.698406289854,Female,58.0,Married
Rural,No,45.0,4.947676902397779,High School,New Castle,-0.1059962462455708,6321.79279126837,Male,66.0,Single
Suburban,No,66.0,6.301264796042334,Graduate School,London,0.36055540548047393,3209.895013284358,Female,81.0,Married
Urban,Yes,50.0,,College,Manchester,-0.4833557770501516,4925.564036553471,Male,78.0,Divorced
Urban,Yes,57.0,5.817401518329649,Graduate School,Manchester,0.45453396223510645,4167.470644108527,Male,78.0,Divorced
Rural,No,45.0,4.88542930078489,Graduate School,New Castle,-0.39431091350630776,4647.601857225584,Female,59.0,Divorced
Urban,Yes,39.0,6.455139312543926,High School,New Castle,-1.0555320744801673,3670.2998277768666,Male,37.0,Divorced
Urban,,46.0,4.816111868703849,Graduate School,New Castle,-0.6445552389122756,7435.150547599516,,70.0,Divorced
Suburban,Yes,61.0,5.105238595587836,,London,-0.21310668368146468,5311.63168224931,Male,96.0,Married
Rural,Yes,46.0,5.122832410531133,High School,Manchester,-0.260279987262558,5146.304203426745,Female,56.0,Single
Suburban,No,50.0,4.157259802997971,College,London,-0.4314349201683969,4336.956648546879,Female,76.0,Married
Urban,Yes,52.0,4.981412654151432,High School,New Castle,0.09077613485266267,4564.738100418632,Male,88.0,Divorced
Suburban,Yes,46.0,5.394205632668886,High School,London,-0.3758281590309073,4333.113109311139,Male,71.0,Divorced
Urban,Yes,33.0,3.914689760241839,High School,,-0.45914044925391817,2330.4800448322017,,63.0,Divorced
Suburban,Yes,40.0,6.264405028508154,Graduate School,London,-0.7334241668455969,6973.575422541362,Male,84.0,Divorced
Urban,Yes,54.0,3.8907596537493507,,London,0.20589621953211223,5566.6366289230855,Male,105.0,Single
Rural,No,45.0,4.619435038408692,Graduate School,Manchester,-0.22271633084622156,5494.7745700489295,Male,64.0,Married
Suburban,No,54.0,7.695495261595067,High School,London,-0.2550545267267958,4698.190992425287,Female,62.0,Married
Urban,Yes,48.0,5.223285527872022,College,London,-0.5437105065068798,4654.932839390132,Male,49.0,Single
Urban,Yes,62.0,5.636968024328655,College,London,0.7262007616596802,5254.942682403673,Female,90.0,Divorced
Rural,,59.0,6.70731186039754,Graduate School,Manchester,-0.27633896423743914,5203.023338256843,Male,75.0,Single
Suburban,Yes,55.0,5.991604749450774,College,Manchester,0.39508723062471185,4037.461378107103,Male,102.0,Married
Suburban,Yes,30.0,6.404276481982348,Graduate School,Manchester,-0.29718208326876794,5426.886728154198,Male,113.0,Married
Rural,No,58.0,5.518705916937294,High School,New Castle,0.5930620823464392,4944.567837697429,Male,76.0,Married
Suburban,Yes,46.0,3.8084905247923286,Graduate School,Manchester,0.5218169895903303,4443.531816831533,Male,95.0,Divorced
Rural,No,48.0,4.380548050782576,Graduate School,New Castle,0.517424670861986,3372.268420814995,Female,68.0,Married
Suburban,Yes,51.0,5.587797882970246,Graduate School,New Castle,0.6504060014830011,5552.859558614816,Female,81.0,Single
Suburban,Yes,49.0,6.415268343650242,High School,New Castle,-0.5754323247226625,3561.7224341810343,Male,72.0,Single
Suburban,Yes,59.0,5.499042026832524,High School,Manchester,-0.3026499275282715,4719.95397200507,Male,71.0,Divorced
Suburban,Yes,50.0,6.838750676512472,Graduate School,London,-0.6471642532927464,5754.092641750238,Male,45.0,Married
Suburban,No,49.0,5.99585739993046,High School,Manchester,-0.7785153758837691,5201.537527389392,Male,62.0,Divorced
Rural,No,49.0,4.042026563462936,College,London,0.8467496350905737,2934.5329843791037,,58.0,Divorced
Urban,Yes,54.0,6.602534668982936,Graduate School,Manchester,0.5223770807877248,4385.796475531343,Female,63.0,Divorced
Suburban,Yes,44.0,7.5262250231254235,High School,,-0.1753539104164105,4396.646444340253,Male,51.0,Single
Urban,Yes,56.0,5.68039538080666,College,Manchester,,4969.0470727419,Male,40.0,Divorced
Rural,No,54.0,6.875149050906763,College,Manchester,-0.48184414694109234,4827.421820433427,Male,89.0,Single
Suburban,Yes,49.0,6.060446951628461,High School,Manchester,0.06062581995037292,3534.192918149446,Female,68.0,Single
Urban,Yes,52.0,6.76296541920649,Graduate School,New Castle,0.20275211198467524,2722.1123709239578,Female,80.0,Single
,Yes,47.0,6.424480999650033,College,Manchester,-0.5647348561315546,4770.694669345784,Female,80.0,Divorced
Suburban,No,53.0,,High School,New Castle,1.1357267504169668,4596.19215998464,Female,57.0,Married
Suburban,No,49.0,5.826866744688107,High School,London,-0.6687301676825007,4676.616493670886,Male,63.0,Married
Urban,Yes,47.0,7.536542060711019,High School,Manchester,0.13406783047245313,4014.5587329571904,Male,,
Rural,No,59.0,4.049872153033131,Graduate School,Manchester,0.46035449107733084,3461.2949188294974,Male,79.0,Married
Suburban,No,40.0,4.758270515749571,High School,New Castle,0.13508369696308214,3128.5201787792093,Male,49.0,Divorced
Suburban,No,47.0,6.799104593096939,Graduate School,New Castle,-0.31583668702482964,3402.699593326206,Female,59.0,Married
Suburban,Yes,50.0,5.886523243981398,High School,New Castle,0.408748462722313,6562.18540386731,Female,65.0,Divorced
Rural,No,42.0,3.6554909747463933,Graduate School,Manchester,-0.17708165483122001,5135.041185244617,Female,67.0,Divorced
Urban,Yes,48.0,6.703725693726408,Graduate School,Manchester,-0.43736674362870875,4950.4217935803335,Female,74.0,Single
,Yes,45.0,,Graduate School,London,0.6827509441045095,5174.367363637495,,87.0,Divorced
Rural,Yes,56.0,6.155745485340678,High School,London,-0.08003877400657011,5762.896903873087,Female,27.0,Single
Urban,Yes,62.0,5.489873950866829,High School,London,0.4277936934862381,4329.7151719320755,Female,59.0,Married
,No,63.0,3.6864858902832514,High School,Manchester,-0.9208516890707729,3529.2100096406116,Male,80.0,Married
Urban,Yes,54.0,7.969322268770051,High School,London,-0.10529453848253006,4308.485907661916,Female,89.0,Single
Urban,Yes,59.0,4.684043622718109,College,Manchester,-0.799951677594083,4950.649309892406,Female,19.0,Divorced
Suburban,Yes,53.0,4.995671533933567,High School,New Castle,0.3444924276081378,3898.7537427168377,Female,80.0,
Urban,Yes,66.0,4.134930923026193,Graduate School,Manchester,0.30628773991287084,6356.325400820002,Female,45.0,Divorced
Suburban,Yes,46.0,5.844700064772784,College,Manchester,-0.19603100843825932,4903.9613062073795,Female,50.0,Divorced
Suburban,Yes,55.0,5.007382313782729,,London,0.3915741819675035,5630.924497127235,Male,90.0,Single
Suburban,Yes,35.0,3.934899077740571,High School,Manchester,-0.1404251761943593,2774.748116153626,Male,57.0,
Rural,No,48.0,3.6367557330096156,Graduate School,New Castle,-0.08924324220087856,4828.495657055007,Male,64.0,Divorced
Rural,No,44.0,4.345886145280898,High School,London,-0.612433664141762,5937.322248591838,Male,62.0,Married
Suburban,Yes,47.0,3.868791604053086,College,Manchester,0.5685284777009704,5552.881191972032,Female,102.0,Single
Urban,Yes,48.0,4.663211278685997,College,Manchester,-0.5642372544968643,3735.0889993418077,,75.0,Divorced
Urban,Yes,45.0,6.415326943584984,High School,Manchester,0.46762526820427763,5860.518154941265,Female,79.0,Divorced
Rural,No,54.0,6.308812679343667,Graduate School,Manchester,0.8823574259716045,4433.455179568926,Male,53.0,Married
Suburban,No,41.0,7.205268689707783,High School,New Castle,0.36668604438781016,5114.608267933823,Female,50.0,Divorced
Rural,No,48.0,3.1994832968040967,Graduate School,London,0.03389057156071357,4112.538409943463,Male,56.0,Married
Urban,Yes,48.0,4.124313515983437,College,Manchester,-0.6545326935511308,4357.182703468282,Male,53.0,Divorced
Urban,Yes,49.0,5.13243016179285,Graduate School,New Castle,0.33349185471981424,,Male,104.0,Single
Suburban,Yes,60.0,5.872343771679646,College,London,0.2111912542061093,3510.624465127938,Female,78.0,Single
Urban,Yes,53.0,5.587459619195864,Graduate School,New Castle,-0.018417449081265302,4956.543754656221,Female,36.0,Single
Suburban,Yes,50.0,5.796594442044716,High School,Manchester,-0.37066234659866837,6677.0669373531255,Male,35.0,Married
Urban,Yes,45.0,4.719646682084391,College,London,-0.319063882349511,4372.519228533573,Female,34.0,Single
Rural,No,69.0,5.71571588484509,Graduate School,Manchester,0.745718655840695,4264.574174323974,Female,86.0,Single
Suburban,No,50.0,6.602102462672858,High School,London,-0.39764181003454535,5291.372586415221,Male,78.0,Divorced
Urban,Yes,63.0,5.80843622390855,College,New Castle,0.7922649849113965,5068.8735337045655,Male,64.0,Divorced
Rural,No,43.0,4.5530309178121655,College,Manchester,-0.2221383770089011,6557.4011571221645,Male,66.0,Single
Urban,Yes,43.0,4.965557082105084,High School,London,-0.4882628947516944,4128.141826576569,Male,72.0,Single
Rural,No,53.0,4.946115200496965,High School,New Castle,0.003683155723774423,4264.099805981215,Male,70.0,Divorced
Rural,Yes,44.0,5.952999289195863,College,New Castle,-0.03310295473399538,3117.7572212093796,Male,56.0,Divorced
Rural,No,58.0,6.829230184004663,College,Manchester,-0.3425030665727386,3969.516751373175,Male,70.0,Single
Urban,Yes,51.0,4.792748638918802,College,New Castle,-0.2100378269947103,4651.669030142795,Female,77.0,Divorced
Rural,No,43.0,3.8495399330221933,High School,New Castle,-0.7878125906252451,3993.7873684598885,Male,50.0,Married
Rural,No,51.0,4.743848502137553,College,London,-0.3036054608236052,3391.1810608213195,Female,71.0,Single
Suburban,Yes,41.0,5.315291387930643,High School,,-1.421745109652638,3453.01969278155,Female,33.0,Divorced
Suburban,Yes,50.0,7.36841925303818,College,London,,3495.655813724982,Male,59.0,Single
Urban,Yes,54.0,6.386218459835776,Graduate School,London,-0.08074078780701022,5684.016875670606,,88.0,Divorced
Suburban,Yes,43.0,6.316407498765358,College,London,-0.40727670538282673,6068.413359757875,Male,36.0,Single
Urban,Yes,46.0,5.597586968943312,High School,New Castle,,4598.418020484509,Male,83.0,Divorced
Rural,No,43.0,4.604602709572514,College,New Castle,-0.07021795611776888,4118.050649064497,Male,49.0,Single
Suburban,Yes,49.0,4.452608578624934,College,New Castle,-0.45474618329323613,4842.050992054068,Male,59.0,Single
Urban,Yes,51.0,6.482552099688689,College,New Castle,0.2852072437254165,7780.151563728894,Female,87.0,Single
Suburban,Yes,58.0,6.1610188103135455,High School,London,0.16792549971066517,6106.344892245024,Female,67.0,Married
Urban,Yes,44.0,4.076461666242761,Graduate School,New Castle,-0.5073625646965964,5083.57985957507,Female,88.0,Married
Urban,Yes,49.0,3.043263776844506,High School,Manchester,0.24077721677813468,3934.2270366669727,Female,97.0,Divorced
Urban,Yes,55.0,6.463877452904433,College,New Castle,0.48908661224871564,4871.087619605349,Female,73.0,Divorced
Urban,Yes,49.0,6.136934892129947,Graduate School,New Castle,0.27065632463311784,6110.127178214531,Female,75.0,Single
Suburban,,50.0,7.4287890353459405,Graduate School,London,-0.12894539296955806,3958.4763037588887,Female,52.0,
Rural,No,58.0,5.469832420745317,High School,London,0.4933937935103412,4529.742635529518,Female,65.0,Divorced
Suburban,Yes,55.0,6.2164756435924335,College,New Castle,0.5849530597964362,7737.10563751844,Female,116.0,
Rural,No,45.0,3.930774116156506,College,London,-0.7766009851813696,5950.2001786905585,Male,69.0,Married
Urban,Yes,55.0,4.264209845444609,High School,Manchester,0.40659993844152265,4168.78611950113,Male,65.0,Single
Urban,No,41.0,7.074277353521779,High School,New Castle,0.9301661306160744,5174.337631433738,Female,43.0,Single
Urban,Yes,44.0,7.753399160455645,College,Manchester,0.21832321308744795,5706.247058838977,Female,59.0,Divorced
Rural,No,52.0,5.529079067019602,Graduate School,London,-0.24555447820196338,5361.062715291534,Male,64.0,Married
Suburban,Yes,49.0,4.728251236591315,High School,New Castle,-0.03399928815707354,2950.133483176479,Female,61.0,Single
Suburban,Yes,49.0,6.7072776392638005,College,London,0.3432221183265993,2995.229671848738,Male,85.0,
Rural,Yes,48.0,4.420605975260739,High School,London,-1.2108475694033962,6019.7891391555195,Female,0.0,Single
Rural,No,39.0,5.439329543165938,College,Manchester,0.13205445831025514,5653.549377938778,Female,50.0,Married
Urban,No,38.0,6.061194294685292,Graduate School,London,-0.033145008701315204,3751.944132573839,Male,62.0,Divorced
Urban,Yes,59.0,6.42675681474052,Graduate School,London,0.33528293998880443,4172.475526401671,Male,82.0,Divorced
Urban,Yes,56.0,6.851176416969576,College,,-0.2926402253836258,3384.0653197641923,Male,49.0,Married
Suburban,Yes,56.0,4.7617219960796255,College,London,0.11880558247912171,4365.562713755351,Female,83.0,Divorced
Urban,No,31.0,3.094823443138763,Graduate School,London,-0.38641926053530506,3041.961994280926,Female,64.0,Married
Urban,Yes,47.0,6.238741278609081,Graduate School,Manchester,-0.3068032774058473,5342.787963908265,Female,64.0,Single
Rural,No,45.0,4.413457698371818,College,London,0.21975514911702543,2445.3669575604554,Male,67.0,Married
Urban,Yes,48.0,5.463336833891507,High School,Manchester,-0.37429708672715445,4350.275808690459,Male,75.0,Single
Rural,No,58.0,6.3914193921008,High School,London,-0.5549039350606138,4081.4762838903825,Male,78.0,Divorced
Urban,Yes,57.0,5.723884574179471,College,London,0.4428517550296204,3223.8942056092274,Male,66.0,Single
Suburban,Yes,49.0,3.1910776302955335,Graduate School,New Castle,0.04005198579464658,4092.413327000115,Female,73.0,Divorced
Rural,Yes,51.0,3.915520563109323,College,London,0.06332674441962816,4423.090014401299,Female,58.0,Divorced
Suburban,No,48.0,5.531605255196328,College,Manchester,-0.009846119683553978,4606.620737628078,Female,65.0,Married
Rural,No,68.0,5.155368978837279,Graduate School,London,0.03750444383622187,3924.054606859574,Female,89.0,Married
Rural,Yes,59.0,4.6244930728783356,College,London,0.17246110070543413,3877.2039375619347,Male,11.0,Divorced
Rural,No,54.0,5.557666292758993,College,Manchester,-0.8319138508479821,1974.6540991203515,Female,65.0,Single
Urban,Yes,50.0,5.937852080338038,High School,London,-0.16589967601797276,5036.19326870576,Female,94.0,Divorced
Suburban,No,56.0,6.533462921981236,High School,Manchester,0.45058959583650304,6965.917447313628,Male,63.0,Married
Urban,Yes,40.0,6.7813309603202105,Graduate School,Manchester,-0.2899168966149034,7135.4795642305235,Female,63.0,Single
Urban,Yes,60.0,,High School,London,-0.14210336568151338,5140.804821413462,Male,41.0,Single
Suburban,Yes,51.0,6.3111570860156805,High School,New Castle,-0.10488974367138226,4246.271850253222,Female,53.0,Single
Suburban,Yes,48.0,5.168850894167703,College,New Castle,-0.2578029995782798,2995.531583194385,Male,51.0,Divorced
Suburban,Yes,56.0,4.970983459435272,Graduate School,Manchester,-0.2491086978148353,4734.476485755861,Female,58.0,Divorced
Urban,Yes,49.0,3.872709345111401,Graduate School,Manchester,-0.6060805244412355,3371.493278971009,Female,46.0,Single
Rural,No,38.0,5.7230623450005185,College,London,0.3495761052724041,3480.5493446480496,Male,57.0,Married
Urban,Yes,44.0,5.296550678188508,Graduate School,Manchester,0.11962928202211892,5823.80875313173,Male,79.0,Single
Rural,No,46.0,6.963952495035221,Graduate School,Manchester,0.6709863919394649,3064.495629932127,Male,57.0,Divorced
Rural,Yes,55.0,4.8446475628323356,Graduate School,London,0.3085608936553551,6271.09135410083,Female,54.0,Divorced
Urban,No,44.0,6.052641324593983,Graduate School,London,0.002824033531881265,3026.294220820273,Male,66.0,Married
Rural,No,37.0,5.522699062163917,Graduate School,New Castle,-0.13179249087401584,7516.595719024974,Male,48.0,Divorced
Urban,Yes,58.0,3.6414279158790337,College,London,0.05897413181185768,4520.602641768957,Female,74.0,Single
Suburban,Yes,46.0,4.422313274035098,College,London,0.7536688441104133,3155.081184252423,Male,69.0,Single
Urban,Yes,52.0,4.74150565609089,High School,London,0.6715717631994478,5472.359042632937,Male,43.0,Divorced
Urban,Yes,47.0,4.232587629247382,High School,Manchester,-0.5170399994291016,5602.236588132214,Female,86.0,Single
Rural,No,45.0,1.5387853443213801,College,London,-0.7022080784906242,4560.799284526907,Male,59.0,Married
Rural,No,56.0,6.917317927017907,Graduate School,New Castle,0.6932647377945877,4666.155133621249,Male,67.0,Married
Urban,Yes,33.0,7.539010450941185,College,London,0.061554493191965876,4859.383306007325,Female,86.0,Divorced
,Yes,,6.958773048260659,Graduate School,New Castle,0.1556379793185126,4717.125162057563,Female,41.0,Single
Rural,No,38.0,5.846398518070947,Graduate School,London,-0.8753422187321559,3479.7742629368176,Male,64.0,
Suburban,Yes,46.0,6.268539845185115,High School,London,0.21354555019591226,4307.580967715032,Male,62.0,Divorced
Rural,No,43.0,5.324740921554045,Graduate School,Manchester,0.344050881581883,4767.40232319113,Female,58.0,Married
Rural,No,40.0,5.131022105285244,High School,London,0.1714940300050241,6006.226311029418,Female,63.0,Married
Urban,Yes,42.0,6.6554443473064575,Graduate School,New Castle,-0.4570936577474786,5301.550809967408,Female,55.0,Divorced
Suburban,No,50.0,5.543607372270816,College,New Castle,0.06576593467751707,2636.0907937431475,Male,71.0,Married
Urban,Yes,63.0,5.510655306204627,Graduate School,Manchester,-0.6621373560629478,5279.722866972751,Male,50.0,Single
Rural,No,44.0,6.739795627776371,High School,New Castle,-0.00254626225178628,3889.006025186295,Male,67.0,Married
Rural,Yes,49.0,6.014283328005962,High School,New Castle,-0.2389386879856389,3135.141152229855,Male,91.0,Divorced
Urban,Yes,52.0,5.689933417973027,High School,Manchester,-0.3517939003791815,6414.370679846439,Female,94.0,Divorced
Urban,Yes,35.0,7.32760487206751,Graduate School,Manchester,-0.500249873773637,4518.038567807245,Female,92.0,Divorced
Urban,Yes,46.0,6.440388327438057,High School,Manchester,-0.39753636716809654,4269.681804066382,Male,78.0,Single
Suburban,Yes,54.0,5.601974119475934,Graduate School,Manchester,0.15242709873368493,4142.741185829118,Female,67.0,Married
Urban,Yes,44.0,7.130141121619486,College,Manchester,-0.40474915032583214,2227.4086942334293,Male,64.0,Married
Suburban,Yes,41.0,6.408216412522726,Graduate School,London,-0.04768577836134763,5573.853112969699,Male,79.0,Married
Urban,Yes,54.0,8.432646683290951,,Manchester,0.4361461085097129,5537.986184422419,Male,75.0,Divorced
Urban,Yes,41.0,6.15320214917513,Graduate School,London,0.24545806481880017,7074.965976839783,Female,90.0,Divorced
Suburban,Yes,54.0,6.572434191987956,College,Manchester,0.07197409634769059,4530.378253024041,Male,43.0,Divorced
Urban,Yes,57.0,5.0296750798767675,College,Manchester,-0.004480975186892833,3239.6433916628803,Female,80.0,Married
Urban,Yes,63.0,,College,London,0.39698707740797723,6277.18795756274,Female,59.0,Divorced
Rural,No,51.0,6.086208334876687,College,Manchester,0.2013565988293502,5390.916339826883,Male,70.0,Married
Rural,No,60.0,6.238239911506228,Graduate School,New Castle,-0.34330972184761904,5288.4079086172405,Female,68.0,Married
Suburban,Yes,42.0,5.104285148927348,College,New Castle,-0.6702379101339694,4855.011051448927,Female,72.0,Divorced
Suburban,Yes,41.0,4.899866751895982,High School,London,0.06538660791615741,2581.3719870142586,Male,64.0,Divorced
Rural,Yes,41.0,7.078237171630332,High School,New Castle,-0.45921634727686816,5382.684744763508,Male,78.0,Married
Rural,No,27.0,5.686875196189099,Graduate School,New Castle,-0.054217626738223446,4436.988298545742,Female,61.0,Divorced
Urban,Yes,44.0,5.826577413716675,Graduate School,London,-0.6402789923670855,4971.919183118438,,35.0,Married
Suburban,Yes,49.0,6.120763930314917,High School,New Castle,-0.2664283046257704,5114.629903492278,Male,73.0,Single
Urban,Yes,59.0,6.152466315954351,College,Manchester,0.16214202658754262,3741.8851276778732,Male,97.0,Single
Suburban,No,49.0,4.974174282145689,High School,Manchester,0.5072098091920959,4759.365054389844,Female,70.0,Married
Suburban,No,52.0,6.294458733114166,High School,New Castle,-0.13237934803820212,4352.143730966045,Male,65.0,Divorced
Rural,No,56.0,5.849237052820464,High School,Manchester,,4699.574842670552,Female,55.0,Married
Suburban,Yes,61.0,4.424587311262381,High School,London,-0.31775012370633027,4088.7213105891165,Female,72.0,Single
Urban,Yes,46.0,6.2069653742918405,Graduate School,Manchester,-0.26982423749541856,4553.219679286252,Male,65.0,Single
Suburban,Yes,61.0,5.714340987325294,College,Manchester,0.9549261367521613,4246.972595375272,Male,105.0,Divorced
Urban,Yes,47.0,7.021599805938056,College,London,0.3234830169109818,5470.491510760221,Male,90.0,Single
Rural,No,53.0,5.722997969189354,College,Manchester,0.11444659613709135,3416.8172531974847,Female,62.0,Single
Urban,Yes,56.0,5.456993941919615,High School,New Castle,0.7980001761941045,4006.9287014181064,Male,95.0,Single
Urban,No,40.0,6.3144285359011345,College,New Castle,-0.6177630247413536,3693.747133682819,Male,53.0,Divorced
Urban,Yes,50.0,5.887239014787445,High School,New Castle,0.07055033568975827,4921.096894439384,Female,76.0,Divorced
Suburban,Yes,47.0,4.323288415964386,Graduate School,London,0.23032907087077947,3943.0377159762465,Female,61.0,Single
Suburban,No,56.0,4.729559088686713,College,New Castle,0.15147600648157222,3784.8092492375736,Female,77.0,Single
Rural,No,57.0,,College,Manchester,0.18148785920932559,5421.120031671722,Female,69.0,Married
Suburban,No,56.0,6.032759047898183,Graduate School,New Castle,-0.6308379498493337,4942.395150580135,Male,67.0,Single
Urban,Yes,54.0,7.147391859663769,High School,,-0.11898560557388521,3557.0766128284968,Male,49.0,Single
Suburban,No,44.0,3.5564738964425704,College,London,0.028872588911030173,3900.7125670502332,Male,51.0,Married
Suburban,Yes,45.0,8.11466421465329,High School,New Castle,-0.23165590569933256,5329.688454633611,Male,50.0,Married
Urban,Yes,52.0,5.51281022357995,Graduate School,London,-0.1509778038346389,5764.345593339931,Female,59.0,Single
,Yes,58.0,3.3779990922348477,Graduate School,New Castle,-0.05813858323860993,3802.540886645608,Female,52.0,Single
Suburban,Yes,47.0,5.306892448830955,High School,New Castle,-0.11807311957127031,,Male,54.0,Single
Suburban,No,56.0,5.475793265217707,High School,Manchester,-0.2651342431970423,4788.1450473569685,Female,77.0,Married
Suburban,No,47.0,5.252756666947929,High School,Manchester,-0.48648112421734435,5978.005253507521,Female,60.0,Married
Suburban,No,37.0,6.834240562460682,High School,New Castle,-0.26926339829186813,3850.4855227521152,Male,68.0,Divorced
Urban,Yes,60.0,,High School,London,0.225159401863947,3634.672713397692,Female,68.0,Divorced
Urban,Yes,55.0,4.003917089049722,High School,London,0.2349261586540079,4877.93427819936,Male,81.0,Single
Suburban,Yes,57.0,3.710521328645781,High School,Manchester,0.25676051958738666,5064.050545198166,Male,82.0,Divorced
Suburban,Yes,37.0,5.359824595854304,,London,-0.4286503269964,5899.958028239134,Female,48.0,Divorced
Rural,No,22.0,5.8742429017865225,High School,New Castle,-0.01590289111855886,2706.1701396112157,Female,45.0,Married
