Location Code,Months with Company,Annual Income,Age,Marital Status,City,Sex,Renew,Brand Loyalty,Online Activity,Education Level
Rural,66.0,87523.75029146744,53.0,Married,Khon Kaen,Male,No,0.03181084686799103,7.353401569361232,College
,63.0,45502.45703173215,44.0,Single,Udon,Male,Yes,0.6258005259096577,5.814286502526019,Graduate School
Urban,68.0,38835.56689156976,42.0,Married,Udon,Female,Yes,0.6272335840125576,3.8570777368782445,High School
Urban,61.0,37107.92216060889,47.0,Single,Khon Kaen,Male,Yes,-0.030121037722764837,5.52992332082958,Graduate School
Suburban,93.0,45302.29695012306,51.0,Single,Mahasarakam,Male,No,0.02863300108718507,5.754228896945711,College
Suburban,120.0,53519.33503484971,56.0,Single,Khon Kaen,Male,No,0.058324259672396656,8.405304961460411,High School
Rural,75.0,47208.437468034936,37.0,Married,Khon Kaen,Female,No,0.19532327692514706,4.471335135369507,Graduate School
Suburban,65.0,71512.25115690353,33.0,Married,Udon,,No,-0.5744730228704749,5.931353303086191,Graduate School
Suburban,36.0,52757.7847546826,31.0,Divorced,Udon,Female,Yes,0.40591390464923655,7.198517747379967,College
Suburban,,49979.75109007437,44.0,Divorced,Mahasarakam,Female,Yes,0.08065653008238197,6.943950590010698,College
Urban,46.0,46039.1859884372,64.0,Single,Udon,Female,Yes,0.2642374150548008,5.870861505375514,Graduate School
Suburban,37.0,,34.0,Divorced,Udon,,Yes,1.1012377889791978,6.219505446776271,Graduate School
Urban,31.0,52642.24650189833,61.0,Divorced,Udon,Male,Yes,0.3807983038925716,6.813659487608637,College
Rural,22.0,59966.10980380874,57.0,Divorced,Udon,Female,Yes,0.3564955985215294,7.562978321815452,Graduate School
Urban,54.0,,46.0,Divorced,Udon,Female,Yes,-0.46742601483811563,8.001010415899135,High School
Rural,79.0,64735.51318559511,44.0,Married,Khon Kaen,Male,No,-0.008481398811515703,6.027224937240237,Graduate School
Urban,43.0,49572.81743187789,,Single,Khon Kaen,Female,Yes,0.3552308964596347,6.720057860414772,High School
Rural,68.0,50364.49998338323,39.0,Married,Mahasarakam,Female,No,-0.5888946490857668,6.41649979981576,
Urban,51.0,44368.0177989232,40.0,Single,Mahasarakam,Male,Yes,0.18785385041278035,6.6366704921934625,College
Suburban,90.0,45734.34470552468,55.0,Single,Mahasarakam,Female,No,0.017312893651240113,9.062750882099158,Graduate School
Suburban,73.0,35952.48322085396,48.0,Single,Mahasarakam,Male,No,-0.2819857129148245,5.79138655726338,Graduate School
Suburban,36.0,41527.20663774171,51.0,Divorced,Khon Kaen,Male,Yes,0.6769157503737651,7.231917527334438,High School
Suburban,73.0,,53.0,Divorced,Khon Kaen,Male,Yes,-0.20572900654677134,6.9382794610437335,College
Urban,41.0,47738.8375861268,44.0,Single,Khon Kaen,Male,Yes,0.1998914226944247,7.36113015870234,College
Suburban,81.0,30646.874186202625,34.0,Divorced,Udon,Female,Yes,0.25813056090322606,3.6285404911956753,High School
Suburban,38.0,70953.35806879285,60.0,Single,Mahasarakam,Male,No,-0.0643067958569729,4.447504607052215,College
Suburban,68.0,30907.09420562714,33.0,Married,Khon Kaen,Female,No,0.6377947274224431,4.010781772920298,Graduate School
Rural,94.0,45649.65824799982,51.0,Married,Khon Kaen,Female,No,0.0670404763048457,5.467742836518534,College
Rural,83.0,33660.26622612013,43.0,Married,Udon,Male,No,0.08743375899428037,3.7651261007356314,High School
Urban,57.0,84466.00802283868,44.0,Divorced,Khon Kaen,Female,No,-0.04070836077301239,4.418067388064798,College
Urban,39.0,48692.958102423916,47.0,Single,Mahasarakam,Male,Yes,0.48959011542375563,6.917889824790779,College
Suburban,46.0,37424.25400279091,53.0,Divorced,Udon,Male,Yes,0.25972686057152417,6.3249245237635705,College
Urban,73.0,65423.461435834884,40.0,Married,Udon,Female,No,-0.3105595639550997,4.467350701261122,College
Urban,29.0,62019.81155976185,41.0,Divorced,Udon,Female,Yes,0.729079635493591,6.715201968224186,College
Rural,51.0,61938.44757674934,51.0,Single,Udon,Female,No,0.07262089764718106,4.373613943269969,High School
Suburban,82.0,57182.92184917178,49.0,Single,Khon Kaen,,No,-0.19834969592664992,2.9997919329733773,College
Urban,53.0,37531.86141216705,46.0,Divorced,,,Yes,-0.2924152534224055,6.543109988243511,College
Urban,63.0,31269.953734343948,45.0,Married,Khon Kaen,Male,Yes,-0.13736583010510742,6.905950898226523,High School
Urban,28.0,55436.7979186203,43.0,Divorced,Mahasarakam,Male,Yes,0.7586639856756209,6.557204393704067,College
Suburban,63.0,41976.530862797146,37.0,Single,Khon Kaen,Female,Yes,0.1618452313292088,6.452494966379873,High School
Urban,33.0,52204.81702172668,54.0,Divorced,Mahasarakam,Female,Yes,0.30555491228820175,7.263505776355213,College
Urban,10.0,69410.49601884765,43.0,Divorced,Mahasarakam,Female,Yes,-0.0072252345959472955,9.333109684441508,High School
Rural,29.0,86766.48194026302,32.0,Single,Udon,Male,No,-0.6895902824301153,4.440412700440413,Graduate School
Suburban,77.0,33651.572968598644,45.0,Divorced,Khon Kaen,Male,Yes,-0.3172349922723017,6.157942666919774,High School
Urban,65.0,46080.46870701226,40.0,Single,Khon Kaen,Male,Yes,0.36476329990335166,6.42969494394709,College
Urban,61.0,48495.19888221976,66.0,Married,Khon Kaen,Female,Yes,0.401251228283283,5.655054103696161,Graduate School
Rural,50.0,65979.79762955994,32.0,Married,Udon,Female,No,-0.0985525758683822,3.6297907813061157,Graduate School
Urban,56.0,33674.8685573307,42.0,Divorced,Udon,Male,Yes,0.07548976425224227,6.790774052290478,High School
Rural,98.0,59643.57837507212,45.0,Married,Mahasarakam,Male,No,-0.6514409663699602,6.940915134363165,Graduate School
Rural,113.0,32844.15976879222,49.0,Married,Mahasarakam,Female,No,1.1292931178883887,4.705342302500406,Graduate School
Urban,63.0,33699.67924164866,44.0,Divorced,Khon Kaen,Male,Yes,-0.06950988242484558,,College
Urban,53.0,49213.70849328513,52.0,Single,Khon Kaen,Female,Yes,0.13076013635073727,5.74362618014458,College
Suburban,32.0,51790.17129863571,57.0,Divorced,Udon,Female,Yes,0.8738910927084824,6.189259170025767,High School
Rural,76.0,67544.89129460433,48.0,Divorced,Khon Kaen,Female,No,-0.5229426141788752,5.539666132885054,High School
Urban,39.0,59137.65729936035,39.0,Single,Mahasarakam,Male,Yes,0.5337958333038593,6.929937136608553,College
Rural,59.0,57942.962415341724,49.0,Single,Mahasarakam,Female,Yes,0.46844856153109343,4.396444654305121,Graduate School
Suburban,55.0,64445.51286289563,76.0,Married,Mahasarakam,Male,No,-0.43310851526560995,6.187128131314425,College
Suburban,32.0,51637.46480083091,35.0,Divorced,Udon,Female,Yes,0.44725188556070516,7.101614788574686,Graduate School
Rural,65.0,45476.86828607685,41.0,Single,Mahasarakam,Male,Yes,-0.21407574640671823,6.5830287757761905,Graduate School
Urban,33.0,69385.09313080991,41.0,Divorced,Udon,Male,Yes,0.7963142183007464,7.35285445852697,College
Suburban,59.0,44650.848591817885,33.0,Divorced,Udon,Female,,0.055299112003867106,6.883267557474254,High School
Suburban,70.0,58239.01510210583,49.0,Married,Khon Kaen,Female,No,-0.3480265042382361,4.751717832148257,Graduate School
Suburban,97.0,61190.20064340949,46.0,Divorced,Khon Kaen,Female,No,0.32490550568701315,6.398051606194961,High School
Urban,22.0,52484.74626269353,50.0,Single,Mahasarakam,Male,Yes,0.3204572538062324,7.934192151985886,Graduate School
Rural,54.0,45290.75326767911,53.0,Married,Mahasarakam,Male,No,-0.4708430433557017,3.589945004472095,Graduate School
Suburban,62.0,34582.28177645715,50.0,Single,Mahasarakam,Female,Yes,0.47433868557439435,4.801949958628082,College
Suburban,55.0,45345.917966397785,28.0,Single,Udon,Male,No,-0.1300354452175775,3.557755895264666,High School
Urban,39.0,,56.0,Single,Mahasarakam,Male,Yes,0.7141213385140955,6.1248526786842685,High School
Suburban,77.0,64600.07249368004,45.0,Married,Mahasarakam,Male,No,-0.5236308162937535,5.144138115179256,High School
Urban,60.0,52473.48755639008,36.0,Divorced,Khon Kaen,Male,Yes,0.5743683577174616,4.518734739444541,High School
Suburban,41.0,58259.722617456675,60.0,Married,Mahasarakam,Male,Yes,0.6779844939175317,5.72229336418794,College
Urban,68.0,,51.0,Divorced,Udon,Female,Yes,0.5177935095449411,4.69666192856906,College
Suburban,43.0,45855.41637635979,56.0,Divorced,Udon,Male,Yes,1.0235107331834037,5.262554207873813,College
Urban,52.0,35509.70403014538,42.0,Single,Udon,Male,Yes,-0.26693198140416613,7.288310517690771,Graduate School
Suburban,54.0,58096.505419268855,42.0,Divorced,Mahasarakam,Female,Yes,0.6930635083806168,5.8055841596461155,College
Suburban,47.0,76290.83258879324,58.0,Single,Udon,Female,No,-0.37027703116960803,5.689239198226206,High School
Rural,69.0,46938.06937497982,71.0,Divorced,Udon,Male,No,-0.22238141094233055,5.631492351918888,High School
Urban,43.0,35400.24244220759,,Single,Mahasarakam,Male,Yes,0.674345147573538,6.005530585155945,
Suburban,37.0,51277.26275235303,46.0,Divorced,Mahasarakam,Female,Yes,-0.03350293269323927,8.318957762572351,High School
Rural,25.0,62372.276536025456,36.0,Single,Khon Kaen,Female,Yes,-0.033288291784222504,7.452155015466118,Graduate School
Urban,54.0,35022.2389576166,73.0,Single,Udon,Male,Yes,-0.5367770644864582,8.614650643819754,Graduate School
Urban,86.0,46997.95343805898,43.0,Married,Mahasarakam,Male,No,-0.03734082667605354,3.0544455260424144,
Suburban,35.0,59572.20216940071,52.0,Divorced,Mahasarakam,Female,Yes,0.8982075303341309,6.707019855902134,Graduate School
Suburban,67.0,28403.81283525999,51.0,Divorced,Udon,Female,Yes,-0.20738657347979922,7.078393667704175,High School
Urban,52.0,41052.81173868748,41.0,Single,Mahasarakam,Male,Yes,-0.4264612904695132,8.336525261133314,High School
Urban,36.0,43955.24790209093,43.0,Single,Udon,Male,Yes,0.3858966519850953,7.839533733748824,Graduate School
Suburban,97.0,43907.40033406639,61.0,Married,Udon,Female,No,0.3661367259539564,6.247086729808483,College
Urban,62.0,33224.73607410621,47.0,Divorced,Mahasarakam,Female,Yes,0.08987594877369999,6.234898982783468,Graduate School
Urban,56.0,54928.22594380239,52.0,Single,Khon Kaen,Female,Yes,0.9756309532990829,4.390209183560385,College
Suburban,46.0,36493.364998894875,35.0,Divorced,Mahasarakam,Female,Yes,-0.7079583302369453,8.609991355826859,College
Urban,69.0,33475.3512930447,49.0,Divorced,Udon,Female,,-0.2061603605206606,5.263892860471175,College
Urban,48.0,46277.68422652763,52.0,Divorced,Mahasarakam,Female,Yes,,5.423277287147846,Graduate School
Urban,25.0,55686.26878555733,38.0,Divorced,Mahasarakam,Female,Yes,1.0238802694583753,8.069091829330018,College
Suburban,18.0,57972.763046947184,59.0,Single,Mahasarakam,Female,Yes,0.36286544397248593,8.95007283100091,College
Rural,47.0,74619.86568832416,27.0,Married,Udon,Female,No,0.19718192732227885,4.5028818918352815,Graduate School
Urban,39.0,44943.51196102045,56.0,Divorced,Udon,Female,Yes,-0.08805253261499824,7.698127938700378,College
Urban,55.0,37507.63186052494,47.0,Divorced,Udon,Female,Yes,0.20210001005742473,6.266501773255116,High School
Urban,63.0,36587.83304718226,43.0,Single,Mahasarakam,Male,Yes,-0.13842545604126902,6.5781573508275075,College
Suburban,88.0,,30.0,Single,Udon,Female,No,0.7311242347372457,4.9836414883203615,Graduate School
Urban,81.0,28159.076448738684,34.0,Single,Udon,Female,Yes,-0.08769076743598647,5.632241113457194,College
Suburban,70.0,41652.403778434746,56.0,Divorced,Khon Kaen,Female,Yes,-0.24829822472731922,6.152880663078552,High School
Rural,70.0,57283.68640060184,23.0,Married,Mahasarakam,Male,No,0.07489499276693998,4.235488000932771,High School
Urban,41.0,50848.374191071736,53.0,Married,Mahasarakam,Male,Yes,-0.5468275443197268,7.3507840127254,Graduate School
Suburban,73.0,31208.38395692548,35.0,Divorced,Udon,Female,Yes,-0.36810473846342345,4.676020524241656,Graduate School
Rural,84.0,54867.7511368789,47.0,Married,Mahasarakam,,,-0.7956114209910253,6.514695628536785,Graduate School
Rural,65.0,43377.43399666774,57.0,Divorced,Mahasarakam,Female,Yes,-0.31251354029872225,6.519682000444791,Graduate School
Suburban,50.0,44597.26847174247,37.0,Single,Mahasarakam,Female,Yes,-0.5188133630188223,7.891203945065758,High School
Urban,21.0,68548.17268794597,41.0,Single,Mahasarakam,Male,Yes,0.4876164943837759,6.568182791185749,College
Rural,49.0,45541.80670271971,48.0,Married,Mahasarakam,Male,No,,6.256174262823066,High School
Urban,54.0,53748.85075428861,23.0,Married,Udon,Male,Yes,0.2807363893582021,5.4106449584675165,Graduate School
Rural,84.0,42348.88952604637,30.0,Divorced,Khon Kaen,Male,No,0.42756127007155786,5.451052225577845,High School
Urban,28.0,56193.778915156625,55.0,Divorced,Udon,Male,Yes,0.5388684170107843,7.93918587761148,Graduate School
Urban,55.0,49740.3091808643,25.0,Divorced,Udon,Male,Yes,0.27661316878921016,6.080787443027245,High School
Rural,83.0,61601.23530962169,36.0,Married,Khon Kaen,Male,No,0.04759127080738907,3.1088494086873135,College
Urban,14.0,64308.190303177245,72.0,Single,Mahasarakam,Male,Yes,0.41201396500668497,7.440155574711211,College
Rural,55.0,68272.23009465766,46.0,Single,Mahasarakam,Female,No,-0.6490394770232327,5.8535425633021205,High School
Suburban,68.0,47558.38403909744,49.0,Married,Udon,Male,No,-0.07364686840960157,2.949886853978291,High School
Suburban,34.0,50659.31529692906,52.0,Single,Khon Kaen,Female,Yes,0.6426396942310038,7.69806350738454,College
Rural,66.0,38886.054909056395,31.0,Divorced,Khon Kaen,Female,Yes,0.8464548325563126,4.347052266545378,College
Rural,63.0,75947.616942313,47.0,Married,Mahasarakam,Female,,-0.7677514053949457,6.743361225623728,High School
Rural,77.0,57080.07997495708,51.0,Single,Udon,Female,,0.14608796550018183,6.486465660250973,College
Urban,75.0,35453.72182665906,59.0,Divorced,Udon,Male,Yes,-0.17242700336286684,6.186042589235215,College
Urban,90.0,59707.812864148735,37.0,Single,Mahasarakam,Male,No,-0.12275606474861397,4.687025914357831,High School
Rural,59.0,55629.46467015847,49.0,Single,Mahasarakam,Female,No,0.08454034351229944,8.507602523156367,Graduate School
Rural,102.0,64082.33609127143,56.0,Married,Udon,Male,No,0.4587280081063145,5.823301002940947,High School
Rural,90.0,50039.253954284846,52.0,Divorced,Udon,Male,No,0.3250051479330457,,High School
Urban,63.0,67135.60872781416,57.0,Married,Udon,Female,No,0.18092533133523997,3.5790406990900006,College
Urban,41.0,42895.953762455894,48.0,Married,Mahasarakam,Male,Yes,0.24463120316015818,7.290668582062185,High School
Urban,37.0,73217.91137301194,46.0,Divorced,Khon Kaen,Male,Yes,1.2528200672838299,6.758787133807373,Graduate School
Suburban,28.0,64422.819845152575,38.0,Single,Khon Kaen,Female,Yes,0.8796193049683395,6.84637100473741,College
Urban,65.0,38745.55453065444,36.0,Single,Udon,Female,Yes,-0.23716045844878136,5.219013474633318,Graduate School
,98.0,44035.51525149762,44.0,Divorced,Udon,Female,No,-0.8411143765116491,7.5923705540476,College
Urban,49.0,47935.88142958691,45.0,Divorced,Udon,Male,Yes,,6.565739881534385,College
Rural,89.0,55787.610434267444,54.0,Single,Mahasarakam,Male,No,-0.4255271567684603,5.7340890206571995,Graduate School
Suburban,,62044.24191838509,44.0,Divorced,Khon Kaen,Male,No,-0.3970167312384483,6.151130277933984,Graduate School
Urban,40.0,58621.38906165692,48.0,Divorced,Mahasarakam,Female,Yes,0.49442216085304275,6.854747950646267,High School
Urban,23.0,49081.34808643202,49.0,Divorced,,Male,Yes,0.6627343313885531,6.898838474264463,High School
Urban,38.0,52583.242874096475,71.0,Divorced,Khon Kaen,Male,Yes,-0.1284161822582901,7.251728775446053,Graduate School
Urban,49.0,55248.10175372071,58.0,Divorced,Mahasarakam,Female,Yes,0.623439367530873,5.578757256391586,College
Urban,57.0,34490.176270470096,44.0,Divorced,Khon Kaen,Male,Yes,-0.7973866690566183,8.91625137452909,College
Rural,57.0,69363.23758352656,48.0,Married,Udon,Male,No,0.13166354868458752,3.997466151511831,Graduate School
Rural,,44376.77767699787,61.0,Single,Khon Kaen,Female,No,0.014673871191935563,4.550658427298629,College
Suburban,73.0,73771.79784166088,48.0,Married,Udon,Female,No,-0.2376070697331925,5.436722410202276,College
Urban,76.0,35646.48257488143,38.0,Married,Udon,Female,Yes,0.468293974091111,4.780510561099998,College
Urban,59.0,50799.027710027665,45.0,Divorced,Khon Kaen,Female,Yes,0.1817290187632517,7.231695706214694,College
Urban,27.0,52314.78433500325,44.0,Divorced,Udon,Female,Yes,1.113144380225242,5.934063091202965,College
Rural,75.0,45590.75085369173,49.0,Single,Khon Kaen,Male,No,0.01884931827339891,4.660159409065605,High School
Urban,39.0,52731.27091235302,37.0,Single,Khon Kaen,Female,Yes,0.2979205767284563,7.538086955057037,High School
Rural,67.0,74024.94413364222,52.0,Married,Udon,Male,No,-0.5012345097220773,6.243976148245621,College
Urban,51.0,38691.52211971612,29.0,Married,Khon Kaen,Female,Yes,0.19439946608743247,7.661926273776665,Graduate School
Urban,38.0,50849.959030068756,36.0,Single,Udon,Male,Yes,0.28111088745211477,7.712116870081186,High School
Rural,65.0,46955.77422580095,35.0,Single,Mahasarakam,Male,No,-0.7393906760119032,6.013338169489352,High School
Suburban,95.0,18899.48020328788,50.0,Divorced,Khon Kaen,Female,Yes,,4.9582211763184665,Graduate School
Suburban,63.0,39428.011535135374,57.0,Divorced,Udon,Male,Yes,-0.6266377814296016,7.116605362403081,College
Urban,100.0,35969.08090029714,33.0,Married,Khon Kaen,Female,No,0.2168568100205137,6.217360428269171,Graduate School
Rural,71.0,48258.37152314982,27.0,Single,Udon,Female,No,0.11648007053528536,3.199145043491917,Graduate School
Rural,78.0,,43.0,Married,Udon,Female,No,-0.24381329518319872,6.2822357898804,College
Urban,27.0,55156.443474323794,,Married,Udon,Female,Yes,0.24055094467497729,7.35773513058993,College
Suburban,61.0,52341.86615561061,42.0,Married,Mahasarakam,Female,No,-0.07860251207792618,5.865791687453605,College
Rural,64.0,46986.375886728885,52.0,Married,Mahasarakam,Female,No,-0.09562410723730114,7.133413611499396,High School
Urban,56.0,49284.30879597011,53.0,Single,Khon Kaen,Female,Yes,0.07779923426523293,5.477159500526268,High School
Urban,33.0,51886.15516351204,62.0,Divorced,Udon,Male,Yes,0.8139491270744874,6.140534469130787,College
Rural,59.0,51162.08659842087,45.0,Married,Udon,Male,No,-0.7331296197057692,4.162776466676692,Graduate School
Urban,74.0,36332.446731679534,41.0,Divorced,Udon,Female,Yes,-0.14377543355386013,5.5628122678019265,College
Urban,48.0,54903.388756322216,44.0,Married,Udon,Female,Yes,0.5668403523765967,5.426135626018619,College
Urban,40.0,47906.61248481791,38.0,,Khon Kaen,Female,Yes,-0.10655194810700025,6.93611262045955,Graduate School
Rural,45.0,47278.39466203933,39.0,Divorced,Udon,Female,Yes,0.4053678538450651,7.012373832425007,College
Suburban,45.0,45874.293401996125,45.0,Single,Khon Kaen,Female,Yes,-0.8514776319217063,8.36772827886866,High School
Suburban,19.0,56012.125416186755,47.0,Divorced,Udon,Male,Yes,0.9127781060163785,7.1671060025249655,Graduate School
Urban,63.0,35826.396288101714,37.0,Married,Udon,Female,Yes,0.246001467629104,5.516572735868798,Graduate School
Urban,55.0,41496.71986917908,33.0,Divorced,Udon,Female,Yes,0.30196150227095275,6.336867969554786,Graduate School
Suburban,45.0,69950.28918830294,44.0,Married,Mahasarakam,Male,No,0.05799867098451067,3.6442303128031432,High School
Suburban,51.0,,54.0,Divorced,Khon Kaen,Female,Yes,-0.04939335329026512,6.203730945464902,High School
Urban,55.0,44198.514664738395,31.0,Divorced,Mahasarakam,Female,Yes,0.17061940014373372,5.861663175587613,College
Rural,80.0,53955.443168751575,29.0,Divorced,Udon,Female,No,-0.7687311505503466,6.77361362893351,High School
Urban,45.0,45498.672223889924,39.0,Single,Udon,Female,Yes,-0.24661576265454643,7.5926078035300115,Graduate School
Suburban,56.0,67438.576843652,34.0,Divorced,Udon,Female,No,-0.9791687749421527,6.161535753467856,High School
Rural,70.0,63708.99796882216,57.0,Married,Mahasarakam,Male,No,-0.10445930055585087,5.582056077416301,High School
Rural,47.0,52581.025894091734,51.0,Married,Udon,Female,Yes,0.03752435779444617,7.3532954934619426,High School
Suburban,43.0,33840.85358330622,47.0,Divorced,Mahasarakam,Female,Yes,0.9775180962164487,6.698936465527197,Graduate School
Urban,45.0,48490.9901436454,43.0,Single,Mahasarakam,Female,Yes,0.5323069496205854,6.505567870018314,College
Rural,72.0,51324.91129388004,,Divorced,Udon,Female,No,-0.5353152939753667,6.455842587856286,College
Rural,39.0,61397.144159887015,52.0,Single,Khon Kaen,Female,Yes,0.09798085095790891,7.8506514160204475,High School
Urban,40.0,67380.57373961079,31.0,Divorced,Khon Kaen,Female,Yes,0.027149749728873882,7.970695771003846,Graduate School
Rural,46.0,75603.92280665264,46.0,Divorced,Udon,Male,No,0.005025558892653201,4.8437446430580975,Graduate School
Suburban,62.0,77969.11867668365,39.0,Married,Khon Kaen,Female,,0.10053827987013278,7.524854763243656,College
Suburban,64.0,62350.65969769747,48.0,Married,Udon,Female,No,0.29900044535902076,3.2674361219377692,College
Urban,34.0,49777.57745612911,30.0,Divorced,Khon Kaen,Male,Yes,0.4980610143067638,7.165044989313036,Graduate School
Suburban,66.0,77800.94905270294,56.0,Married,Khon Kaen,Female,No,0.15583317144902964,5.538133480289992,Graduate School
Suburban,91.0,61441.24172260983,45.0,Married,Udon,Female,No,-0.5933782485956395,6.573488867774747,College
Rural,56.0,36149.82588543432,47.0,Married,Udon,Male,No,0.3021681546967732,3.6213958030146345,High School
Rural,91.0,38183.01192946345,23.0,Single,Khon Kaen,Female,No,0.3443674656954539,7.457035919509575,High School
Rural,50.0,75452.96018184439,37.0,Married,Mahasarakam,Male,No,0.6063410595677435,4.296473571819222,Graduate School
Urban,62.0,32820.37999492299,43.0,Married,Udon,Female,Yes,0.33942578319003575,5.1764047441627685,Graduate School
Urban,45.0,57711.746751151906,48.0,Single,Mahasarakam,Male,Yes,-0.06599632012912407,5.681380231854943,High School
Urban,38.0,55771.91512083553,47.0,Single,Mahasarakam,Male,Yes,0.792221355656134,6.729922744928393,Graduate School
Rural,84.0,41361.405682409124,57.0,Married,Udon,Female,No,-0.8078513339429853,3.3167708993059626,High School
Urban,80.0,63365.295788613694,35.0,Married,Udon,Male,No,0.412846518646651,4.345605047663058,College
Urban,67.0,29962.292554830758,40.0,Divorced,Udon,Male,Yes,-0.31512361871205197,,College
Urban,53.0,59185.35250855279,45.0,Divorced,Udon,Male,Yes,0.24759926258746465,6.35381099628444,College
Rural,63.0,66042.27930689382,42.0,Single,Udon,Female,No,-0.39600135100270956,5.813318829028094,College
Rural,91.0,59230.78563546846,50.0,Married,Udon,Female,No,-0.29207762636276785,6.045776836776258,High School
Suburban,65.0,44683.899456826715,33.0,Divorced,Udon,Male,Yes,-0.824541597435126,6.583418771554726,College
Suburban,24.0,66353.86482420501,45.0,Divorced,Khon Kaen,Male,Yes,0.6541763087823056,7.6263810227862825,College
Urban,61.0,72048.5723560912,75.0,Single,Mahasarakam,Female,No,0.13253555811377937,4.609456984465323,High School
Suburban,67.0,34562.9982561633,46.0,Single,Khon Kaen,Male,No,0.07814264139275513,4.456348856958548,College
Rural,73.0,48506.43799724329,49.0,Married,Mahasarakam,Female,No,0.6300959868054661,2.217552338583783,High School
Suburban,85.0,50619.19786970598,42.0,Married,Khon Kaen,Female,No,-0.2868319602834534,5.641181371396657,Graduate School
Urban,61.0,49535.84184189705,55.0,Single,Khon Kaen,Male,,0.36081569565205407,5.7181509081262805,Graduate School
Urban,31.0,39975.52554096251,42.0,Single,Udon,Female,Yes,-0.37959860497715386,8.777749468901344,High School
Rural,75.0,55487.66577312826,50.0,Single,Udon,Male,No,0.18646742862045357,3.6046640311378346,College
Rural,77.0,61997.511626639985,49.0,Divorced,Udon,Female,No,-0.423368324401306,4.652460621346385,High School
Urban,55.0,46297.53782006357,47.0,Divorced,Mahasarakam,Male,Yes,0.6041747358436714,5.427095738397445,College
Urban,48.0,52238.30027921172,65.0,Divorced,Khon Kaen,Male,,0.5539095184929818,6.686276182958388,Graduate School
Rural,53.0,69880.97333392192,51.0,Married,Khon Kaen,Female,No,-0.6054366466798826,6.168757983497199,High School
Suburban,42.0,56137.0691921401,42.0,Divorced,Mahasarakam,Female,Yes,0.4195465838475909,6.7863342397172355,College
Suburban,59.0,72688.27996980128,22.0,Married,Mahasarakam,Male,No,0.1491067639064615,4.837553256458051,College
Urban,53.0,37906.03266207977,40.0,Divorced,Mahasarakam,Male,Yes,-0.15706727883682697,6.366213165272266,High School
Rural,83.0,65075.305264656476,34.0,Single,Khon Kaen,Male,No,0.1562701715662488,5.42346806157025,College
Urban,38.0,62906.078960435014,48.0,Single,,Male,Yes,0.32770377736780715,7.81843841606308,Graduate School
Urban,48.0,51149.421411031224,39.0,Divorced,Khon Kaen,Female,Yes,0.39886544195447876,,
Urban,42.0,58237.89936610621,44.0,Single,Khon Kaen,Male,Yes,0.15960327436666127,6.75941351378661,High School
Rural,72.0,52116.054855904564,32.0,Divorced,Udon,Female,No,-0.06303658988122951,3.9242688979056433,Graduate School
Urban,41.0,38591.91549105099,60.0,Divorced,Khon Kaen,Female,Yes,0.43594016290128323,7.18611826842583,High School
Suburban,31.0,63594.22642655752,49.0,Divorced,Udon,Female,Yes,1.0725174886046744,6.046832704352079,College
Rural,62.0,45687.729795153165,41.0,Married,Udon,Female,No,0.43073167309134036,3.9322633709593044,High School
Suburban,43.0,,42.0,Single,Khon Kaen,Female,Yes,-0.06841863251156285,7.176347409591307,Graduate School
Urban,61.0,41232.16263858744,39.0,Single,Mahasarakam,Female,Yes,0.8631445189536128,6.256132217028224,College
Urban,40.0,50506.73030754928,53.0,Single,Mahasarakam,Male,Yes,0.21352129127122507,6.664211543713958,College
Urban,42.0,58914.862961668594,20.0,Single,Mahasarakam,Female,Yes,0.21357962815125156,8.133728852748526,High School
Suburban,19.0,54763.315156243065,30.0,Single,Khon Kaen,Female,Yes,0.8364944088285946,8.612517442603343,Graduate School
Suburban,22.0,52995.73659923266,26.0,Divorced,Khon Kaen,Male,Yes,0.11591611410496286,9.437468914319684,College
Urban,56.0,39296.17561698526,46.0,Married,Mahasarakam,Female,Yes,-0.8740614573929486,8.233709198927958,High School
Urban,71.0,37196.44007718643,33.0,Divorced,Mahasarakam,Male,Yes,0.37604757417410467,4.0109000482405435,High School
Suburban,75.0,28367.44574743551,31.0,Divorced,Udon,Female,Yes,-0.31850176637874167,5.439376895768893,College
Suburban,56.0,31606.496837810228,35.0,Single,Udon,Male,Yes,-0.011383510640255307,5.371702370324494,High School
Urban,17.0,77836.0938774609,50.0,Single,Udon,Female,Yes,1.226449034992545,7.7046192526443225,High School
Suburban,82.0,53776.42808384992,27.0,Single,Khon Kaen,Female,No,0.684846940554389,5.510600915364732,Graduate School
Urban,62.0,56924.96159091978,34.0,Divorced,Udon,Female,Yes,0.29587224071697604,6.182370256348261,College
Rural,53.0,62290.90823709486,55.0,Divorced,Mahasarakam,Male,No,-1.1195522825666226,4.572629513128557,High School
,54.0,39724.9150166007,43.0,Divorced,Khon Kaen,Male,Yes,-0.06455005710429405,7.857393171634825,College
Rural,59.0,40496.40431099596,43.0,Divorced,Udon,Female,Yes,-0.023457647450527447,7.571360471615188,College
Urban,60.0,38880.062099249284,44.0,Single,Mahasarakam,Female,Yes,0.4499318269806992,5.338136985425356,High School
Urban,49.0,,63.0,Divorced,Khon Kaen,,Yes,-0.16670414377000167,6.810102902084015,Graduate School
Urban,48.0,49530.498185022196,47.0,Divorced,Mahasarakam,Female,Yes,-0.06734663774613127,7.7984335342556985,High School
