Location Code,Annual Income,Years after high school graduation,Marital Status,Sex,Renew,Brand Loyalty,Hours Online,Years subscribed,City,Education Level
Urban,33599.6375547586,24.0,Married,Female,Yes,0.2169802389435605,4.882694380236811,3.0,Mahasarakam,High School
Urban,57563.71462101472,11.0,Divorced,Female,Yes,0.0645365584337442,7.19467000224959,5.0,Khon Kaen,High School
Urban,81312.84120397104,39.0,Married,,No,0.09887965030276341,2.6727394826994066,5.0,Khon Kaen,College
Rural,57549.29113524752,34.0,Married,Female,No,-0.3185895839194509,5.87744469419796,2.0,Mahasarakam,High School
Urban,37287.84318379639,35.0,Divorced,Male,Yes,0.09843540768698328,4.788078598707172,3.0,Mahasarakam,
Suburban,53147.7936951732,37.0,Divorced,Female,Yes,-0.36056276000970794,7.181310247381721,3.0,Udon,High School
Rural,60683.24044112057,36.0,Married,Male,No,0.2275635058295727,6.359704774339384,6.0,Khon Kaen,College
Urban,70771.36229536615,19.0,Single,Male,,-0.33183323467117,7.336436482741597,4.0,Mahasarakam,Graduate School
Suburban,62399.877402686965,38.0,Single,Male,No,-0.12437164949107737,4.6857185229230485,4.0,Mahasarakam,High School
Urban,62779.95696757505,31.0,Single,Female,Yes,-0.7975570509520614,7.862014395451206,4.0,Udon,College
Urban,51021.32858167725,43.0,Divorced,Female,Yes,-0.06852767656064937,7.1281098475943665,3.0,Udon,High School
,,33.0,Divorced,Female,Yes,0.22792557125712448,5.711509284685845,4.0,Udon,High School
Urban,36528.850130948806,37.0,Single,Female,Yes,0.2202862349811484,4.6926850652604575,2.0,Khon Kaen,Graduate School
Suburban,51676.47184160625,32.0,Divorced,,Yes,-0.008177761858150334,6.495121537799868,3.0,Khon Kaen,College
Suburban,75387.2135675551,28.0,Single,Female,Yes,-0.6988916419893125,8.569638801951099,5.0,Mahasarakam,Graduate School
Urban,59915.46106452892,19.0,Divorced,Male,Yes,-0.2655289405561044,6.01474466520095,3.0,Khon Kaen,Graduate School
Urban,46722.35565029507,42.0,Married,Female,Yes,0.03666822059236069,4.505325183564811,2.0,Mahasarakam,College
Rural,57160.11903774693,35.0,Single,Female,No,-0.19963609494218926,4.5917270852026295,6.0,Udon,College
Urban,52593.000636645396,44.0,Married,Female,Yes,-0.2895354397042867,6.1910057642357685,4.0,Mahasarakam,High School
Rural,59987.34121833317,21.0,,Female,No,-0.08625169198183277,4.242689692283885,6.0,Khon Kaen,Graduate School
Urban,44813.26064721939,44.0,Divorced,Female,Yes,0.4214496015888989,4.619698710072098,3.0,Khon Kaen,College
Rural,69183.89082376825,32.0,Single,Male,No,0.009406448038251192,2.5567035748719427,2.0,Mahasarakam,Graduate School
Rural,53116.69463573758,39.0,Married,Female,No,0.35818378823176533,,3.0,Mahasarakam,Graduate School
Suburban,69047.99919410092,33.0,Married,Male,Yes,-1.1962440514312283,7.947086280771997,4.0,Khon Kaen,High School
Rural,75267.36999400254,37.0,,Female,Yes,-0.3813347754668938,7.311936210833005,5.0,Khon Kaen,College
Urban,43344.04318758604,27.0,Single,Male,Yes,-0.21589353767366434,7.0733573082356305,4.0,Mahasarakam,High School
Urban,34793.63437311841,34.0,Married,Female,Yes,0.004190550510035085,4.956140285089921,3.0,Mahasarakam,High School
Rural,53380.91755288714,34.0,Divorced,,Yes,0.011212964022658783,,3.0,Mahasarakam,College
Suburban,23538.33998591489,37.0,Single,Male,Yes,0.782201183905986,4.373287374344323,1.0,Mahasarakam,College
Suburban,43014.66128209905,22.0,Married,Female,Yes,0.13766852932468832,6.774152597385919,4.0,Udon,High School
Rural,71382.50862556908,36.0,Single,Male,No,0.6308343161887151,2.6300566404670622,0.0,Khon Kaen,Graduate School
Rural,60628.45269038641,17.0,Divorced,Male,No,-0.15576687865104116,5.315705207789311,1.0,Mahasarakam,High School
Urban,37353.35124745954,44.0,Single,Male,Yes,-0.13007156230129074,6.349756356964732,2.0,Mahasarakam,Graduate School
Suburban,58387.03312711358,44.0,Divorced,Female,No,0.9369403829698859,3.1239407705003304,5.0,Mahasarakam,High School
Urban,36559.205571731836,29.0,Single,Female,Yes,0.5772875036640518,4.249267106154152,1.0,Mahasarakam,College
Urban,51516.42321915866,35.0,Single,Male,Yes,-0.2656375830735429,6.021970767709547,4.0,Udon,Graduate School
Urban,30773.330482579095,31.0,Divorced,Female,Yes,0.16379549436980828,,2.0,Khon Kaen,College
Suburban,57713.29038996455,37.0,Divorced,Male,Yes,0.3790996580354792,6.490535600784596,3.0,Udon,College
Urban,40750.623984969854,33.0,Divorced,Female,Yes,-0.32459446390667784,5.7056990714871265,3.0,Mahasarakam,High School
Suburban,58945.89878025136,42.0,Married,Female,,-0.010730967458852214,5.564846302331631,4.0,Khon Kaen,High School
Urban,45131.367236453436,,Divorced,Female,Yes,-0.8580939055344311,6.658580898525486,3.0,Mahasarakam,College
Suburban,38162.523433516115,47.0,Single,Female,Yes,-0.30445372805352405,,2.0,Khon Kaen,Graduate School
Suburban,58140.97372467285,35.0,,Male,Yes,-0.8870596592332992,6.725032592729377,4.0,Udon,Graduate School
Suburban,57914.11906819286,40.0,Divorced,Male,No,-0.18232401394112402,3.4607535304155297,7.0,Khon Kaen,High School
Urban,45540.12892673255,36.0,Single,Male,Yes,0.2746965947782067,4.697240793742924,2.0,Udon,Graduate School
Rural,36741.20476710232,28.0,Divorced,Male,No,-0.47113768214700846,4.431159643419859,5.0,Udon,College
Rural,,26.0,Divorced,Female,Yes,0.4226643057084105,3.631302649123116,2.0,Khon Kaen,High School
Suburban,56612.80385797073,29.0,Married,Male,No,-0.3490956482661996,4.906090647559913,5.0,Mahasarakam,Graduate School
Urban,30965.774704568717,38.0,Married,Female,Yes,0.8924821565754366,3.205689197800703,2.0,Khon Kaen,College
Urban,41417.14709422501,38.0,Divorced,Male,Yes,0.38775796556672226,5.1423531077611395,3.0,Udon,College
Suburban,52545.57636185374,33.0,Divorced,Female,No,-0.20364560689067562,6.16243034328806,2.0,Khon Kaen,Graduate School
Rural,53763.36287866291,37.0,Single,Male,No,-0.8226637207076345,4.171655211744378,8.0,Khon Kaen,Graduate School
,59289.97673059277,48.0,Divorced,Male,No,0.013019667251578992,2.394014467931704,7.0,Khon Kaen,Graduate School
,47724.458418345086,43.0,Married,Male,Yes,0.33699779384207673,5.306565294437847,3.0,Udon,Graduate School
Urban,44495.94448914481,32.0,Divorced,Male,Yes,-0.07035201281950887,6.093317735649856,3.0,Mahasarakam,High School
Rural,52293.56385666578,29.0,Single,Male,No,0.3285957407036165,3.677948443815301,5.0,Khon Kaen,Graduate School
Urban,60102.67642446027,29.0,,Male,Yes,-0.08034946306794757,6.241061448950812,5.0,Udon,High School
Rural,36852.1490515373,27.0,Married,Male,No,-0.43865102018092533,7.594777047591556,3.0,Khon Kaen,Graduate School
Urban,31928.68928867723,39.0,Divorced,Male,Yes,-0.12250048448947698,5.027001070908266,2.0,Udon,Graduate School
Suburban,60238.63278191693,39.0,Married,Female,Yes,-0.5940757652464586,7.74036364464887,5.0,Udon,Graduate School
Rural,24835.331619620283,31.0,Divorced,Male,Yes,0.4759409897961657,4.231618114263295,2.0,Khon Kaen,High School
Urban,59878.27783616613,,Divorced,Female,Yes,-0.5655531757489016,7.868048988182908,5.0,Mahasarakam,Graduate School
Suburban,56984.926136859074,42.0,Married,Male,No,-0.2890391685315013,5.081646189781203,5.0,Mahasarakam,College
Rural,84003.44927444009,25.0,Single,Female,No,1.0056842200939782,2.812655538420049,4.0,Udon,College
Urban,52729.14029311191,43.0,Single,Male,Yes,0.2658226186593865,5.286168763523256,1.0,Khon Kaen,
Rural,63229.71474885304,33.0,Married,Female,No,0.49900367386324196,2.475732869434641,4.0,Mahasarakam,Graduate School
Urban,54520.720793668654,30.0,Married,Female,Yes,-0.09910469229425335,5.880734395542669,4.0,Udon,High School
Urban,54062.540605117276,56.0,Divorced,Female,Yes,-0.33278036321947874,6.264101064561106,3.0,Khon Kaen,High School
Urban,51346.652076500926,35.0,Married,Female,Yes,-0.05633703316900128,,5.0,Mahasarakam,High School
Suburban,38752.26018485544,44.0,Married,Male,Yes,-0.13582448876723477,6.095269533464419,2.0,Mahasarakam,Graduate School
Urban,48304.0069156146,,Single,Female,Yes,-0.06865137372454942,6.285830845767151,3.0,Mahasarakam,High School
Urban,43413.375265397255,13.0,Divorced,Female,Yes,0.23412278233317357,5.142019081492315,3.0,Mahasarakam,High School
Rural,60530.65877485167,22.0,Divorced,Male,No,-0.4878683170768358,4.2661249434897,3.0,Udon,High School
Rural,31799.832395205132,36.0,Single,Female,Yes,0.7170332250402321,5.062057496751554,2.0,Udon,High School
Rural,33524.40312822004,23.0,Divorced,Male,Yes,0.5078009715049595,4.304057370439947,3.0,Mahasarakam,College
,22753.082989934584,31.0,Married,Male,No,0.03817524275581899,6.738497891315489,3.0,Udon,High School
Urban,39781.44826313704,30.0,Married,Female,Yes,0.06580174307431164,7.114082543738448,3.0,Khon Kaen,High School
Urban,25008.16326175478,40.0,Single,Male,Yes,0.8472218289673499,3.9049227458876388,2.0,Udon,College
Urban,34798.6474890599,46.0,Divorced,Male,Yes,0.4179086140203374,5.166327602591148,2.0,Udon,Graduate School
Rural,34024.18144796639,38.0,Single,Male,Yes,-0.04893183817014407,5.480482811534053,2.0,Udon,College
Urban,43595.074734359376,29.0,Divorced,Female,Yes,0.35524215231194944,5.468163071881499,4.0,Mahasarakam,Graduate School
Suburban,58143.15350853344,29.0,Divorced,Female,No,-0.6978912453275946,5.256686887887889,5.0,Mahasarakam,College
Urban,41733.180103700994,36.0,Single,Female,Yes,-0.5376082839252914,6.481754991233846,4.0,Khon Kaen,Graduate School
Suburban,59079.00580336898,32.0,Married,Male,No,0.7784009207491797,2.4926773091973806,3.0,Khon Kaen,Graduate School
Suburban,32985.801541139284,36.0,Married,Female,No,0.13329082915988794,5.481736832817608,5.0,Udon,High School
Urban,38883.04209817976,29.0,Divorced,Female,Yes,0.14782445759370133,5.731078322729645,4.0,Khon Kaen,College
Urban,65785.93942196338,21.0,Divorced,Female,Yes,-0.4778300804274645,7.736903619474004,6.0,Khon Kaen,High School
Suburban,61297.84581020379,44.0,Divorced,Male,No,-0.6017420218444551,6.718296393734257,6.0,Mahasarakam,Graduate School
Suburban,15000.0,33.0,Divorced,Male,Yes,1.1067272902827434,,1.0,Udon,High School
Suburban,62290.206804044356,32.0,Single,Female,Yes,-0.48596981851995585,6.869623429088513,3.0,Udon,High School
Rural,70520.63608231072,41.0,Married,Female,No,0.38012656347641915,,4.0,Khon Kaen,Graduate School
Urban,56360.255113410836,8.0,Married,Male,No,-0.07958151457471592,6.827002343730942,4.0,Mahasarakam,College
Suburban,50451.45966570356,29.0,,Male,Yes,-0.47598708282350777,5.419914478242593,4.0,Udon,College
,43036.45554893606,47.0,Divorced,Male,Yes,-0.037982973120499086,6.696022274146904,4.0,Mahasarakam,High School
Urban,55079.25688933375,36.0,Divorced,Female,Yes,-0.6400406872676903,6.7918427257207705,4.0,Mahasarakam,Graduate School
Rural,40837.45568958233,28.0,Married,Female,No,0.011377645710669515,,6.0,Mahasarakam,High School
Urban,55089.0304014067,27.0,Married,Male,No,0.030546890252897863,4.675520007548216,7.0,Mahasarakam,Graduate School
Rural,54959.375200490715,26.0,Divorced,Female,No,0.10363696722660548,7.143896335068034,4.0,Mahasarakam,Graduate School
Urban,53361.48152046203,34.0,Single,Female,No,0.3997593813778221,4.507828425206304,3.0,Mahasarakam,Graduate School
Suburban,58072.9001257174,43.0,Divorced,Female,Yes,,7.268866162569271,4.0,Mahasarakam,High School
Urban,35957.061916560946,36.0,Single,Female,Yes,-0.5004175777707567,5.509059836066008,2.0,Mahasarakam,Graduate School
Suburban,35184.88456753278,36.0,Divorced,Female,Yes,-0.01020337349310979,4.18088636275724,3.0,Udon,College
Urban,46026.377361618914,52.0,Divorced,Male,Yes,-0.43950923785378276,6.229559584656819,2.0,Khon Kaen,College
Suburban,68133.4545904535,41.0,Single,Female,No,-0.4700656472039089,3.9553753199112784,7.0,Udon,Graduate School
Suburban,41508.93333193181,19.0,Divorced,Female,No,0.0627045977891913,5.43707159893672,4.0,Khon Kaen,College
Suburban,40271.780263382025,52.0,Divorced,Male,Yes,0.1868884151883885,5.576084631127545,1.0,Khon Kaen,Graduate School
Rural,62263.35706824241,36.0,Single,Female,No,0.9089424713214276,2.4340417234668323,6.0,Mahasarakam,College
Rural,61268.546808807725,31.0,Married,Female,No,0.0470966586373438,5.221903171767122,5.0,Mahasarakam,High School
Rural,32733.407676228668,27.0,Divorced,Female,Yes,0.9341405155876319,,3.0,Mahasarakam,Graduate School
Rural,54222.07024138288,35.0,Single,Male,No,0.7615689972776057,3.7630659666595037,5.0,Udon,Graduate School
Rural,62567.203198256764,35.0,Married,Female,No,0.35683577714918735,4.648883076641852,4.0,Khon Kaen,
Rural,66687.8144935717,22.0,Divorced,Male,No,0.7340148137734621,4.740027912681315,4.0,Mahasarakam,Graduate School
Rural,75628.0922470044,27.0,Married,Male,No,-0.6106607476250995,3.879729590212453,9.0,Udon,High School
Urban,41059.702707459146,29.0,Married,Female,Yes,-0.5660366619274638,5.6592547636249115,3.0,Mahasarakam,High School
Urban,28125.0947361433,34.0,Divorced,Male,Yes,0.10837917821454884,3.9901542329529063,2.0,Khon Kaen,Graduate School
Rural,60444.32154971088,27.0,Single,Male,No,-0.4793923728674226,5.243982985210404,,Mahasarakam,Graduate School
Urban,48792.693869831935,25.0,Divorced,Male,Yes,-0.8770921387782704,6.835687125761277,3.0,,College
Rural,78438.51669613682,37.0,Married,Male,No,0.2984650852438597,5.5703908172018854,6.0,Udon,High School
Urban,44453.38686109266,37.0,Single,Female,Yes,0.33452140458599866,4.853050714954882,1.0,Mahasarakam,Graduate School
Suburban,59650.129953263386,13.0,Divorced,Female,Yes,-0.7337990737076306,6.966707876099907,5.0,Mahasarakam,High School
Rural,64759.082682428685,29.0,Married,Female,No,-0.12550211891559412,5.307134580807095,2.0,Mahasarakam,Graduate School
Urban,41783.52481194511,40.0,Married,Male,Yes,0.1914103983043352,5.666694226042932,1.0,Mahasarakam,High School
Rural,80879.04853247764,30.0,Single,Female,No,0.03246560054164213,4.941127164515537,5.0,Mahasarakam,Graduate School
Rural,61958.94056288549,18.0,Married,Female,No,0.28033900156161445,3.370027569045521,3.0,Mahasarakam,College
Urban,40664.84144045343,29.0,Divorced,Male,Yes,0.9380430829857969,5.605134226642233,4.0,Udon,College
Urban,62064.0744382541,34.0,Divorced,Male,Yes,-0.7949130863443314,7.990188722022351,5.0,Udon,College
Urban,39761.206991035244,22.0,Divorced,Female,Yes,-0.383922393959929,5.822925895602028,2.0,Udon,High School
Urban,30068.870422017782,23.0,Single,Female,Yes,0.3800566357480807,4.357471567611722,2.0,Mahasarakam,Graduate School
,58292.05633217151,29.0,Married,Female,No,-0.07875508128562042,4.718697905395304,2.0,Mahasarakam,College
Rural,32622.14361192813,19.0,Married,Male,No,-0.3615314596895497,4.396388922134508,5.0,Khon Kaen,College
Rural,54160.14693343866,24.0,Married,Male,No,-0.2234261140604306,5.790359697903267,5.0,Mahasarakam,High School
Suburban,54126.22221800062,16.0,Married,Female,No,-0.1257057871114851,4.19766345613269,5.0,Khon Kaen,High School
Rural,100000.0,24.0,Married,Male,No,-0.08190099142113973,3.4551206517473174,5.0,Mahasarakam,Graduate School
Suburban,76176.17905282538,19.0,Divorced,Female,No,0.9246760197067452,3.577074622758116,3.0,Udon,High School
Suburban,42209.09032424169,36.0,Single,Female,Yes,0.10020189263528256,6.27234999559753,3.0,Khon Kaen,Graduate School
Urban,20567.55844962416,33.0,Married,Female,Yes,0.1016661469817613,3.939766500991153,1.0,Mahasarakam,College
Rural,70846.56164375719,26.0,Divorced,Female,No,0.20851722364755454,7.116916795165821,4.0,Khon Kaen,Graduate School
Rural,79550.64254662271,,Married,Female,No,0.6271384757982242,4.327184983399344,3.0,Mahasarakam,Graduate School
Rural,37804.209874567714,43.0,Single,Male,Yes,0.08305896720391154,5.469141892534184,3.0,Mahasarakam,High School
Suburban,60143.5542534885,42.0,Married,Male,No,0.24259818056875926,4.283342013317349,4.0,Udon,College
Urban,54676.2587394749,37.0,Divorced,Male,Yes,-0.15220279996055008,8.14987071726408,4.0,Mahasarakam,High School
Rural,56916.56136623716,18.0,Married,Male,No,0.5021907822274156,5.457625695250097,3.0,Udon,College
Urban,65594.01408747274,22.0,Single,Male,Yes,-0.5539147672479421,7.699954672376612,5.0,Udon,Graduate School
Suburban,58478.84086518333,43.0,Divorced,Male,Yes,-0.9725201670006208,7.558730935759796,4.0,Khon Kaen,Graduate School
Urban,48825.08127090114,27.0,Divorced,Female,Yes,-0.06144372102339521,7.176525275353223,,Udon,Graduate School
Urban,42632.69930645281,39.0,Divorced,Female,Yes,0.765668409628877,5.5455357123115245,3.0,Mahasarakam,Graduate School
Urban,34057.58341862927,29.0,Divorced,Male,Yes,-0.012736990594232778,5.794630121809192,2.0,Mahasarakam,College
Rural,32762.138864183074,34.0,Single,Female,Yes,-0.003286380953686441,4.520808832283042,3.0,Mahasarakam,College
Rural,53621.57667728282,33.0,Married,Male,No,0.26099000377161274,3.7351774649293548,4.0,Mahasarakam,Graduate School
Rural,42324.22940606175,19.0,Married,Male,No,0.07988629253959761,5.070838355773107,4.0,Khon Kaen,Graduate School
Rural,58705.70757614761,28.0,Married,Female,No,0.49465206163656283,2.6695668611348315,4.0,Udon,College
Urban,53830.12406522526,37.0,Married,Female,No,0.10954101473030536,3.729960976342712,3.0,Udon,College
Suburban,44811.26949440647,31.0,Single,Male,No,-0.5570392804482014,4.619990831726713,6.0,,High School
Urban,44038.96926241102,41.0,Divorced,Male,Yes,0.06204994649481724,4.983520810481971,2.0,Udon,Graduate School
Rural,59685.35488120849,29.0,Married,Female,No,-0.06645778088323144,5.017411436292909,2.0,Mahasarakam,Graduate School
Suburban,44767.80117050891,38.0,Single,Male,Yes,0.3171457085888822,6.317031878727797,3.0,Mahasarakam,High School
Suburban,50839.01062559928,33.0,Divorced,Male,Yes,-0.24158733147459543,6.449541777700057,4.0,Udon,Graduate School
Suburban,32165.153431521954,46.0,Single,Female,Yes,0.08271203790659193,4.13715898599429,2.0,Mahasarakam,Graduate School
Urban,41176.99432289719,22.0,Divorced,Female,Yes,-0.07873626325206665,,3.0,Khon Kaen,Graduate School
Rural,65584.39834102799,36.0,Married,Male,No,0.48157684864337513,2.397164654574372,3.0,Khon Kaen,High School
Suburban,71291.93269084784,36.0,Single,Male,Yes,-1.4852951845618376,8.285979048525146,5.0,Udon,College
Suburban,57187.174446392484,32.0,Divorced,Male,Yes,-0.374593479704741,7.229018932276897,3.0,Khon Kaen,College
Urban,50242.28744349576,40.0,Divorced,Female,Yes,-0.8900631992979364,6.121574004534876,4.0,Udon,College
Urban,45900.1727346129,30.0,Single,Female,Yes,0.03808479084236177,5.454049643038053,4.0,Udon,High School
Urban,44735.623597879836,34.0,Divorced,Male,Yes,-0.4407163608059187,6.539872689810886,4.0,Khon Kaen,College
Suburban,66409.35404322864,37.0,Divorced,Female,No,-0.0908108332272317,4.2231683452757665,6.0,Khon Kaen,Graduate School
Suburban,60559.79256692642,,Single,Male,No,-0.046180484887013096,4.407231538899134,5.0,Mahasarakam,College
Suburban,44161.82019999087,43.0,Divorced,Male,Yes,-0.061805314084239726,5.4671117171261585,3.0,Mahasarakam,College
Suburban,55808.23657846185,15.0,Divorced,Male,Yes,-0.32967328997632056,6.753795269241063,3.0,Udon,High School
Suburban,65092.134024206905,34.0,Divorced,Female,No,0.17539800727944044,3.188736637270946,5.0,Udon,High School
Urban,58002.388288193004,24.0,Divorced,Female,No,0.7119621255996764,4.320918360016089,3.0,Mahasarakam,College
Rural,61235.39846112361,39.0,Married,Male,No,0.019671938521853782,6.295111953708755,5.0,Khon Kaen,College
Urban,38342.77881221623,33.0,Divorced,Female,Yes,0.003202088114336421,5.247104211944863,3.0,,Graduate School
Rural,54077.14730216381,32.0,Married,Female,No,0.1592222933655879,3.9961526059467163,3.0,Khon Kaen,High School
Urban,50787.013359169476,50.0,Divorced,Female,Yes,-0.21439518997774165,7.0998899782048515,4.0,Mahasarakam,High School
Suburban,56526.577747535375,34.0,Divorced,Male,No,-0.9598982759767872,6.208816857786161,5.0,Khon Kaen,College
Rural,52290.24997269776,24.0,Single,Female,No,0.06686750072605466,3.6700908469809135,6.0,Mahasarakam,
Rural,28868.26879194715,20.0,Divorced,Female,Yes,0.4170793913571307,6.309565663305072,3.0,Mahasarakam,High School
Urban,30689.71011539183,27.0,Single,Female,Yes,0.5722201510450762,3.403932572659342,1.0,Udon,Graduate School
Urban,29327.11220095935,22.0,Married,Male,Yes,0.11348693318311542,5.099661424081823,2.0,Khon Kaen,Graduate School
Rural,46372.387844251934,26.0,Married,Female,No,-0.05470363530901283,2.8000564663388428,5.0,Khon Kaen,High School
Urban,37798.29539112103,45.0,Married,Female,Yes,0.31268558239726413,4.044772134010828,3.0,Mahasarakam,Graduate School
Suburban,43614.51920728742,,Married,Female,No,0.6517207760174646,4.221009802054954,3.0,Udon,Graduate School
Rural,37109.47101051229,22.0,Married,Female,Yes,0.7290162596685409,5.233109217050283,3.0,Khon Kaen,College
Suburban,62164.52887343439,39.0,Married,Female,No,0.671863450710565,4.331306377029499,5.0,Udon,College
Suburban,60945.19145419751,26.0,Single,Male,Yes,-0.9086193747640678,6.838027025506726,3.0,Mahasarakam,High School
Urban,38718.36549035197,26.0,Divorced,Female,Yes,0.5880501760523554,6.067997401590395,3.0,Udon,College
Urban,47294.568334426775,43.0,Divorced,Female,No,0.24603633485974502,4.433892764996133,1.0,Khon Kaen,College
Urban,53520.1836905963,34.0,Divorced,Female,Yes,-0.5848860303946857,8.04162336344044,3.0,Mahasarakam,Graduate School
Rural,40376.65760098421,12.0,Single,Female,,-0.08595820658663289,7.1801793696114675,4.0,Udon,College
Suburban,47504.138851712836,25.0,Married,Female,No,-0.1345180627908052,5.386524799517977,5.0,Udon,College
Suburban,46519.19837034601,41.0,Single,Male,No,-0.8324549842355122,4.6578585276248,4.0,Khon Kaen,Graduate School
Suburban,40436.37987054512,46.0,Single,,Yes,0.021819835471363236,4.714353597023812,1.0,Udon,College
Suburban,55989.218364915745,38.0,Divorced,Female,No,-0.040320470185023466,4.337541160272551,4.0,Udon,
Urban,,21.0,Divorced,Male,No,0.47705538100161404,3.479094527479378,4.0,Mahasarakam,Graduate School
Suburban,53707.95170595395,30.0,Divorced,Male,Yes,-0.6940382631924308,6.46146072081901,3.0,Khon Kaen,Graduate School
Urban,52010.57166986486,45.0,Single,Female,Yes,-0.1806087976924183,6.771222827702684,4.0,Mahasarakam,College
,64949.268135638624,35.0,Single,Male,Yes,-0.2878575140001691,7.162303603830036,5.0,Mahasarakam,Graduate School
Rural,50085.95148681188,46.0,Married,Male,No,0.19188656909407437,3.6738437847962877,3.0,Udon,College
Urban,34858.93634598162,25.0,Divorced,,Yes,0.6311266526187721,5.476669665062454,4.0,Khon Kaen,Graduate School
Suburban,74878.37977503912,34.0,Divorced,Female,No,1.3902864466904334,2.6896021592914408,3.0,Mahasarakam,High School
Suburban,46374.86711223783,31.0,Divorced,Male,Yes,0.8483755256181149,5.43028187714604,3.0,Udon,College
Urban,42710.12007579151,27.0,Divorced,Female,Yes,0.4254061194213382,5.13023668806232,3.0,Udon,Graduate School
Urban,44354.751863723606,36.0,Married,Male,No,-0.25034225184283376,5.515606438153312,6.0,Mahasarakam,College
Rural,45138.80925992935,27.0,Divorced,Female,No,-0.1629190288663052,4.666801177575647,4.0,Khon Kaen,Graduate School
,30585.399282735387,27.0,Single,Male,Yes,0.2433118790736612,4.223960754716364,2.0,Khon Kaen,High School
Urban,33350.03107123683,48.0,Divorced,Male,Yes,0.3489705662251613,4.497792297757679,3.0,Udon,College
Urban,35538.67421041363,13.0,Married,Male,Yes,-0.16403565326224454,5.319180653423487,2.0,Udon,College
Suburban,40746.61408629044,33.0,Married,Female,No,0.11140084809127954,4.935493807397636,5.0,Udon,College
Suburban,38298.491472889575,39.0,Single,Male,Yes,0.0015574015850454426,6.65857099953741,4.0,Khon Kaen,High School
Urban,48821.65177328828,32.0,Single,Female,Yes,-0.17033220421293366,7.866714563020146,4.0,Khon Kaen,High School
Suburban,35728.96211781452,33.0,Divorced,Female,Yes,0.20921949072539103,6.052704030325906,3.0,Mahasarakam,High School
Suburban,58081.40086419572,42.0,Married,Male,No,0.3756604001752655,4.370391915525515,3.0,Mahasarakam,Graduate School
Suburban,68532.99947364442,19.0,Married,Male,No,0.09613770990165516,4.220510689947231,6.0,Udon,High School
Urban,45207.34951978965,33.0,Divorced,Female,Yes,0.36116095928392267,6.8276192116110295,4.0,Mahasarakam,College
Rural,74796.09192300476,31.0,Married,Female,No,-0.9137038753749135,6.962807776616307,4.0,Mahasarakam,High School
Urban,52650.504475996546,27.0,Divorced,Male,No,0.1218125608777808,3.7331839313006787,6.0,Mahasarakam,High School
Urban,55806.3921234243,16.0,Divorced,Female,Yes,-0.5847902891034337,6.905729281790974,3.0,Udon,Graduate School
Rural,81899.51778578653,40.0,Married,Female,No,0.5826953739945339,1.2194648846551157,3.0,Khon Kaen,College
Rural,52526.84958556069,26.0,Married,Male,No,-0.5219748129875059,3.8584644938968977,5.0,Udon,College
Rural,71437.09303986846,29.0,Married,Female,No,0.1650426957564915,3.6768108958204078,5.0,Khon Kaen,High School
Rural,66956.1502040876,16.0,Divorced,Female,No,-0.7580623746938916,5.131987814651887,2.0,Mahasarakam,High School
Suburban,33729.340415636165,31.0,Divorced,Male,Yes,0.7512742079997792,4.048805361319945,2.0,Mahasarakam,College
Rural,39693.45626460415,33.0,Married,Female,No,-0.3611268126202741,5.653903583844811,5.0,Udon,College
Rural,51827.48228045752,36.0,Divorced,Male,No,-0.08156720329471052,5.733123183029787,7.0,Udon,High School
Urban,44474.99035786584,52.0,Divorced,Female,Yes,-0.36556448636192596,5.185255435031367,2.0,Udon,High School
Rural,68316.03330553634,45.0,Married,Male,No,1.0982004490651402,3.012691790630118,3.0,Khon Kaen,College
Urban,39156.21895462463,30.0,Single,Female,Yes,0.15819192693173567,5.531622417971992,3.0,Khon Kaen,College
Suburban,53443.98241502215,32.0,Married,Male,No,-0.10707678182007516,4.671537882332298,4.0,Khon Kaen,High School
Urban,36879.890155056324,34.0,Divorced,Female,Yes,0.24668120354581885,5.665786662980425,2.0,Khon Kaen,High School
Urban,30782.028746934437,23.0,Married,Female,Yes,0.029317246877717945,4.689803226166066,2.0,Udon,High School
Rural,29126.62299861328,35.0,Married,Male,No,-0.29823495505381525,5.214010686964553,4.0,Udon,College
Urban,36189.110485719575,27.0,Married,Female,No,-0.4294082991069219,6.688247423116479,3.0,Udon,College
Urban,32021.499064476826,32.0,Divorced,Female,Yes,1.0569362486601863,4.119456681246458,3.0,Khon Kaen,College
Suburban,25358.019350981656,33.0,Single,Male,Yes,0.821454448651203,2.885887732606382,2.0,Mahasarakam,Graduate School
Suburban,32982.2039444602,32.0,Single,Male,Yes,-0.03973047823524886,4.119203683413982,2.0,Mahasarakam,High School
Rural,57235.92483088857,39.0,Married,Female,No,-0.24536637956514168,4.501633258531926,6.0,Khon Kaen,
Urban,25944.14836035255,24.0,Divorced,Male,Yes,0.1949857369263383,4.495248260758233,1.0,Khon Kaen,Graduate School
Urban,40166.6161470448,30.0,Divorced,Male,Yes,0.42133902654569744,5.453526062838991,4.0,Khon Kaen,High School
Urban,37699.526332662375,41.0,Divorced,Female,Yes,0.7133639483313406,4.11693535077513,3.0,Udon,Graduate School
Suburban,63142.215832695045,27.0,Single,Male,No,-0.20663044600590397,5.772910614442184,5.0,Mahasarakam,Graduate School
Urban,38885.83507517356,50.0,Single,Female,Yes,-0.05517918086793347,6.653273480605664,4.0,Khon Kaen,Graduate School
