Education Level,Years after high school graduation,Hours Online,Monthly Income,Gender,Marital Status,Location Code,City,Years subscribed,Brand Loyalty,Renew
College,23.0,4.360745360422946,3567.6530932936475,M,Married,Suburban,Khon Kaen,4.0,-0.21177578682078063,No
College,23.0,5.348101221723787,3565.640282384916,M,Married,Rural,Khon Kaen,5.0,-0.5187001100614972,No
College,45.0,4.790010850737918,5377.102205912447,M,Single,Rural,Mahasarakam,1.0,0.17127919892892535,Yes
College,38.0,5.143652095003763,2527.5818578326966,M,Married,Suburban,Udon,5.0,-0.3416007744989,No
Graduate School,24.0,5.528990110961321,3344.047916097762,F,Single,Urban,Udon,4.0,-0.41222742793987494,No
High School,33.0,5.711390631380467,4561.988598668529,F,Single,Suburban,Khon Kaen,4.0,-0.05016298664497538,Yes
Graduate School,21.0,7.047843948286252,4500.194198693063,M,Single,Urban,Mahasarakam,5.0,-0.274496373806082,Yes
College,43.0,3.9102908040157045,3588.4057334458266,F,Divorced,Urban,Udon,1.0,-0.08412271618496903,Yes
College,39.0,5.0454344476789466,5273.008276132066,M,Married,Suburban,Mahasarakam,2.0,-0.1651339721832128,Yes
High School,43.0,6.604587982662321,3393.691645296147,M,Married,Suburban,Mahasarakam,3.0,0.34706783789268214,Yes
College,21.0,6.958833734852445,4117.1428699693715,,Divorced,Urban,Khon Kaen,5.0,0.11438507980585316,Yes
Graduate School,25.0,6.471690660458619,5982.953483819205,M,Divorced,Urban,Udon,3.0,-0.7541154075834386,Yes
,37.0,5.541971432731351,5127.558795804595,M,Single,Suburban,Mahasarakam,3.0,0.40761357304644497,Yes
High School,30.0,6.232008794367836,6744.49195040978,F,Married,Urban,Mahasarakam,3.0,-1.2422248622155763,Yes
High School,26.0,6.666697711801987,4045.3489881489877,M,Divorced,Urban,Mahasarakam,5.0,0.21097332570156144,Yes
College,41.0,4.9323172168869265,4635.80709860542,M,Married,Suburban,Mahasarakam,1.0,-0.18849305051189913,Yes
Graduate School,24.0,4.666035044141631,2876.602463462156,M,Divorced,Suburban,Mahasarakam,5.0,0.5872863374217552,Yes
Graduate School,35.0,4.925250170968081,2794.447921409609,F,Single,Urban,Mahasarakam,5.0,0.8524593215455505,Yes
College,39.0,5.129039688183732,5812.231457555559,M,Divorced,Rural,Khon Kaen,8.0,-0.5085536856279931,No
High School,29.0,6.603132958257873,4247.722726094778,M,Divorced,Urban,Udon,5.0,0.48232030991079233,Yes
Graduate School,36.0,5.310786253681742,6524.010865927463,M,Divorced,Urban,Mahasarakam,1.0,-0.7317109775658674,Yes
College,,5.82434370625455,3217.75192311785,M,Single,Urban,Khon Kaen,4.0,0.2664006281138037,
Graduate School,52.0,5.056870288695501,4400.5928006451695,F,Single,Urban,Mahasarakam,,0.38624240228425094,Yes
Graduate School,17.0,6.767127083746214,3928.9027629569755,F,Married,,Mahasarakam,5.0,0.057464530906230285,Yes
Graduate School,34.0,6.830386521802986,3401.4186120798513,M,Married,Suburban,Mahasarakam,7.0,0.03310925409392183,No
Graduate School,29.0,6.8251959413004695,2980.98905742397,F,Married,Urban,Khon Kaen,6.0,0.8941086546552401,Yes
High School,27.0,5.64722438554478,5332.750045270156,M,Divorced,,Mahasarakam,4.0,-0.09684786181381773,Yes
College,41.0,5.117143509181075,4184.4630584859615,F,Single,Rural,Udon,7.0,-0.08052066126257885,No
College,43.0,4.088285345081581,3148.893292466805,M,Married,Urban,Mahasarakam,3.0,0.6195360259214793,Yes
High School,27.0,6.144237304211457,3610.7054821922657,F,Single,Urban,Udon,,0.013017306639969466,Yes
High School,23.0,6.055189702162383,5634.0518578809815,F,Divorced,Suburban,Khon Kaen,4.0,-0.6348765669565974,Yes
Graduate School,32.0,5.864574405307582,5572.759665781091,F,,Urban,Khon Kaen,3.0,0.03365792810169613,Yes
Graduate School,32.0,6.7231452608785345,3575.4268178349075,M,Divorced,Urban,Mahasarakam,4.0,0.2678329556576053,Yes
Graduate School,36.0,5.414775382633847,5252.296691285012,M,Married,,Mahasarakam,5.0,-0.42704257302934795,No
Graduate School,32.0,7.091024125268982,5249.025533806044,M,Divorced,Suburban,Mahasarakam,5.0,-0.49447968675132387,No
High School,35.0,3.9991012404577293,2503.363094847982,M,Divorced,Suburban,Khon Kaen,3.0,0.6572330653541598,Yes
Graduate School,31.0,6.0767619844735234,4278.380221795541,M,Married,Urban,Khon Kaen,3.0,0.3005388579947141,Yes
Graduate School,26.0,,3860.3095403297707,F,Single,Rural,Udon,5.0,-0.7775404107311115,No
College,32.0,7.889239448507113,4360.21156762594,M,Single,Suburban,Mahasarakam,4.0,0.2759536235628814,Yes
High School,18.0,,3959.803533162563,M,Married,Rural,Khon Kaen,6.0,-0.004108678131270936,No
Graduate School,39.0,4.799571697642984,2930.831047037662,F,Divorced,Urban,,3.0,1.0184154077243401,Yes
College,20.0,6.388444287271305,3506.704241571716,M,Single,Suburban,Mahasarakam,3.0,0.44105151362385675,No
Graduate School,32.0,5.787341088693259,5930.6162158153165,M,Single,Suburban,Khon Kaen,4.0,-0.31643004006287556,Yes
High School,31.0,5.985111920805637,4710.111112710656,F,Divorced,Urban,Khon Kaen,4.0,0.12275623107594458,Yes
Graduate School,23.0,5.522351993655339,3659.4867624700496,M,,Urban,Udon,5.0,0.41058135279906877,Yes
Graduate School,24.0,6.609089399340687,4709.300982717051,M,Divorced,Suburban,Udon,5.0,0.00092158764263639,Yes
High School,35.0,5.871914381854409,4222.227749788398,F,Single,Urban,Khon Kaen,4.0,0.3452825541167039,Yes
High School,42.0,5.312749006953114,4922.826834171485,F,Single,Rural,Udon,2.0,-0.06404062840168362,
College,47.0,7.162859313067604,4717.888631723602,F,Married,Suburban,Mahasarakam,5.0,-0.49485887218143315,
High School,29.0,5.375641787622775,3442.5457487578415,F,Divorced,Urban,Udon,5.0,0.7840107365980047,Yes
College,25.0,3.404128061225821,3078.9916132690646,F,Married,Suburban,Khon Kaen,6.0,-0.7402526456130589,No
High School,19.0,5.112762954321169,2477.699981605475,F,,Rural,Mahasarakam,3.0,0.4554440399519801,No
College,27.0,5.5256842082065525,2590.4558955180855,F,Divorced,Urban,Khon Kaen,6.0,0.9361869291301759,
High School,31.0,5.757125128655674,4831.917507503675,M,Divorced,Rural,Khon Kaen,4.0,-0.3574676229457174,No
High School,31.0,4.816553663103411,4254.782488700208,M,Married,Rural,Khon Kaen,,-0.7429494160851436,No
High School,,5.985307590451594,5232.307763616675,F,Married,Urban,Udon,2.0,-0.12453098826280615,Yes
College,36.0,4.94744464107002,4438.833667874307,F,Married,Suburban,Khon Kaen,5.0,-0.6730871183158437,No
High School,29.0,5.031143382370159,3166.9803144183406,F,Divorced,Urban,Khon Kaen,4.0,0.3527795909356737,Yes
College,35.0,6.558870519171987,4830.9662729362235,F,Single,Suburban,Khon Kaen,3.0,0.07449106087795782,Yes
High School,24.0,5.509375651502545,4360.570364873369,M,Divorced,Urban,Mahasarakam,4.0,0.019241176555205762,Yes
College,30.0,5.011841694714167,4649.690756122773,F,Divorced,Urban,Mahasarakam,5.0,0.07362367016439837,Yes
Graduate School,36.0,4.700990852539933,3823.5702721700377,M,Married,Urban,Mahasarakam,3.0,0.5722450809459163,Yes
College,24.0,7.258432935708215,5597.425891746096,F,Divorced,Suburban,Udon,5.0,-0.15404273120114442,
High School,25.0,7.893291684893379,4546.5115914986345,F,Divorced,Rural,Udon,4.0,-0.18235457319357737,No
College,26.0,6.428818480696304,3281.7627342933483,F,Divorced,Urban,Khon Kaen,5.0,0.5527100495585409,Yes
High School,42.0,7.078289560950142,4742.785405841135,M,Married,Rural,Udon,6.0,-0.5292649057450086,No
High School,49.0,5.284160702030208,4268.3386675361535,M,Married,Urban,Mahasarakam,2.0,0.3271034131381777,
Graduate School,40.0,4.455419048311141,4532.704425791318,M,Divorced,Suburban,Udon,7.0,0.2374661260662445,No
College,43.0,4.4536857635261775,5163.596192300812,F,Married,Suburban,Mahasarakam,5.0,-0.48423234106401974,No
High School,43.0,7.7509395176222835,4975.107097240998,M,Married,Suburban,Khon Kaen,5.0,-0.7386697752722975,No
College,30.0,7.727525519661008,4330.25941157024,M,Married,Urban,Khon Kaen,6.0,0.29069617473680126,Yes
High School,25.0,5.732134312030922,4386.505760573709,F,Single,Urban,Udon,4.0,-0.02979522562927378,Yes
Graduate School,32.0,3.8035260142811467,4409.504573387178,M,Divorced,Suburban,Khon Kaen,4.0,0.22857480478552755,No
Graduate School,34.0,6.394531649468843,,F,Single,Suburban,Khon Kaen,4.0,-0.03552230915431671,Yes
College,34.0,5.039704878299839,4696.545854671353,F,Divorced,Urban,Udon,4.0,-0.11648145360654988,Yes
Graduate School,42.0,4.848415906583491,5453.457268004766,F,Divorced,Urban,Khon Kaen,2.0,0.06335706664240008,Yes
College,28.0,5.737853559107532,5072.168698267638,F,Married,Suburban,Khon Kaen,,-0.6336610857557751,No
Graduate School,28.0,7.943989043950998,4692.565193787146,M,Single,Urban,Mahasarakam,6.0,0.3612685904719164,Yes
High School,25.0,7.681374835321409,5254.704369827161,M,Divorced,Urban,Udon,4.0,-0.5115529967286001,Yes
High School,52.0,5.173425495473898,5270.974736021151,M,Divorced,Rural,Khon Kaen,6.0,-0.463965079573136,No
College,30.0,4.942660535704161,4228.296177249415,F,Divorced,Urban,Udon,5.0,0.6083065721942796,Yes
College,32.0,6.319674872153763,3691.454226426774,F,Single,,Khon Kaen,7.0,-0.8181311543933919,No
Graduate School,32.0,6.066697083829951,4002.8342499060427,M,Married,Rural,Mahasarakam,7.0,0.030278684059199354,No
Graduate School,34.0,7.2476216529665285,5330.694313614935,F,Married,Rural,Khon Kaen,5.0,-0.2000861257741963,No
Graduate School,26.0,6.979951085084066,4408.821040056023,M,Married,Urban,Mahasarakam,5.0,0.20261857835989186,Yes
High School,33.0,5.479155481418381,5275.83025240576,F,Divorced,Suburban,Khon Kaen,2.0,-0.6005248898375972,Yes
High School,,6.234349097243074,3609.7685092348024,F,Single,Urban,Udon,6.0,0.8818515284596398,Yes
High School,13.0,5.25285966251217,4386.727792554981,M,Single,Urban,Mahasarakam,5.0,-0.3481263465912839,Yes
College,19.0,,,F,Single,Suburban,Mahasarakam,6.0,0.7150711800768302,Yes
College,42.0,4.472276381932058,3120.1166265047223,F,Single,Rural,Mahasarakam,2.0,0.7017410502192826,Yes
Graduate School,45.0,4.0516511839103195,4905.8956069222095,M,Single,Suburban,Khon Kaen,2.0,0.08211673214475596,Yes
Graduate School,46.0,5.241948705537511,3990.1792513058194,F,Divorced,Urban,Mahasarakam,3.0,0.513757343421286,Yes
College,41.0,4.637355421452018,4300.678525299039,M,Married,Urban,Mahasarakam,3.0,0.03349454908208219,Yes
College,22.0,7.058685094862236,4062.3128476032784,F,Divorced,Rural,Khon Kaen,4.0,-0.01436401534796836,Yes
College,41.0,5.902280833545941,3665.7356014884763,F,Divorced,Rural,Khon Kaen,5.0,-0.7184013414151634,No
High School,50.0,4.930121832607139,3970.739583775468,F,Divorced,Rural,Khon Kaen,6.0,-0.3980558140455239,No
College,31.0,5.51240008990369,4552.908460014379,F,Divorced,Urban,Mahasarakam,4.0,0.20108139815137227,Yes
Graduate School,45.0,3.7476356117123726,3460.5098510671965,M,,Suburban,Mahasarakam,2.0,0.4147579067421741,Yes
College,23.0,4.178984391183228,3796.360428864686,F,Married,Suburban,Khon Kaen,4.0,-0.0550033810427714,No
High School,25.0,4.694288717551299,4286.0224145692555,F,Single,Urban,Mahasarakam,4.0,-0.3149550399778624,Yes
College,22.0,7.098280962300214,4693.216856431272,M,Single,Urban,Mahasarakam,5.0,-0.14431188535944478,Yes
High School,28.0,4.080248841837194,1938.955326157614,F,Divorced,Suburban,Udon,5.0,,Yes
High School,38.0,4.610217084079042,3934.450709533681,M,Single,Rural,Udon,5.0,-0.7167878583867118,No
College,38.0,3.4830007855932417,3346.9016413866093,M,Single,Urban,Khon Kaen,3.0,0.47491831697765263,Yes
College,35.0,5.598259295050948,5462.547382755969,M,Married,Rural,Khon Kaen,6.0,-0.33400450642677415,No
Graduate School,18.0,6.449621109047251,4324.952414637634,M,Divorced,Urban,Khon Kaen,5.0,-0.1819483404324186,Yes
Graduate School,24.0,6.3837354691674015,4925.33235137617,F,Divorced,Rural,Khon Kaen,5.0,-0.16369975829855993,Yes
Graduate School,16.0,5.3921961740964495,2806.0088647901384,F,Married,Suburban,Mahasarakam,3.0,-0.304494851420323,No
High School,29.0,6.62470067428608,4124.018934677303,F,Married,Suburban,Khon Kaen,5.0,0.2012954438550757,Yes
High School,40.0,5.1263449537078225,4159.37223833788,M,Divorced,Suburban,Udon,3.0,0.7041036817253374,Yes
Graduate School,24.0,6.696603810099209,6329.136380176688,F,Single,Urban,Khon Kaen,4.0,-0.6968818259956953,Yes
High School,25.0,6.030747595177149,3489.820464894692,M,Single,Urban,Mahasarakam,5.0,0.4406082172221274,Yes
College,30.0,6.9528699471610045,5191.753887926681,M,Divorced,Urban,Khon Kaen,3.0,-0.32799691926053104,Yes
College,50.0,5.833479200773494,3187.4468038517202,M,Single,Rural,Mahasarakam,2.0,0.5392534210328662,Yes
Graduate School,46.0,,3313.1665697557664,F,Divorced,Rural,Khon Kaen,2.0,0.25747679255826084,Yes
Graduate School,22.0,6.587311296547017,5804.002696797925,F,Divorced,Suburban,Khon Kaen,5.0,0.18341848426264853,No
High School,19.0,7.441124197359185,4834.513403081224,F,Divorced,Suburban,Khon Kaen,5.0,-0.15967466013066675,Yes
Graduate School,30.0,6.348178247142922,3385.757271892623,F,Single,Suburban,Khon Kaen,3.0,-0.0208221005342491,No
High School,37.0,4.593441366066681,2221.452790630694,F,Married,Rural,Udon,4.0,0.02597887466578118,No
Graduate School,27.0,5.1169322371872346,3965.150812546246,F,Divorced,Suburban,Khon Kaen,7.0,-0.36220046488902513,No
High School,26.0,7.248999430135123,5103.536254115956,M,Married,Suburban,Khon Kaen,3.0,-0.2615331704164833,Yes
College,37.0,4.573521614405226,2273.7970538799455,F,Divorced,Urban,,4.0,0.8020758888746549,Yes
College,37.0,7.191701232793516,4769.185680534745,M,Divorced,Urban,Mahasarakam,4.0,0.07234184362568889,Yes
Graduate School,24.0,5.505406115719444,5946.767777489178,F,Single,Suburban,Udon,6.0,-0.3566606022930349,No
High School,25.0,4.862297833290462,4877.163871249984,M,Divorced,Urban,Khon Kaen,4.0,-0.39186934579975813,Yes
High School,23.0,6.516351641990826,3237.5854144596146,F,Married,Rural,Udon,6.0,-0.42357688867520454,No
College,29.0,4.857733546337335,3223.018420943182,M,Married,Rural,Mahasarakam,7.0,-0.670081466204498,No
High School,22.0,6.030589219364991,5508.157041542052,M,Single,Rural,Khon Kaen,4.0,-0.47691953471064596,Yes
High School,35.0,6.676524302732679,4992.917941793223,F,Single,Suburban,Udon,3.0,-0.040114314458316244,Yes
High School,20.0,6.933341789981005,4727.834028187042,M,Divorced,Urban,Mahasarakam,5.0,,Yes
Graduate School,37.0,5.826988013408382,3471.3379246650466,M,Married,Urban,Udon,5.0,0.08234226964947418,No
Graduate School,36.0,4.89228710846282,4027.757453748314,F,Single,Urban,Khon Kaen,4.0,0.5396179920215868,Yes
High School,31.0,5.390984654229609,4138.8896376908415,F,Divorced,Suburban,Mahasarakam,4.0,0.4272571085815293,Yes
Graduate School,26.0,7.197612592281441,4949.768014259951,M,Divorced,Rural,Udon,6.0,0.011924456706738522,Yes
Graduate School,31.0,6.6566226024819475,4645.8959170365615,,Married,Rural,Udon,5.0,,No
College,28.0,6.1514059691773175,5941.80720075994,M,Divorced,Urban,Mahasarakam,4.0,-0.37391775073139505,Yes
High School,45.0,6.978116547305849,5651.828821850864,M,Divorced,Rural,Mahasarakam,7.0,0.043175398410706084,No
College,36.0,2.4109806455234057,4952.467132119016,M,Married,Urban,Mahasarakam,,-0.4202378021826508,No
College,20.0,6.414376894466487,4709.472448856247,M,Single,Urban,Mahasarakam,5.0,0.01217028743190468,Yes
High School,32.0,5.73260942460611,4472.718782499018,F,Single,Rural,Udon,3.0,-0.9155659415365193,No
Graduate School,20.0,7.2355248475531235,2954.876289525539,F,Married,Rural,Khon Kaen,2.0,0.16593792944053,No
Graduate School,30.0,6.535108108920642,,F,Divorced,Rural,Mahasarakam,4.0,,No
High School,33.0,5.067655733625575,3705.2422523268515,M,Divorced,Urban,Udon,5.0,0.6536492609548289,Yes
College,33.0,5.403964535154957,2609.2243752341583,M,Divorced,Rural,Mahasarakam,5.0,0.9167954046045667,Yes
College,33.0,5.671554604265917,3584.8221710167236,M,Married,Urban,Mahasarakam,4.0,0.6424336431278035,Yes
Graduate School,33.0,6.115662045697329,4842.906389354015,M,Married,Rural,,4.0,0.09799450145484401,No
High School,40.0,8.32034632391736,6117.858331719599,M,Divorced,Urban,Mahasarakam,6.0,-0.21555865460739823,No
High School,20.0,5.244469264004763,,M,Single,Suburban,Mahasarakam,6.0,0.24369631803515096,Yes
College,26.0,4.145423591822971,1904.6568139950773,F,Single,Urban,Mahasarakam,4.0,0.5987314340726954,Yes
College,30.0,5.977867197498372,4605.99726761752,M,Married,Rural,Khon Kaen,6.0,-0.07675066951561285,No
Graduate School,37.0,8.780060449985228,4216.809454213242,F,Married,Rural,Khon Kaen,7.0,0.16312800629003807,
College,46.0,3.3730663001531602,3073.533399369977,F,Divorced,Urban,Khon Kaen,2.0,0.4895150806622123,Yes
High School,14.0,6.9277121884377895,3285.169382161465,F,Single,Urban,Mahasarakam,8.0,0.9642725204991396,Yes
College,35.0,6.243002803212766,4368.361827274461,F,Married,Rural,Mahasarakam,5.0,-0.022808352240811645,No
Graduate School,27.0,4.860516309688193,5291.957194984767,F,Married,Rural,Mahasarakam,5.0,-0.22279487207210025,No
Graduate School,36.0,5.9536706069219765,3382.191256498968,,Single,Rural,Khon Kaen,7.0,-0.07379971507151846,No
High School,41.0,4.66627961648863,3171.941395586658,F,Divorced,Rural,Udon,2.0,0.4361655127980109,Yes
High School,52.0,2.4217672789571796,3392.98277778184,F,Single,Urban,Khon Kaen,1.0,0.7313634652002435,Yes
Graduate School,19.0,6.001525548575124,3742.6427990320803,F,Divorced,Suburban,Udon,5.0,0.04632548512330949,Yes
High School,47.0,7.437356202132859,5826.961051805832,F,Married,Suburban,Udon,6.0,-0.440907132182404,No
College,37.0,6.163708111895131,7648.137018667145,M,Single,Urban,Khon Kaen,1.0,-1.1078419043961465,Yes
Graduate School,31.0,4.879499260217267,4443.451212195814,F,Single,Rural,Udon,4.0,-0.4598955788824336,No
High School,27.0,5.831527010848839,3973.313589181527,M,Divorced,Rural,Mahasarakam,5.0,-0.5099484342873137,No
College,25.0,6.230384566083983,4344.99791689854,M,Divorced,Suburban,Mahasarakam,5.0,-0.09837020113708286,No
High School,29.0,4.6960979941234555,3869.5484519336787,F,Married,Rural,Khon Kaen,,-0.37862087732973804,No
Graduate School,37.0,5.369949450071997,3488.882129757243,F,Married,Urban,Khon Kaen,4.0,0.3910099098943438,Yes
Graduate School,16.0,7.6655261969878445,4107.338893231189,M,Single,Urban,Khon Kaen,6.0,-0.18590872812133413,Yes
High School,40.0,6.378744831887764,5997.076382104029,,Single,Rural,Mahasarakam,1.0,-0.5344007613261328,Yes
High School,40.0,5.542938198626103,4141.511138633279,M,Single,Urban,Udon,3.0,0.2277772247435893,Yes
College,33.0,7.167655919184826,5210.350571171442,F,Single,Urban,Udon,4.0,-0.3297407478087934,Yes
Graduate School,41.0,6.273408784459199,6265.229356580047,M,Single,Rural,Khon Kaen,6.0,-0.356902521927908,No
,29.0,5.095955481442959,3037.113005131622,F,Single,Urban,Mahasarakam,5.0,0.7249820013114501,Yes
Graduate School,32.0,4.754227345865017,3877.7688693349246,F,Single,Urban,Khon Kaen,4.0,0.281851998969261,
High School,35.0,4.608495811319202,2835.244657182289,F,Divorced,Urban,Mahasarakam,5.0,-0.25155719084120615,No
Graduate School,24.0,7.566989966400419,4276.493187733532,M,Married,Suburban,Khon Kaen,4.0,-0.03395341723176115,No
High School,30.0,5.944241265712767,4294.149883357596,,Divorced,Suburban,Udon,4.0,0.15154636975383934,Yes
College,47.0,,2873.552154860786,F,Married,Rural,Khon Kaen,7.0,-0.5024823075565894,No
College,20.0,6.288682697006554,2367.8130438784638,,Married,Suburban,Udon,3.0,-0.22469095005339879,No
Graduate School,41.0,6.496051420475004,6186.842496347752,F,Divorced,Urban,Udon,3.0,-0.08682401751504915,Yes
High School,46.0,6.551539466832358,5767.444723050987,M,Divorced,Rural,Mahasarakam,6.0,-0.3978547031027129,No
College,29.0,6.0257724613727985,3274.781129287458,F,Single,Rural,Udon,6.0,-0.3882179143183752,No
High School,48.0,5.911324333508342,3419.852950031147,F,Married,Suburban,Udon,6.0,-0.7088726994205724,No
High School,36.0,4.564003878810872,2652.4537940176306,M,Single,Suburban,Udon,6.0,1.234005713407903,Yes
College,22.0,5.414765961849452,3158.2484352053184,M,Single,Urban,Udon,6.0,0.7393364538327785,Yes
Graduate School,15.0,6.3262565164143005,3980.464609080793,M,Married,Urban,Mahasarakam,6.0,0.38727294748521945,Yes
College,38.0,4.049683418624679,1931.2424125410841,M,Divorced,Urban,Khon Kaen,3.0,0.7994095715188815,Yes
Graduate School,46.0,5.531490198068629,4095.6465193053727,M,Divorced,Urban,,3.0,0.3162629000999309,Yes
College,30.0,6.382393818364252,4632.283153585375,F,Divorced,Urban,Khon Kaen,4.0,0.12053728836482402,Yes
College,39.0,,4378.549407695521,F,Divorced,Urban,Khon Kaen,3.0,0.21378818420469387,Yes
Graduate School,40.0,6.134022681975128,4113.567468633026,M,Divorced,Suburban,Udon,3.0,0.17401331935773823,Yes
College,25.0,3.446041284597521,4110.491186471458,F,Married,Rural,Mahasarakam,6.0,-1.1492837780046314,
Graduate School,47.0,6.517622127858414,4526.228700638243,M,Divorced,Urban,Khon Kaen,2.0,0.16225983481137618,Yes
College,31.0,6.729019300094752,5410.446814218668,F,Married,Rural,Khon Kaen,5.0,0.036520253057779006,No
High School,22.0,6.620468235128988,5895.624929645304,F,Single,Suburban,Udon,6.0,-0.14392437993116552,No
College,30.0,7.547626335464029,5080.628587467811,F,Married,Rural,Khon Kaen,7.0,-0.3670227102926584,No
College,28.0,5.115438219842779,2781.8130738981204,,Married,Urban,Mahasarakam,5.0,0.4259720730678303,Yes
Graduate School,19.0,4.133712357671088,2983.611051118064,F,Married,Rural,Mahasarakam,3.0,-0.2231795052586096,No
College,32.0,5.462259850290992,3973.526887646929,F,Married,Suburban,Udon,5.0,-0.32852713041134707,No
Graduate School,48.0,3.864304492367361,3368.772242353606,F,Single,Urban,Udon,3.0,0.5566167469965951,Yes
Graduate School,,6.854906856240394,4414.929478733283,M,Divorced,Urban,Khon Kaen,5.0,0.46032653529719353,Yes
Graduate School,27.0,3.6963738642386232,5130.269636016223,M,Married,Urban,,6.0,-0.04407007541483685,No
High School,21.0,7.2094195704829005,5360.6902091394895,M,Married,Rural,Khon Kaen,7.0,-0.5621189869822765,No
Graduate School,36.0,7.268022494373821,4790.9122910905935,M,Divorced,Urban,Khon Kaen,5.0,0.33933347443795175,Yes
Graduate School,31.0,4.844226764000939,3900.6259531170444,F,Single,Urban,Udon,,-0.060107574342547536,Yes
High School,42.0,8.001301267018656,6054.148600700806,F,Single,Rural,,4.0,0.35562947709128995,No
College,24.0,7.010659016656379,5389.164731381238,F,,Urban,Khon Kaen,5.0,-0.16781133896677553,Yes
High School,25.0,5.381003282137159,2487.7109860377545,M,Married,Urban,Udon,6.0,0.7569289108887635,Yes
High School,27.0,5.89377859098418,3365.426804000687,M,Divorced,Urban,Mahasarakam,5.0,0.3167903876233901,Yes
High School,57.0,3.7301423580251045,4579.063962021048,F,Single,Urban,Mahasarakam,1.0,0.14954859852751864,Yes
Graduate School,31.0,5.993892367667959,3365.99806896632,F,Single,Suburban,Khon Kaen,5.0,0.6187938923872325,Yes
Graduate School,22.0,5.676590333444475,4332.524030249975,M,Divorced,,Udon,,0.1886481315110465,Yes
College,25.0,6.4605911815994315,4607.105557461686,F,Married,Rural,Udon,5.0,0.2491113100486005,No
,22.0,5.82382555690506,3958.86385844345,M,Married,Urban,Mahasarakam,5.0,0.5107328227848229,Yes
High School,10.0,9.06457166743276,5262.138930963764,M,Married,Urban,Khon Kaen,6.0,-0.548046721080776,Yes
College,20.0,6.171752398724328,4928.470764241227,M,Single,Urban,Udon,5.0,-0.325931175533952,Yes
Graduate School,39.0,4.2219548321568645,4470.016440120921,F,Divorced,Suburban,Udon,1.0,-0.1527012331536272,Yes
High School,29.0,5.3418048741411095,4411.318716583159,M,Single,Rural,Udon,4.0,0.11567577351709643,Yes
College,24.0,5.828932013756706,4119.6465155842125,M,Divorced,Rural,Udon,5.0,0.3336473614702176,Yes
High School,21.0,6.543067377802762,2933.5444464814263,M,Married,Rural,Mahasarakam,5.0,-0.44216112590887374,No
College,22.0,5.959486584861023,3139.275443698564,F,Married,Urban,Udon,4.0,-0.04491056420101863,No
Graduate School,7.0,2.5051658572870616,4051.4994592372364,M,Single,Rural,Khon Kaen,5.0,-0.06549040427419044,No
College,17.0,3.3399375694842837,2012.6028571174893,M,Married,Rural,Udon,3.0,-0.4628743510247833,No
Graduate School,26.0,4.769270910581652,4159.285274982784,F,Divorced,Suburban,Khon Kaen,4.0,0.17202423232586128,Yes
College,39.0,3.012874417773903,2558.5113210474046,F,Married,Urban,Mahasarakam,4.0,0.8186961757639513,Yes
Graduate School,38.0,2.7597445672653067,4474.366019257616,F,Divorced,Rural,Udon,6.0,-0.8939410708421336,No
Graduate School,,4.497386517147196,4114.724404542945,M,Married,Rural,Udon,6.0,-0.49754566416709156,No
College,37.0,4.460179764659663,2696.015453134712,M,Divorced,Suburban,Khon Kaen,3.0,0.6118561107738814,Yes
College,27.0,5.803745185265101,4237.297949913648,F,Divorced,Suburban,Udon,3.0,-0.2606234861172122,No
College,36.0,6.748348306021805,5306.853362144635,M,Single,Suburban,Khon Kaen,4.0,-0.1530022488444584,Yes
,51.0,7.2069178128745115,5275.459440481732,M,Married,Suburban,Mahasarakam,9.0,-0.5114798730366052,No
High School,23.0,7.53104986949055,5877.137685918488,F,Divorced,Urban,Udon,4.0,-0.3750576330105821,Yes
High School,14.0,6.913154999717587,4813.309873855371,F,Divorced,Urban,Mahasarakam,6.0,-0.1583426861983685,Yes
High School,52.0,4.099511848918984,4930.678827948297,F,Single,Rural,Udon,7.0,,No
College,38.0,5.604628466176434,5435.665912110682,M,Married,Urban,Udon,3.0,-0.013762274180773918,Yes
High School,26.0,5.148998706739039,4529.531780923916,M,Divorced,Suburban,Udon,4.0,0.022831065539299443,Yes
College,40.0,5.048235447045185,2023.98747596013,M,Divorced,Rural,Khon Kaen,4.0,1.0741247324022511,Yes
College,36.0,5.074836456121232,5355.796989352804,M,Single,Rural,Khon Kaen,6.0,-0.37110560133997106,No
High School,30.0,,2584.9259209123693,M,Divorced,Suburban,Udon,5.0,-0.5944132815462327,No
Graduate School,26.0,7.2819807278488415,6229.894246982225,M,Single,Rural,Udon,3.0,-0.9510261482776226,Yes
Graduate School,29.0,4.684000087537776,3411.791368386315,M,Divorced,Urban,Udon,5.0,0.654957002886125,Yes
Graduate School,25.0,5.027442077689845,4122.611314614607,M,Married,Urban,Khon Kaen,6.0,0.16810816096242442,No
Graduate School,22.0,5.5092154465771035,4965.977222026191,F,Divorced,Suburban,Mahasarakam,4.0,-0.09336892373489097,Yes
High School,32.0,6.796344553314846,4587.693646292327,,Single,Urban,Khon Kaen,,0.4596531201796678,Yes
High School,52.0,4.432991132967772,5260.522092694799,F,Divorced,Urban,Mahasarakam,1.0,0.1688875095811183,Yes
High School,34.0,6.005146032501418,4284.238489740705,M,Divorced,Urban,Mahasarakam,4.0,0.40673877036475514,Yes
Graduate School,20.0,4.856668545037069,4512.982929829226,F,Married,,Udon,6.0,-0.040310681510962905,No
